V1,V2,V3,y0,y1,t,prob_t,y,prob_t_pred_log,prob_t_pred_tree,linear0,lasso0,linear1,lasso1
1,1,1,0.8864857766606079,0.979681753619296,1,0.9,0.979681753619296,0.9863705325573391,0.899800598205384,0.9056181048345301,0.5967538688522294,0.9372653314824819,0.6712199301878858
-1,1,1,0.7682509156233671,0.698718190402974,0,0.1,0.7682509156233671,0.179948710986316,0.100199401794616,0.7672880017478287,0.5967538688522294,0.6740522700639116,0.6712199301878858
-1,1,-1,0.23009688491695798,0.32639539266888695,1,0.9,0.32639539266888695,0.8028541275237471,0.899800598205384,0.22560383899844333,0.21991582639883472,0.3213780135922337,0.47707783738014015
1,1,-1,0.38955297160093205,0.5883024614450251,1,0.9,0.5883024614450251,0.9847728652626491,0.899800598205384,0.36393394208514473,0.21991582639883472,0.5845910750108041,0.47707783738014015
-1,1,1,0.7803148307190441,0.6755882704679561,1,0.9,0.6755882704679561,0.8200512890136841,0.899800598205384,0.7672880017478287,0.5967538688522294,0.6740522700639116,0.6712199301878858
1,1,-1,0.334793799584678,0.564642388557459,1,0.9,0.564642388557459,0.9847728652626491,0.899800598205384,0.36393394208514473,0.21991582639883472,0.5845910750108041,0.47707783738014015
-1,1,1,0.7721548073428359,0.6852007227870489,1,0.9,0.6852007227870489,0.8200512890136841,0.899800598205384,0.7672880017478287,0.5967538688522294,0.6740522700639116,0.6712199301878858
1,-1,-1,0.202001899304969,0.30170786530061794,1,0.9,0.30170786530061794,0.7873706247234051,0.8869047619047621,0.22988644407945752,0.21991582639883472,0.3218113654105963,0.47707783738014015
-1,-1,1,0.641075472972965,0.40496276253242297,0,0.9,0.641075472972965,0.7930630463247541,0.894523326572008,0.6332405037421415,0.5967538688522294,0.41127256046370375,0.6712199301878858
1,-1,-1,0.22901478475476297,0.322621886194697,0,0.1,0.22901478475476297,0.212629375276595,0.113095238095238,0.22988644407945752,0.21991582639883472,0.3218113654105963,0.47707783738014015
-1,1,1,0.807269538810021,0.6895781053020419,1,0.9,0.6895781053020419,0.8200512890136841,0.899800598205384,0.7672880017478287,0.5967538688522294,0.6740522700639116,0.6712199301878858
1,1,1,0.9333973787796229,0.9491327627551029,1,0.9,0.9491327627551029,0.9863705325573391,0.899800598205384,0.9056181048345301,0.5967538688522294,0.9372653314824819,0.6712199301878858
-1,1,1,0.7076356297130291,0.6613928845601321,1,0.9,0.6613928845601321,0.8200512890136841,0.899800598205384,0.7672880017478287,0.5967538688522294,0.6740522700639116,0.6712199301878858
-1,-1,-1,0.11386764969854901,0.0736485857611182,0,0.9,0.11386764969854901,0.810913138096078,0.894523326572008,0.09155634099275611,0.21991582639883472,0.058598303992025924,0.47707783738014015
1,-1,-1,0.248222033620531,0.305594091791584,1,0.9,0.305594091791584,0.7873706247234051,0.8869047619047621,0.22988644407945752,0.21991582639883472,0.3218113654105963,0.47707783738014015
-1,-1,-1,0.0637294092617865,0.0876690575472457,0,0.9,0.0637294092617865,0.810913138096078,0.894523326572008,0.09155634099275611,0.21991582639883472,0.058598303992025924,0.47707783738014015
1,1,-1,0.41071444582865707,0.554601907534194,1,0.9,0.554601907534194,0.9847728652626491,0.899800598205384,0.36393394208514473,0.21991582639883472,0.5845910750108041,0.47707783738014015
-1,1,1,0.8230875461116558,0.684548160353353,1,0.9,0.684548160353353,0.8200512890136841,0.899800598205384,0.7672880017478287,0.5967538688522294,0.6740522700639116,0.6712199301878858
-1,1,-1,0.17270093257598698,0.322823479361683,1,0.9,0.322823479361683,0.8028541275237471,0.899800598205384,0.22560383899844333,0.21991582639883472,0.3213780135922337,0.47707783738014015
1,-1,-1,0.20486415875715,0.30944925312623905,1,0.9,0.30944925312623905,0.7873706247234051,0.8869047619047621,0.22988644407945752,0.21991582639883472,0.3218113654105963,0.47707783738014015
-1,1,-1,0.198072194460775,0.3450391991165169,1,0.9,0.3450391991165169,0.8028541275237471,0.899800598205384,0.22560383899844333,0.21991582639883472,0.3213780135922337,0.47707783738014015
