"V1","V2","V3","y0","y1","t","prob_t","y","prob_t_pred_log","prob_t_pred_tree"
1,1,1,0.886485776660608,0.979681753619296,"0",0.75,0.886485776660608,0.847726924770198,0.745436605821411
-1,1,1,0.768250915623367,0.698718190402974,"0",0.75,0.768250915623367,0.633714678861445,0.740628166160081
-1,1,-1,0.230096884916958,0.326395392668887,"0",0.75,0.230096884916958,0.640983674189333,0.740628166160081
1,1,-1,0.389552971600932,0.588302461445025,"0",0.75,0.389552971600932,0.851742421750259,0.745436605821411
-1,1,1,0.780314830719044,0.675588270467956,"1",0.25,0.675588270467956,0.366285321138555,0.259371833839919
1,1,-1,0.334793799584678,0.564642388557459,"0",0.75,0.334793799584678,0.851742421750259,0.745436605821411
-1,1,1,0.772154807342836,0.685200722787049,"0",0.75,0.772154807342836,0.633714678861445,0.740628166160081
1,-1,-1,0.202001899304969,0.301707865300618,"0",0.75,0.202001899304969,0.643592598591869,0.745436605821411
-1,-1,1,0.641075472972965,0.404962762532423,"0",0.25,0.641075472972965,0.352251903102927,0.252535496957404
1,-1,-1,0.229014784754763,0.322621886194697,"0",0.75,0.229014784754763,0.643592598591869,0.745436605821411
-1,1,1,0.807269538810021,0.689578105302042,"0",0.75,0.807269538810021,0.633714678861445,0.740628166160081
1,1,1,0.933397378779623,0.949132762755103,"0",0.75,0.933397378779623,0.847726924770198,0.745436605821411
-1,1,1,0.707635629713029,0.661392884560132,"0",0.75,0.707635629713029,0.633714678861445,0.740628166160081
-1,-1,-1,0.113867649698549,0.0736485857611182,"1",0.75,0.0736485857611182,0.640539254630485,0.747464503042596
1,-1,-1,0.248222033620531,0.305594091791584,"0",0.75,0.248222033620531,0.643592598591869,0.745436605821411
-1,-1,-1,0.0637294092617865,0.0876690575472457,"1",0.75,0.0876690575472457,0.640539254630485,0.747464503042596
1,1,-1,0.410714445828657,0.554601907534194,"0",0.75,0.410714445828657,0.851742421750259,0.745436605821411
-1,1,1,0.823087546111656,0.684548160353353,"0",0.75,0.823087546111656,0.633714678861445,0.740628166160081
-1,1,-1,0.172700932575987,0.322823479361683,"0",0.75,0.172700932575987,0.640983674189333,0.740628166160081
1,-1,-1,0.20486415875715,0.309449253126239,"0",0.75,0.20486415875715,0.643592598591869,0.745436605821411
-1,1,-1,0.198072194460775,0.345039199116517,"1",0.25,0.345039199116517,0.359016325810667,0.259371833839919
1,-1,1,0.767727333255089,0.700777493010233,"0",0.75,0.767727333255089,0.636346457766733,0.745436605821411
1,1,1,0.925755273227701,0.931496082180462,"0",0.75,0.925755273227701,0.847726924770198,0.745436605821411
-1,1,1,0.745185983724771,0.635776864061252,"0",0.75,0.745185983724771,0.633714678861445,0.740628166160081
1,1,1,0.93577832027767,0.954303710504747,"1",0.25,0.954303710504747,0.152273075229802,0.254563394178589
1,-1,-1,0.173099182716793,0.345221806937604,"0",0.75,0.173099182716793,0.643592598591869,0.745436605821411
-1,-1,-1,0.0918052595844677,0.0346967077463895,"1",0.75,0.0346967077463895,0.640539254630485,0.747464503042596
1,1,1,0.935217936210315,0.941572529273866,"0",0.75,0.935217936210315,0.847726924770198,0.745436605821411
1,1,1,0.939481289324082,0.912544013761295,"0",0.75,0.939481289324082,0.847726924770198,0.745436605821411
1,-1,1,0.748123404590955,0.692349257655556,"1",0.25,0.692349257655556,0.363653542233267,0.254563394178589
-1,-1,-1,0.0821077478049856,0.0492239816468758,"1",0.75,0.0492239816468758,0.640539254630485,0.747464503042596
1,1,-1,0.364430045827456,0.559440601745513,"0",0.75,0.364430045827456,0.851742421750259,0.745436605821411
-1,-1,-1,0.105667838503623,0.0526704527400941,"1",0.75,0.0526704527400941,0.640539254630485,0.747464503042596
-1,1,-1,0.220165686529577,0.329411652164677,"1",0.25,0.329411652164677,0.359016325810667,0.259371833839919
1,-1,-1,0.184761855226968,0.309531923676749,"1",0.25,0.309531923676749,0.356407401408131,0.254563394178589
1,-1,-1,0.223501059970978,0.309484641875651,"1",0.25,0.309484641875651,0.356407401408131,0.254563394178589
-1,1,-1,0.191937281254706,0.31319115915184,"0",0.75,0.191937281254706,0.640983674189333,0.740628166160081
-1,-1,-1,0.0821821474476431,0.0904563157665304,"0",0.25,0.0821821474476431,0.359460745369515,0.252535496957404
-1,1,-1,0.263704649167851,0.307097861499929,"0",0.75,0.263704649167851,0.640983674189333,0.740628166160081
1,1,-1,0.378073362150179,0.62434107269249,"0",0.75,0.378073362150179,0.851742421750259,0.745436605821411
-1,-1,1,0.654369482372262,0.392795082414813,"0",0.25,0.654369482372262,0.352251903102927,0.252535496957404
-1,1,-1,0.236716901009785,0.334546082943085,"0",0.75,0.236716901009785,0.640983674189333,0.740628166160081
1,1,-1,0.372347014295897,0.575684972979689,"1",0.25,0.575684972979689,0.148257578249741,0.254563394178589
-1,-1,-1,0.10820320338086,0.082880792869319,"1",0.75,0.082880792869319,0.640539254630485,0.747464503042596
1,-1,-1,0.205282478666146,0.319576622651057,"1",0.25,0.319576622651057,0.356407401408131,0.254563394178589
-1,1,-1,0.256402867485986,0.322182800893735,"0",0.75,0.256402867485986,0.640983674189333,0.740628166160081
1,1,1,0.880815749910359,0.944323370503597,"1",0.25,0.944323370503597,0.152273075229802,0.254563394178589
-1,-1,1,0.631395963122662,0.39596181548362,"1",0.75,0.39596181548362,0.647748096897073,0.747464503042596
1,1,1,0.963096351401828,0.930169501177899,"0",0.75,0.963096351401828,0.847726924770198,0.745436605821411
-1,-1,-1,0.106246979297659,0.0411956641480387,"1",0.75,0.0411956641480387,0.640539254630485,0.747464503042596
-1,1,-1,0.190719067502843,0.293845967255721,"0",0.75,0.190719067502843,0.640983674189333,0.740628166160081
-1,1,1,0.803775361256095,0.671304304865523,"1",0.25,0.671304304865523,0.366285321138555,0.259371833839919
-1,1,-1,0.175842368546522,0.332927126937335,"1",0.25,0.332927126937335,0.359016325810667,0.259371833839919
1,-1,-1,0.241542088002216,0.317495713340162,"0",0.75,0.241542088002216,0.643592598591869,0.745436605821411
1,-1,1,0.752490904766504,0.666854968348208,"0",0.75,0.752490904766504,0.636346457766733,0.745436605821411
1,-1,-1,0.199165208265279,0.319663587337506,"1",0.25,0.319663587337506,0.356407401408131,0.254563394178589
-1,1,1,0.753250434088371,0.651210859879024,"0",0.75,0.753250434088371,0.633714678861445,0.740628166160081
1,-1,1,0.764708918691028,0.660384182738491,"1",0.25,0.660384182738491,0.363653542233267,0.254563394178589
-1,1,-1,0.2153077912397,0.32575099194847,"0",0.75,0.2153077912397,0.640983674189333,0.740628166160081
1,-1,1,0.764941430173225,0.650194276959592,"0",0.75,0.764941430173225,0.636346457766733,0.745436605821411
1,1,1,0.899658792585179,0.925801089193739,"1",0.25,0.925801089193739,0.152273075229802,0.254563394178589
1,1,1,0.926857061169697,0.957622714352234,"1",0.25,0.957622714352234,0.152273075229802,0.254563394178589
-1,1,1,0.707038723900948,0.650887870119612,"1",0.25,0.650887870119612,0.366285321138555,0.259371833839919
1,-1,-1,0.239643734485079,0.343941576156379,"0",0.75,0.239643734485079,0.643592598591869,0.745436605821411
1,-1,1,0.766420815787459,0.682839734588764,"0",0.75,0.766420815787459,0.636346457766733,0.745436605821411
-1,-1,-1,0.104499968253429,0.0704511037912079,"1",0.75,0.0704511037912079,0.640539254630485,0.747464503042596
-1,-1,-1,0.132940401907381,0.0705032170683623,"1",0.75,0.0705032170683623,0.640539254630485,0.747464503042596
-1,1,1,0.772882171912573,0.675646652972269,"0",0.75,0.772882171912573,0.633714678861445,0.740628166160081
-1,1,1,0.796133782575396,0.700089695904669,"0",0.75,0.796133782575396,0.633714678861445,0.740628166160081
-1,-1,-1,0.0769461357443725,0.0436452874452118,"0",0.25,0.0769461357443725,0.359460745369515,0.252535496957404
1,1,1,0.90177111144736,0.917935697960302,"0",0.75,0.90177111144736,0.847726924770198,0.745436605821411
1,-1,-1,0.212078794516609,0.310912389668811,"1",0.25,0.310912389668811,0.356407401408131,0.254563394178589
1,-1,-1,0.222388799423206,0.332829336456014,"0",0.75,0.222388799423206,0.643592598591869,0.745436605821411
