Direct,data_train_enc_1,2000,0,3600,1379,0,0.310683012,897,55.15,43.1,1105,53.68818106,41.95305951,1,data_train_enc_1,2000,2,100,3600,2,1609,0,170.5217121,716,64.2,45.4,869,63.57921207,44.76110645,1
,data_train_enc_1,2000,1,3600,1584,0,6.372453928,733,63.35,45.35,872,63.45347863,45.68315172,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_1,2000,2,3600,1609,0,170.5217121,716,64.2,45.4,869,63.57921207,44.76110645,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_2,2000,0,3600,1430,0,0.341772795,937,53.15,41.95,1065,55.36462699,42.91701593,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_2,2000,1,3600,1648,0,6.929717064,735,63.25,46.25,870,63.53730092,44.92875105,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_2,2000,2,3600,1669,0,233.8725739,712,64.4,46.05,841,64.75272422,44.76110645,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_3,2000,0,3600,1479,0,0.316737175,881,55.95,43.4,1121,53.01760268,41.70159262,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_3,2000,1,3600,1637,0,5.931349993,740,63,45.6,865,63.74685666,45.47359598,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_3,2000,2,3600,1677,0,201.247196,714,64.3,45.65,854,64.2078793,45.30595138,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_4,2000,0,3600,1395,0,0.4133811,907,54.65,41.8,1095,54.10729254,43.04274937,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_4,2000,1,3600,1633,0,6.869170189,735,63.25,44.8,870,63.53730092,46.14417435,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_4,2000,2,3600,1643,0,215.7510481,715,64.25,44.05,853,64.24979044,46.64710813,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_5,2000,0,3600,1487,0,0.336084127,893,55.35,42.8,1109,53.52053646,42.2045264,1,,,,,,,,,,,,,,,,
Direct,data_train_enc_5,2000,1,3600,1662,0,6.384205103,727,63.65,45.8,878,63.20201174,45.30595138,1,,,,,,,,,,,,,,,,
,data_train_enc_5,2000,2,3600,1686,0,249.8430312,702,64.9,45.7,851,64.33361274,45.05448449,1,,,,,,,,,,,,,,,,
