approach,dataset,nrow,depth,b_limit,time_limit,status,obj value,gap,solving time,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test,pred
IPW,data_train_enc_0.1_1,3000,1,100,3600,2,1584.040399,0,2.030119181,469,84.36666667,14.2,210,84.84848485,14.79076479,tree
IPW,data_train_enc_0.1_1,3000,2,100,3600,2,1594.965302,0,10.57044291,437,85.43333333,14.06666667,197,85.78643579,14.93506494,tree
IPW,data_train_enc_0.1_1,3000,3,100,3600,2,1620.204958,0.007284987,1845.192715,393,86.9,13.56666667,184,86.72438672,14.79076479,tree
IPW,data_train_enc_0.1_1,3000,4,100,3600,9,1636.64675,3.515963635,3622.023323,392,86.93333333,13.9,189,86.36363636,15.65656566,tree
IPW,data_train_enc_0.1_2,3000,1,100,3600,2,1691.934181,0,1.819462299,458,84.73333333,14.53333333,221,84.05483405,14.06926407,tree
IPW,data_train_enc_0.1_2,3000,2,100,3600,2,1712.957976,0,13.06904435,418,86.06666667,14.76666667,205,85.20923521,13.78066378,tree
IPW,data_train_enc_0.1_2,3000,3,100,3600,2,1741.867036,0.000804703,1826.598924,393,86.9,14.56666667,195,85.93073593,13.63636364,tree
IPW,data_train_enc_0.1_2,3000,4,100,3600,9,1750.285739,5.035666548,3621.998496,354,88.2,14.16666667,181,86.94083694,13.13131313,tree
IPW,data_train_enc_0.1_3,3000,1,100,3600,2,1621.7433,0,1.928722143,479,84.03333333,15,200,85.56998557,13.05916306,tree
IPW,data_train_enc_0.1_3,3000,2,100,3600,2,1645.969307,0,12.24227929,474,84.2,15.83333333,202,85.42568543,13.49206349,tree
IPW,data_train_enc_0.1_3,3000,3,100,3600,2,1679.098878,0,1547.95398,404,86.53333333,15,173,87.51803752,12.6984127,tree
IPW,data_train_enc_0.1_3,3000,4,100,3600,9,1686.899739,4.90416381,3622.501987,407,86.43333333,15.13333333,167,87.95093795,12.40981241,tree
IPW,data_train_enc_0.1_4,3000,1,100,3600,2,1699.262269,0,1.823746443,457,84.76666667,14.4,222,83.98268398,14.35786436,tree
IPW,data_train_enc_0.1_4,3000,2,100,3600,2,1720.717776,0.00728729,8.097870588,418,86.06666667,14.3,216,84.41558442,14.43001443,tree
IPW,data_train_enc_0.1_4,3000,3,100,3600,2,1744.070215,0,1019.068272,402,86.6,14.46666667,209,84.92063492,14.64646465,tree
IPW,data_train_enc_0.1_4,3000,4,100,3600,9,1753.801354,3.446596721,3621.860373,365,87.83333333,14.06666667,181,86.94083694,13.56421356,tree
IPW,data_train_enc_0.1_5,3000,1,100,3600,2,1679.918606,0,1.867864609,487,83.76666667,14.2,192,86.14718615,14.79076479,tree
IPW,data_train_enc_0.1_5,3000,2,100,3600,2,1707.714513,0,9.901612997,489,83.7,15.26666667,201,85.4978355,14.79076479,tree
IPW,data_train_enc_0.1_5,3000,3,100,3600,2,1732.938573,0,1055.785406,526,82.46666667,16.03333333,213,84.63203463,15.36796537,tree
