"random","r0.06","r0.11"
0.844333333333333,0.833333333333333,0.657
0.848333333333333,0.771666666666667,0.645333333333333
0.841333333333333,0.807666666666667,0.64
0.852,0.705333333333333,0.635333333333333
0.839333333333333,0.785333333333333,0.640333333333333
0.849,0.847333333333333,0.836333333333333
0.848,0.841666666666667,0.815666666666667
0.848,0.843666666666667,0.836333333333333
0.854666666666667,0.845,0.842
0.846666666666667,0.835666666666667,0.828
0.851,0.839666666666667,0.836666666666667
0.845666666666667,0.833666666666667,0.818666666666667
0.840666666666667,0.836666666666667,0.842
0.849333333333333,0.836,0.804333333333333
0.84,0.831666666666667,0.817666666666667
0.850333333333333,0.837666666666667,0.684666666666667
0.849666666666667,0.849,0.728
0.847333333333333,0.844666666666667,0.805333333333333
0.850333333333333,0.837,0.84
0.840666666666667,0.844666666666667,0.805333333333333
0.855666666666667,0.844,0.844
0.852,0.791,0.789333333333333
0.849,0.829333333333333,0.801333333333333
0.857,0.833666666666667,0.791
0.842666666666667,0.794333333333333,0.780666666666667
