"random","r0.06","r0.11","random_oos_regret","r0.06_oos_regret","r0.11_oos_regret","random_time","r0.06_time","r0.11_time"
0.848484848484849,0.821067821067821,0.624098124098124,210,248,521,2.40429902076721,2.34184694290161,2.33344793319702
0.835497835497836,0.752525252525252,0.65007215007215,228,343,485,2.40535187721252,2.33398199081421,2.33185982704163
0.846320346320346,0.810966810966811,0.661616161616162,213,262,469,2.39420795440674,2.33147811889648,2.37012100219727
0.826118326118326,0.707792207792208,0.66017316017316,241,405,471,2.38516783714294,2.32298898696899,2.34427881240845
0.855699855699856,0.791486291486291,0.660894660894661,200,289,470,2.38705897331238,2.32806301116943,2.34094905853271
0.844877344877345,0.835497835497836,0.822510822510823,215,228,246,2.36367893218994,2.32532095909119,2.33250403404236
0.847763347763348,0.844877344877345,0.816738816738817,211,215,254,2.38168215751648,2.32990288734436,2.32521200180054
0.852813852813853,0.844155844155844,0.838383838383838,204,216,224,2.36912608146667,2.31955790519714,2.31577777862549
0.838383838383838,0.83982683982684,0.83982683982684,224,222,222,2.40425300598145,2.32121586799622,2.31775617599487
0.855699855699856,0.859307359307359,0.83982683982684,200,195,222,2.39231204986572,2.32618689537048,2.3337459564209
0.83044733044733,0.831168831168831,0.823232323232323,235,234,245,2.41224217414856,2.32573390007019,2.3179440498352
0.83982683982684,0.844155844155844,0.778499278499278,222,216,307,2.39551401138306,2.33783197402954,2.32829999923706
0.837662337662338,0.836219336219336,0.842712842712843,225,227,218,2.37324905395508,2.32962703704834,2.33119201660156
0.827561327561328,0.823953823953824,0.80952380952381,239,244,264,2.3567271232605,2.33636593818665,2.34871602058411
0.850649350649351,0.852813852813853,0.82972582972583,207,204,236,2.36322402954102,2.31802415847778,2.32190203666687
0.83044733044733,0.835497835497836,0.678932178932179,235,228,445,2.37757897377014,2.33865118026733,2.32330203056335
0.835497835497836,0.847763347763348,0.731601731601732,228,211,372,2.36289501190186,2.32129597663879,2.32580208778381
0.847041847041847,0.857142857142857,0.808802308802309,212,198,265,2.37518501281738,2.33338284492493,2.32087302207947
0.834776334776335,0.836940836940837,0.826118326118326,229,226,241,2.36944603919983,2.33199715614319,2.32318496704102
0.858585858585859,0.857142857142857,0.792929292929293,196,198,287,2.36404705047607,2.33310484886169,2.37352609634399
0.844155844155844,0.828282828282828,0.828282828282828,216,238,238,2.36367297172546,2.35697913169861,2.3008279800415
0.844155844155844,0.795815295815296,0.792929292929293,216,283,287,2.37273001670837,2.39213395118713,2.29945182800293
0.857864357864358,0.837662337662338,0.790764790764791,197,225,290,2.36333203315735,2.35609006881714,2.31034803390503
0.83982683982684,0.845598845598846,0.813131313131313,222,214,259,2.3676769733429,2.337327003479,2.30988383293152
0.87012987012987,0.787878787878788,0.766233766233766,180,294,324,2.36442112922668,2.33800983428955,2.33353400230408
