"random","r0.06","r0.11"
0.836219336219336,0.630591630591631,0.605339105339105
0.826839826839827,0.621933621933622,0.61976911976912
0.834776334776335,0.637806637806638,0.633477633477634
0.822510822510823,0.613275613275613,0.637085137085137
0.849206349206349,0.629148629148629,0.631313131313131
0.838383838383838,0.630591630591631,0.630591630591631
0.627705627705628,0.632034632034632,0.635642135642136
0.629148629148629,0.633477633477634,0.635642135642136
0.613997113997114,0.627705627705628,0.62987012987013
0.533189033189033,0.630591630591631,0.632034632034632
0.823953823953824,0.634920634920635,0.637806637806638
0.634920634920635,0.635642135642136,0.594516594516595
0.834054834054834,0.637806637806638,0.624819624819625
0.83044733044733,0.629148629148629,0.641414141414141
0.535353535353535,0.639249639249639,0.645021645021645
0.83044733044733,0.65007215007215,0.67027417027417
0.222943722943723,0.642135642135642,0.547619047619048
0.837662337662338,0.648629148629149,0.645743145743146
0.831890331890332,0.638528138528139,0.556277056277056
0.850649350649351,0.632034632034632,0.629148629148629
0.834054834054834,0.626984126984127,0.626984126984127
0.847763347763348,0.55988455988456,0.55988455988456
0.844877344877345,0.637806637806638,0.623376623376623
0.834776334776335,0.636363636363636,0.636363636363636
0.863636363636364,0.554112554112554,0.555555555555556
