V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred,reg0,reg1
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.65267119329174,0.577828870263634,1,0.5,0.577828870263634,0.528573970450459,0.642780587225926,0.577828870263634
0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.503399790447914,0.475952077697736,0,0.5,0.503399790447914,0.510058884880783,0.503399790447914,0.455865934584946
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.521165603754799,0.442478434107106,0,0.5,0.521165603754799,0.455126640007397,0.521165603754799,0.39223725295517997
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.6819351026346689,0.75597345038231,0,0.5,0.6819351026346689,0.591824379044688,0.6819351026346689,0.765276446244322
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.4922190793869871,0.46665320491690004,0,0.5,0.4922190793869871,0.51669409950472,0.4922190793869871,0.474341079111447
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.43338477684150706,0.36861855984968894,1,0.5,0.36861855984968894,0.54718668210688,0.403105740407456,0.36861855984968894
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.6184044217244921,0.5713978572001539,0,0.5,0.6184044217244921,0.52934268582008,0.6184044217244921,0.5689576017892479
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.8932658813683181,0.852106338235598,1,0.5,0.852106338235598,0.447291365627779,0.8561930787454781,0.852106338235598
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.473692601582745,0.459899682742913,0,0.5,0.473692601582745,0.5296628514169319,0.473692601582745,0.480967157631752
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.614635647193323,0.549749591232519,1,0.5,0.549749591232519,0.5134070033180129,0.5948678891155711,0.549749591232519
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.838441795238863,0.861677888362485,0,0.5,0.838441795238863,0.5924045979926221,0.838441795238863,0.8915421510073349
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.444465971125101,0.46096431408412203,0,0.5,0.444465971125101,0.519255789623671,0.444465971125101,0.480967157631752
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.423902901192354,0.344108227566746,1,0.5,0.344108227566746,0.53714237739679,0.37342712067090506,0.344108227566746
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.44742211833610296,0.279824931193784,0,0.5,0.44742211833610296,0.38035993682728403,0.44742211833610296,0.325568700489018
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.252579795924061,0.31934140543328804,1,0.5,0.31934140543328804,0.44822532008421206,0.27411250629789,0.31934140543328804
0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.47330490169814704,0.431813160817445,0,0.5,0.47330490169814704,0.495835290959576,0.47330490169814704,0.430104515138024
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.390770981518776,0.392128442765964,1,0.5,0.392128442765964,0.50483828103077,0.40517631298566403,0.392128442765964
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.6167002601465389,0.6181614464105649,1,0.5,0.6181614464105649,0.44551817165556495,0.6209373545196519,0.6181614464105649
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.5919970217220041,0.58651207454427,1,0.5,0.58651207454427,0.453125746165161,0.579487932762467,0.58651207454427
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0.593270718596881,0.5576634687796921,0,0.5,0.593270718596881,0.5346226562886289,0.593270718596881,0.5675140422176049
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.594184223653295,0.615827768249005,0,0.5,0.594184223653295,0.552589594399423,0.594184223653295,0.6181614464105649
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.555653536156729,0.5567569148699449,0,0.5,0.555653536156729,0.544293588826599,0.555653536156729,0.5472030515422079
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.6508460857675551,0.5756803028691391,1,0.5,0.5756803028691391,0.49183743312731604,0.642364386423866,0.5756803028691391
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.7511716889148959,0.597947745051635,0,0.5,0.7511716889148959,0.40236944542424397,0.7511716889148959,0.667451831114719
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.574391704749301,0.580979511663115,0,0.5,0.574391704749301,0.535816787609419,0.574391704749301,0.58651207454427
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.619121203273515,0.595071444962202,1,0.5,0.595071444962202,0.498475760123118,0.649893683904443,0.595071444962202
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.690199457717398,0.647964859092695,1,0.5,0.647964859092695,0.501866384547219,0.691524697366541,0.647964859092695
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.5448774401315479,0.414538303942262,0,0.5,0.5448774401315479,0.422255238472447,0.5448774401315479,0.414342708205021
0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.551128282926134,0.483573191037997,1,0.5,0.483573191037997,0.5249541713477129,0.521165603754799,0.483573191037997
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.7130259738783659,0.6953720207623539,1,0.5,0.6953720207623539,0.4702654489939149,0.7075235227783409,0.6953720207623539
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.8869931709472241,0.8788306003190981,1,0.5,0.8788306003190981,0.41416548334757397,0.8578076729230779,0.8788306003190981
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.7346183714673051,0.635135037398209,1,0.5,0.635135037398209,0.498930974101908,0.6994982770252621,0.635135037398209
0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.5581873166473741,0.5472030515422079,1,0.5,0.5472030515422079,0.477335455159739,0.5505781824246511,0.5472030515422079
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.5298495016602239,0.45971466087590596,0,0.5,0.5298495016602239,0.496640742112576,0.5298495016602239,0.47013691280219005
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.41288034743031504,0.299760418735872,0,0.5,0.41288034743031504,0.42192557637114597,0.41288034743031504,0.31592180271742704
0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.5991779058783879,0.509351545518457,0,0.5,0.5991779058783879,0.479699535429702,0.5991779058783879,0.49466811023373797
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.754351433035272,0.689806734215624,0,0.5,0.754351433035272,0.48753038238366203,0.754351433035272,0.6669106503959941
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.350949388800829,0.32223355340429805,0,0.5,0.350949388800829,0.491191838238537,0.350949388800829,0.341036691718681
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0.762418299066598,0.746253253597797,0,0.5,0.762418299066598,0.5679260611417379,0.762418299066598,0.8915421510073349
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.435775497637424,0.460105678023299,1,0.5,0.460105678023299,0.461610843954103,0.438576224464383,0.460105678023299
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.780828541625923,0.705835686295522,0,0.5,0.780828541625923,0.500846731323896,0.780828541625923,0.6669106503959941
0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.516652558690494,0.5024337049643189,1,0.5,0.5024337049643189,0.512793222627309,0.553563380335388,0.5024337049643189
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.683767019015675,0.655312009402652,0,0.5,0.683767019015675,0.5433652043039671,0.683767019015675,0.657331941459538
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.5930642023635619,0.553026317046047,0,0.5,0.5930642023635619,0.532072678170821,0.5930642023635619,0.549350909326366
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.34037217765224503,0.303253873647411,0,0.5,0.34037217765224503,0.457163214608087,0.34037217765224503,0.344933795848378
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.5376810625665099,0.4732347915349871,1,0.5,0.4732347915349871,0.537131498106902,0.549020231834071,0.4732347915349871
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.743047284963405,0.6883587465277441,0,0.5,0.743047284963405,0.527965925476626,0.743047284963405,0.711684075854218
