V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred,reg0,reg1
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.642541465171329,0.6145642656065501,0,0.5,0.642541465171329,0.5407351909597841,0.642541465171329,0.62538566117181
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.39438118744454,0.444755122682673,1,0.5,0.444755122682673,0.472217409777182,0.392931165390331,0.444755122682673
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.691691186651946,0.7683119216842249,1,0.5,0.7683119216842249,0.457726862076969,0.6621136976589549,0.7683119216842249
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.474047752047339,0.5292488171588211,1,0.5,0.5292488171588211,0.467139977295312,0.449542346974361,0.5292488171588211
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.444901387350765,0.524217060713402,0,0.5,0.444901387350765,0.53274479955496,0.444901387350765,0.544813565865809
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.6621136976589549,0.788769565061653,0,0.5,0.6621136976589549,0.542633041250761,0.6621136976589549,0.7683119216842249
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.954810481203773,0.918350211581587,1,0.5,0.918350211581587,0.444488706777021,0.9808739473194659,0.918350211581587
0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.43856090683482796,0.383442229804858,1,0.5,0.383442229804858,0.469381715173823,0.48141340562504403,0.383442229804858
0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.33780006641292,0.34727031599407504,0,0.5,0.33780006641292,0.525491934567499,0.33780006641292,0.36060376965871704
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.667583610274511,0.626176057332157,1,0.5,0.626176057332157,0.45856716440309003,0.655330350367228,0.626176057332157
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0.49176619082375705,0.6145304459630171,1,0.5,0.6145304459630171,0.46586237998077007,0.507469591202553,0.6145304459630171
