V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred,reg0,reg1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0.5924018996704069,0.600568965974938,1,0.5,0.600568965974938,0.485338650268543,0.566148545407047,0.600568965974938
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.505160283651545,0.442146964916204,1,0.5,0.442146964916204,0.47713024467187004,0.5100564688757511,0.442146964916204
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.23105389004097196,0.158506013941753,1,0.5,0.158506013941753,0.476582470251728,0.243427515610043,0.158506013941753
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.568579338550148,0.460276943536391,1,0.5,0.460276943536391,0.47644985287638103,0.507265698468448,0.460276943536391
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.71162845678588,0.523575330833302,0,0.5,0.71162845678588,0.535317770469806,0.71162845678588,0.625984949683989
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.160672349455491,0.0484518378576716,0,0.5,0.160672349455491,0.522037426177749,0.160672349455491,0.066834246826779
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.70555789199635,0.54064753408704,1,0.5,0.54064753408704,0.4713638666632511,0.660697711655756,0.54064753408704
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.324541793443547,0.29925283631061106,0,0.5,0.324541793443547,0.5115941977930349,0.324541793443547,0.326814119131486
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.434421669696851,0.532045170541361,1,0.5,0.532045170541361,0.49238808928526095,0.45046833554507004,0.532045170541361
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.555320603870947,0.39785253006838,1,0.5,0.39785253006838,0.465379247220163,0.556331946820691,0.39785253006838
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11195718391777901,0.0,1,0.5,0.0,0.4762363173389029,0.160672349455491,0.0
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.724528032119854,0.667514407017015,0,0.5,0.724528032119854,0.52280448272128,0.724528032119854,0.709873435228381
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.32912775111611503,0.31300549981087,0,0.5,0.32912775111611503,0.509890581155473,0.32912775111611503,0.326814119131486
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.671485887066777,0.544498185931755,1,0.5,0.544498185931755,0.47142013306636,0.660697711655756,0.544498185931755
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22174899754423302,0.233882034912214,0,0.5,0.22174899754423302,0.511385800940324,0.22174899754423302,0.326814119131486
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.603913501118749,0.5048024807858771,1,0.5,0.5048024807858771,0.46963533026823295,0.611405270260623,0.5048024807858771
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.232809114576674,0.16286803772332997,1,0.5,0.16286803772332997,0.47879725138676293,0.243427515610043,0.16286803772332997
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.481544818712816,0.461780693748165,0,0.5,0.481544818712816,0.520548730538469,0.481544818712816,0.483451092999105
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.4394334252304221,0.327612983755403,0,0.5,0.4394334252304221,0.524443419959977,0.4394334252304221,0.348680501108981
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.731383119803465,0.616083746922538,1,0.5,0.616083746922538,0.472300573209806,0.723081739072347,0.616083746922538
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.614135307442104,0.431938050636554,0,0.5,0.614135307442104,0.537753957254194,0.614135307442104,0.466310070005206
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.804217404748604,0.811612939294889,0,0.5,0.804217404748604,0.518886858997387,0.804217404748604,0.8842945392405059
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.387456760885222,0.41109893031982897,1,0.5,0.41109893031982897,0.486646563230881,0.406327705199594,0.41109893031982897
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.6683026935553449,0.666851072704945,1,0.5,0.666851072704945,0.48458708157847497,0.669210479351104,0.666851072704945
