V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred,reg0,reg1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.082438698206866,0.0136804084417078,0,0.5,0.082438698206866,0.45651370876770003,0.082438698206866,0.122254409547498
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.533709756917176,0.466118406454133,1,0.5,0.466118406454133,0.5766367525674,0.564127526429687,0.466118406454133
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.5073249355347821,0.550343616916764,1,0.5,0.550343616916764,0.543326812058477,0.477377649280974,0.550343616916764
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.5582715878649711,0.52934962985451,0,0.5,0.5582715878649711,0.44963626908565707,0.5582715878649711,0.4942478552454361
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.24547478969014802,0.37058850238473706,0,0.5,0.24547478969014802,0.501631485523828,0.24547478969014802,0.4163765247522879
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.614173021348558,0.536834773607236,1,0.5,0.536834773607236,0.569228909659546,0.5941300093461179,0.536834773607236
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.49807396701449497,0.49633070438604293,1,0.5,0.49633070438604293,0.541644727306001,0.45119623230457895,0.49633070438604293
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.428797576966448,0.42134708143158006,1,0.5,0.42134708143158006,0.541392994959472,0.42394891533437495,0.42134708143158006
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.381098619997327,0.44291787539006605,1,0.5,0.44291787539006605,0.516933590987854,0.40600916359479206,0.44291787539006605
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.559367913228338,0.61302896007093,1,0.5,0.61302896007093,0.541237785540049,0.54489574233974,0.61302896007093
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.4683986526698521,0.475289985815575,1,0.5,0.475289985815575,0.545664453876437,0.42873890253515706,0.475289985815575
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.320886214182088,0.375233645428697,0,0.5,0.320886214182088,0.483436067131652,0.320886214182088,0.397675973029299
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.45484303142062893,0.4294935271099021,1,0.5,0.4294935271099021,0.5568369077610821,0.47176951641918197,0.4294935271099021
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.442385822335734,0.343783292503785,0,0.5,0.442385822335734,0.42492408644983903,0.442385822335734,0.40401287421177096
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.410625916640719,0.461288959879474,1,0.5,0.461288959879474,0.527060087678724,0.430963316259915,0.461288959879474
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.426011298738036,0.46407809148840995,0,0.5,0.426011298738036,0.46537250044858597,0.426011298738036,0.46180284453500303
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.5941300093461179,0.5779306801112679,0,0.5,0.5941300093461179,0.433757364636129,0.5941300093461179,0.529284101799337
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.52283917927996,0.548760020987218,1,0.5,0.548760020987218,0.5326245237265129,0.491500518536954,0.548760020987218
0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.375592576160008,0.449246202277731,1,0.5,0.449246202277731,0.522981632431515,0.347354021037631,0.449246202277731
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.47745993171388396,0.425127872049118,1,0.5,0.425127872049118,0.557312077738592,0.454782244242229,0.425127872049118
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.454619471471584,0.583412838437167,1,0.5,0.583412838437167,0.516483435980962,0.4614776441707079,0.583412838437167
0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.35745565054682893,0.373127009717767,0,0.5,0.35745565054682893,0.46397368906508707,0.35745565054682893,0.403728588370219
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.194937347292038,0.277966677839358,1,0.5,0.277966677839358,0.505938742448676,0.23702745998264202,0.277966677839358
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.502758870039902,0.582776732104007,1,0.5,0.582776732104007,0.532979416725445,0.511955534914288,0.582776732104007
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.24560331200615398,0.21599429686840801,0,0.5,0.24560331200615398,0.455157457455698,0.24560331200615398,0.207976687518472
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.416779468473567,0.425054850024578,0,0.5,0.416779468473567,0.4505616897516289,0.416779468473567,0.434087416616209
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.489931186873698,0.5354319647978929,1,0.5,0.5354319647978929,0.5441907336067121,0.477377649280974,0.5354319647978929
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.513583752019177,0.610013926614803,0,0.5,0.513583752019177,0.47421422531640095,0.513583752019177,0.611740831476792
