V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred,reg0,reg1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0.5924018996704069,0.600568965974938,1,0.9,0.600568965974938,0.947039055673449,0.5958327191512319,0.6171411651175824
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.505160283651545,0.442146964916204,1,0.1,0.442146964916204,0.365112152858984,0.5036067169407172,0.4354850931576064
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.23105389004097196,0.158506013941753,0,0.9,0.23105389004097196,0.883604099244251,0.2528718108203145,0.15526519367013802
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.568579338550148,0.460276943536391,0,0.9,0.568579338550148,0.5102537729818579,0.5475129493016407,0.47692958945962477
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.71162845678588,0.523575330833302,0,0.9,0.71162845678588,0.9192639668323821,0.70003536001869,0.5283771126569095
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.160672349455491,0.0484518378576716,0,0.9,0.160672349455491,0.9050063268897621,0.16120455369076692,0.06833938233157677
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.70555789199635,0.54064753408704,0,0.9,0.70555789199635,0.673715215928103,0.6641299003515688,0.5547747416948162
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.324541793443547,0.29925283631061106,1,0.9,0.29925283631061106,0.8173339295393449,0.26413563864960343,0.2836369527238751
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.434421669696851,0.532045170541361,1,0.9,0.532045170541361,0.980145917925023,0.4446727662131361,0.5205743255752912
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.555320603870947,0.39785253006838,1,0.1,0.39785253006838,0.0233642704234163,0.540626351335118,0.36050788861936445
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11195718391777901,0.0,0,0.9,0.11195718391777901,0.9515681143386451,0.12919202653955864,0.01629509726975381
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.724528032119854,0.667514407017015,1,0.9,0.667514407017015,0.7785375663910801,0.7047564084383002,0.6566137452505177
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.32912775111611503,0.31300549981087,1,0.9,0.31300549981087,0.9039514193559951,0.30009680019903867,0.3397597387526061
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.671485887066777,0.544498185931755,0,0.9,0.671485887066777,0.669342708266707,0.6646219829650363,0.5558673951875731
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22174899754423302,0.233882034912214,1,0.9,0.233882034912214,0.7803491578557509,0.22172805724271039,0.23919596137568228
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.603913501118749,0.5048024807858771,0,0.9,0.603913501118749,0.8111703285108779,0.6310392332625219,0.5015027090840702
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.232809114576674,0.16286803772332997,0,0.9,0.232809114576674,0.814450919764069,0.23853226146250756,0.16129691803521784
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.481544818712816,0.461780693748165,1,0.9,0.461780693748165,0.6062863812553709,0.48884739944650435,0.4420976271195768
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.4394334252304221,0.327612983755403,0,0.9,0.4394334252304221,0.758986796604244,0.4244962701850584,0.3333115215651153
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.731383119803465,0.616083746922538,0,0.9,0.731383119803465,0.519888446030276,0.7182283908167411,0.6232837408526022
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.614135307442104,0.431938050636554,0,0.9,0.614135307442104,0.9747372661040821,0.6262425317308535,0.4234854180492884
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.804217404748604,0.811612939294889,0,0.1,0.804217404748604,0.0675602577793568,0.7969751132940386,0.7961607328989064
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.387456760885222,0.41109893031982897,1,0.9,0.41109893031982897,0.873032488097731,0.4012710513151115,0.41670353641019964
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.6683026935553449,0.666851072704945,1,0.9,0.666851072704945,0.9534159378482141,0.6473630527179365,0.6662528651153373
0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.439263593179776,0.41603650873304604,1,0.9,0.41603650873304604,0.753762751525116,0.4305951611375975,0.41483446522717193
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22282407986207298,0.134340018640536,0,0.9,0.22282407986207298,0.922233442499489,0.24314545741314975,0.13184242698583937
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.659848335388693,0.466310070005206,0,0.9,0.659848335388693,0.9553327771112611,0.6538568233312578,0.46722317676445485
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0.5894222762265661,0.631191794685815,1,0.9,0.631191794685815,0.9759766370778119,0.5867459127972222,0.63689602449602
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.33701999996262105,0.138663634013946,0,0.9,0.33701999996262105,0.978776835173461,0.30670496358822297,0.14111436298885188
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.8822743803269691,0.733977542183515,0,0.9,0.8822743803269691,0.667560923440396,0.8798263838822635,0.7422687364141953
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.37554550085530797,0.38071224722196995,0,0.1,0.37554550085530797,0.256455049577777,0.3540883744658949,0.3606025569806462
0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.36838086782168894,0.321136146337415,0,0.9,0.36838086782168894,0.46845682829607005,0.35463116830686303,0.31573737710763167
0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.39050557142133707,0.325556953259094,1,0.9,0.325556953259094,0.559679545336746,0.3779079020078521,0.33968946481459483
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17499615304131,0.0153498531518689,0,0.9,0.17499615304131,0.9789483191368828,0.17983489122840524,0.031105238601582652
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.219284966779917,0.0696026557814874,0,0.9,0.219284966779917,0.985984509907772,0.23883045903401134,0.06820025921969447
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.935792584927876,0.8831348998911179,1,0.9,0.8831348998911179,0.9238205590959041,0.9259456896282732,0.8895883837718208
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21539909262831897,0.21587960639138698,1,0.9,0.21587960639138698,0.6900318303547,0.2175823629810439,0.21988118902878134
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0.547380701690703,0.518202842082843,1,0.9,0.518202842082843,0.8230453174204101,0.5276046068724085,0.5128151493813915
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0.638756250529416,0.619580468002321,1,0.9,0.619580468002321,0.9305909885672391,0.5964252873233276,0.6079630741483972
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.515750229892075,0.615685871583474,1,0.9,0.615685871583474,0.983518509749511,0.5436842777800367,0.6125898828703127
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.415597404892464,0.30408372975613396,0,0.9,0.415597404892464,0.819713200102996,0.4078399816474897,0.30654672867541016
