V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred,reg0,reg1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.082438698206866,0.0136804084417078,0,0.9,0.082438698206866,0.972701877961621,0.082438698206866,0.169977444398713
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.533709756917176,0.466118406454133,0,0.9,0.533709756917176,0.948010566072584,0.533709756917176,0.40401287421177096
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.5073249355347821,0.550343616916764,1,0.9,0.550343616916764,0.630052619521608,0.47794156309522895,0.550343616916764
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.5582715878649711,0.52934962985451,0,0.9,0.5582715878649711,0.508737032967992,0.5582715878649711,0.5790147040273089
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.24547478969014802,0.37058850238473706,0,0.1,0.24547478969014802,0.0374668937635459,0.24547478969014802,0.420790555074964
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.614173021348558,0.536834773607236,0,0.9,0.614173021348558,0.8393548080941491,0.614173021348558,0.5740971482770351
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.49807396701449497,0.49633070438604293,1,0.9,0.49633070438604293,0.5649090936043311,0.459915452924796,0.49633070438604293
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.428797576966448,0.42134708143158006,1,0.1,0.42134708143158006,0.44087230292825497,0.37832836648672297,0.42134708143158006
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.381098619997327,0.44291787539006605,1,0.9,0.44291787539006605,0.9096698157930749,0.36319459879773497,0.44291787539006605
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.559367913228338,0.61302896007093,1,0.9,0.61302896007093,0.8096642689188941,0.581856377944909,0.61302896007093
