,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree,GAP
0,1,1,0.5,5214,69.92212287,11.44505336,617,69.15,11.4,"branching = {}, treatments = {1: 4}",
1,1,2,0.5,5374,68.9991347,11.43928468,635,68.25,12.25,"branching = {1: 7}, treatments = {2: 0, 3: 4}",
2,1,3,0.5,5390,68.90683588,11.2662244,595,70.25,10.6,"branching = {1: 7, 2: 4, 3: 3}, treatments = {4: 4, 5: 0, 6: 4, 7: 1}",19.9
3,2,1,0.5,5261,69.6509951,11.46812806,570,71.5,11.2,"branching = {}, treatments = {1: 4}",
4,2,2,0.5,5338,69.20680704,18.8174214,590,70.5,18.15,"branching = {1: 7}, treatments = {2: 2, 3: 4}",
5,2,3,0.5,5374,68.9991347,21.33256418,597,70.15,20.45,"branching = {1: 7, 2: 4, 3: 10}, treatments = {4: 2, 5: 2, 6: 5, 7: 4}",75.09
6,3,1,0.5,5226,69.85289876,11.49697145,605,69.75,10.95,"branching = {}, treatments = {1: 4}",
7,3,2,0.5,5846,66.27631958,24.46495529,672,66.4,24.6,"branching = {1: 2}, treatments = {2: 5, 3: 4}",
8,3,3,0.5,5091,70.63167003,15.51773868,578,71.1,15.25,"branching = {1: 9, 2: 9, 3: 10}, treatments = {4: 4, 5: 0, 6: 5, 7: 0}",183.03
9,4,1,0.5,5216,69.91058552,11.47966542,615,69.25,11.1,"branching = {}, treatments = {1: 4}",
10,4,2,0.5,5105,70.55090857,15.72541102,600,70,15.05,"branching = {1: 10}, treatments = {2: 5, 3: 4}",41
11,4,3,0.5,5818,66.43784252,15.98500144,683,65.85,14.5,"branching = {1: 10, 2: 9, 3: 9}, treatments = {4: 0, 5: 5, 6: 0, 7: 0}",200.69
12,5,1,0.5,5224,69.86443611,11.48543409,607,69.65,11.05,"branching = {}, treatments = {1: 4}",
13,5,2,0.5,6056,65.06489761,25.5494664,708,64.6,26.35,"branching = {1: 6}, treatments = {2: 0, 3: 5}",50.5
14,5,3,0.5,6174,64.38419383,11.54312085,692,65.4,11.6,"branching = {1: 5, 2: 5, 3: 5}, treatments = {4: 0, 5: 0, 6: 0, 7: 0}",218
