seed,split,randomization,white_realized_outcome_oos,non_white_realized_outcome_oos,realized_outcome_oos,white_dr_outcome,non_white_dr_outcome,dr_outcome,tree_depth,tree,fairness,dr_disparity,realized_disparity,method
1,1,0.33,0.8254364089775561,0.8801369863013698,0.8484848484848485,0.8320838252656488,0.8640888208269574,0.8460166666666646,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,-0.0320049955613085,-0.0547005773238137,DM
1,1,0.33,0.8308107349108292,0.8625351488663221,0.844178020444745,0.8314475878237922,0.8414475878237833,0.8358009211571158,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.9762141171891311, 1: 0.023785882810868908, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.01,-0.009999999999991,-0.0317244139554928,DM
1,1,0.33,0.8316708229426434,0.8732876712328768,0.8492063492063492,0.8326210153482939,0.8515926493108771,0.840879999999998,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.02,-0.0189716339625831,-0.0416168482902333,DM
1,1,0.33,0.8252826485216319,0.8777790626887382,0.8474023497291259,0.8318331048035273,0.8618331048035199,0.8448931048035215,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.9948618380978449, 1: 0.005138161902155103, 2: 0.0}]}",0.03,-0.0299999999999925,-0.0524964141671062,DM
1,2,0.33,0.8284625158831004,0.8530884808013356,0.8391053391053391,0.8291047396138147,0.8774903175832713,0.849926666666664,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,-0.0483855779694566,-0.0246259649182352,DM
1,2,0.33,0.8269255716863784,0.8177232737134453,0.8229485323748432,0.8278620853440103,0.8378620853440055,0.832165418677336,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.9382774022534711, 1: 0.06172259774652886, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.01,-0.0099999999999952,0.009202297972933,DM
1,2,0.33,0.8285739518328208,0.8279688655046221,0.8283124462696232,0.8288137143744208,0.8488137143744124,0.8374203810410812,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.9632250017775101, 1: 0.03677499822248986, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.02,-0.0199999999999916,0.0006050863281986,DM
1,2,0.33,0.8302223319792655,0.8382144572958005,0.8336763601644074,0.8297653434048323,0.8597653434048333,0.8426753434048221,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.9881726013015605, 1: 0.011827398698439476, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.03,-0.030000000000001,-0.0079921253165349,DM
1,3,0.33,0.8272383354350568,0.8785834738617201,0.8492063492063492,0.8327422196124558,0.8645335389360101,0.8464866666666653,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,-0.0317913193235543,-0.0513451384266633,DM
1,3,0.33,0.8243346092678889,0.854453026740656,0.8372207720105663,0.8304954522548395,0.840495452254836,0.8348187855881656,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.9451748845103793, 1: 0.05482511548962065, 2: 0.0}]}",0.01,-0.0099999999999965,-0.0301184174727671,DM
1,3,0.33,0.8256671243506395,0.8655264485756399,0.8427209333444532,0.8315264900383965,0.8515264900383948,0.8401731567050541,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.9703340383346961, 1: 0.029665961665303834, 2: 0.0}]}",0.02,-0.0199999999999982,-0.0398593242250003,DM
1,3,0.33,0.8269996394333898,0.8765998704106298,0.8482210946783395,0.8325575278219552,0.8625575278219498,0.8455275278219473,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.9954931921590158, 1: 0.004506807840984225, 2: 0.0}]}",0.03,-0.0299999999999945,-0.0496002309772399,DM
1,4,0.33,0.8105395232120451,0.8522920203735145,0.8282828282828283,0.8342731018246097,0.8632052267486588,0.8468199999999992,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,-0.0289321249240491,-0.0417524971614693,DM
1,4,0.33,0.8017565872020075,0.8360613485150378,0.8163348732145442,0.8336080047086593,0.843608004708656,0.8379446713753191,2,"{'branching': ['Weight4', 'Black.or.African.American', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.258374749314653, 1: 0.741625250685347, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.01,-0.0099999999999967,-0.0343047613130302,DM
1,4,0.33,0.8017565872020075,0.8445533118720652,0.8199436512933949,0.8336080047086593,0.8536080047086523,0.8422813380419841,2,"{'branching': ['Weight4', 'Black.or.African.American', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.12319187317172509, 1: 0.8768081268282749, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.02,-0.019999999999993,-0.0427967246700576,DM
1,4,0.33,0.8105395232120451,0.8522920203735145,0.8282828282828283,0.8342731018246097,0.8632052267486588,0.8468199999999992,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.03,-0.0289321249240491,-0.0417524971614693,DM
1,5,0.33,0.8301886792452831,0.9018612521150592,0.8607503607503607,0.8220458553791955,0.854757505773676,0.8362099999999987,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,-0.0327116503944805,-0.0716725728697761,DM
1,5,0.33,0.8176100628930818,0.8810648277158353,0.844667614127027,0.8207701352145866,0.8307701352145827,0.8251001352145785,2,"{'branching': ['Weight4', 'Black.or.African.American', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.3026672594100155, 1: 0.6973327405899845, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.01,-0.009999999999996,-0.0634547648227534,DM
1,5,0.33,0.8281331839697365,0.88643251676506,0.8529924232785626,0.8207873629895903,0.8407873629895845,0.8294473629895837,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.9673176251188098, 1: 0.03268237488119016, 2: 0.0}]}",0.02,-0.0199999999999941,-0.0582993327953235,DM
1,5,0.33,0.8297502008100037,0.8985699929158361,0.8590954368378142,0.8217773936705407,0.8517773936705388,0.8347673936705394,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.9930281928790634, 1: 0.006971807120936635, 2: 0.0}]}",0.03,-0.0299999999999981,-0.0688197921058323,DM
2,1,0.33,0.8266832917705735,0.8698630136986302,0.8448773448773449,0.8255667060212571,0.8634686064318562,0.842066666666667,2,"{'branching': ['VKORC1.A.A', 'X.3..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,-0.037901900410599,-0.0431797219280566,DM
2,1,0.33,0.827930174563591,0.8360617802335847,0.8313564788285811,0.8252833530106313,0.8352833530106283,0.8296366863439604,2,"{'branching': ['Weight4', 'Black.or.African.American', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.457071227892339, 1: 0.542928772107661, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.01,-0.009999999999997,-0.0081316056699937,DM
2,1,0.33,0.827930174563591,0.8474375068048484,0.8361497142669794,0.8252833530106313,0.8452833530106281,0.8339900196772937,2,"{'branching': ['Weight4', 'Black.or.African.American', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.2950364884382516, 1: 0.7049635115617484, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.02,-0.0199999999999967,-0.0195073322412574,DM
2,1,0.33,0.827930174563591,0.8588132333761123,0.8409429497053756,0.8252833530106313,0.855283353010629,0.838343353010627,2,"{'branching': ['Weight4', 'Black.or.African.American', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.133001748984147, 1: 0.866998251015853, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.03,-0.0299999999999976,-0.0308830588125212,DM
2,2,0.33,0.8360864040660737,0.8714524207011686,0.8513708513708513,0.8214862492685852,0.8529976762199873,0.8350466666666656,2,"{'branching': ['Weight4', 'Height4', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,-0.0315114269514021,-0.0353660166350948,DM
2,2,0.33,0.8360864040660737,0.8453493058584997,0.8400896350716031,0.8214862492685852,0.8314862492685791,0.8257895826019097,2,"{'branching': ['Weight4', 'Black.or.African.American', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.3553583134263225, 1: 0.6446416865736775, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.01,-0.0099999999999939,-0.0092629017924259,DM
2,2,0.33,0.8360864040660737,0.8500644001579245,0.8421273994910509,0.8214862492685852,0.8414862492685796,0.8300929159352433,2,"{'branching': ['VKORC1.A.A', 'Asian', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.49274708866935124, 1: 0.5072529113306488, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.02,-0.0199999999999944,-0.0139779960918507,DM
2,2,0.33,0.8360864040660737,0.8696183744810835,0.8505782152338877,0.8214862492685852,0.8514862492685801,0.8343962492685763,2,"{'branching': ['Weight4', 'Black.or.African.American', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.024968038314351793, 1: 0.9750319616856482, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.03,-0.0299999999999949,-0.0335319704150097,DM
2,3,0.33,0.8284993694829761,0.8785834738617201,0.84992784992785,0.8179036993540874,0.8570855821125712,0.8348433333333338,2,"{'branching': ['VKORC1.A.A', 'Height5', 'Weight4'], 'leaves': [{0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,-0.0391818827584838,-0.050084104378744,DM
