seed,split,randomization,white_realized_outcome_oos,non_white_realized_outcome_oos,realized_outcome_oos,white_dr_outcome,non_white_dr_outcome,dr_outcome,tree_depth,tree,fairness,method,dr_disparity,realized_disparity
1,1,0.33,0.8254364089775561,0.8801369863013698,0.8484848484848485,0.8336371821742458,0.8660450368286601,0.8477454015671309,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,DR,-0.032407854654414314,-0.054700577323813726
1,1,0.33,0.8316708229426434,0.8732876712328768,0.8492063492063492,0.8360205363512295,0.8548351214515769,0.8442111523982437,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.02,DR,-0.018814585100347392,-0.04161684829023338
1,1,0.33,0.8308244010193002,0.8627059978161529,0.8442579165527495,0.8347513286696157,0.8447513286696083,0.8391046620029482,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.976592055775126, 1: 0.023407944224874022, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.01,DR,-0.009999999999992681,-0.03188159679685265
1,2,0.33,0.8284625158831004,0.8530884808013356,0.8391053391053391,0.8319800260845783,0.8765973409791296,0.8511803439275295,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,DR,-0.04461731489455123,-0.02462596491823521
1,2,0.33,0.829179331833799,0.8317316361142646,0.8302823839723253,0.8331055010306698,0.8531055010306645,0.8417121676973277,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.9723871952538413, 1: 0.027612804746158695, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.02,DR,-0.01999999999999469,-0.0025523042804656004
1,2,0.33,0.8275356472488306,0.8215152298275381,0.8249337496764243,0.8320573807709019,0.8420573807708982,0.836360714104232,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.9475106612467348, 1: 0.052489338753265266, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.01,DR,-0.009999999999996345,0.0060204174212924455
1,3,0.33,0.8272383354350568,0.8785834738617201,0.8492063492063492,0.8348157889631903,0.86384448469384,0.8473658617507358,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0000000000000029, 1: 2.220446049250313e-16, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,DR,-0.0290286957306497,-0.05134513842666333
1,3,0.33,0.8260364664665104,0.8685957429524255,0.844245449840353,0.8338165260365378,0.8538165260365347,0.842463192703201,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.9773075692367357, 1: 0.022692430763264326, 2: 0.0}]}",0.02,DR,-0.01999999999999691,-0.042559276485915065
1,3,0.33,0.8247053008093644,0.8575335350685208,0.8387508584685843,0.8327097627160502,0.8427097627160499,0.8370330960493729,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.9521738938529943, 1: 0.047826106147005665, 2: 0.0}]}",0.01,DR,-0.009999999999999676,-0.032828234259156375
1,4,0.33,0.8105395232120451,0.8522920203735145,0.8282828282828283,0.839136359767432,0.8634445501215114,0.8496780116509788,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,DR,-0.024308190354079495,-0.04175249716146934
