seed,split,randomization,realized_outcome_oos,tree_depth,tree,method
1,1,0.33,0.8492063492063492,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
1,2,0.33,0.8391053391053391,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
1,3,0.33,0.8448773448773449,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
1,4,0.33,0.8282828282828283,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
1,5,0.33,0.8564213564213564,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
2,1,0.33,0.8448773448773449,2,"{'branching': ['VKORC1.A.A', 'X.3..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
2,2,0.33,0.8528138528138528,2,"{'branching': ['VKORC1.A.A', 'X.3..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
2,3,0.33,0.8513708513708513,2,"{'branching': ['VKORC1.A.A', 'X.3..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
2,4,0.33,0.8398268398268398,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
2,5,0.33,0.8542568542568543,2,"{'branching': ['VKORC1.A.A', 'X.3..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
3,1,0.33,0.829004329004329,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
3,2,0.33,0.8463203463203464,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
3,3,0.33,0.847041847041847,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
3,4,0.33,0.8333333333333334,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
3,5,0.33,0.84992784992785,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
4,1,0.33,0.8405483405483406,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
4,2,0.33,0.8391053391053391,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
