method,file_name,num_rows,depth,branching_limit,time_limit,status,obj_value,gap,solve_time,regret_train,best_found_train,treatment_acc_train,regret_test,best_found_test,treatment_acc_test,prop_pred,ml,randomization,split
Direct,data_train_enc_0.33_1,3000,1,100.0,14400,2,2506.2699999999995,0.0,3.308905839920044,520,82.66666666666667,33.666666666666664,227,83.62193362193362,34.1991341991342,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,1,100.0,14400,2,2497.66,0.0,3.803326606750488,496,83.46666666666667,34.5,224,83.83838383838383,31.67388167388168,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,1,100.0,14400,2,2513.97,0.0,3.0434277057647705,497,83.43333333333334,34.46666666666667,244,82.3953823953824,31.746031746031743,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,1,100.0,14400,2,2495.130595322465,0.0,3.3491806983947754,507,83.1,33.766666666666666,235,83.04473304473305,34.84848484848485,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,1,100.0,14400,2,2530.140000000001,0.0,3.4952332973480225,485,83.83333333333334,34.266666666666666,230,83.40548340548341,34.55988455988456,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,2,100.0,14400,2,2538.05,0.0,190.5014514923096,471,84.3,33.53333333333333,210,84.84848484848484,33.477633477633475,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,2,100.0,14400,2,2526.2000000000003,0.0,174.5160539150238,460,84.66666666666667,34.46666666666667,215,84.48773448773449,31.818181818181817,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,2,100.0,14400,2,2553.3699999999994,0.0,159.1734104156494,448,85.06666666666666,34.233333333333334,237,82.90043290043289,31.818181818181817,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,2,100.0,14400,2,2540.650595322467,0.0,229.84644198417664,446,85.13333333333334,33.733333333333334,224,83.83838383838383,33.910533910533914,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,2,100.0,14400,2,2562.720000000001,0.0,175.6774251461029,438,85.39999999999999,34.2,217,84.34343434343434,33.910533910533914,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,3,100.0,14400,9,2575.54,2.853770471434322,14406.354130506516,411,86.3,33.46666666666667,204,85.28138528138528,33.11688311688312,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,3,100.0,14400,9,2554.09,3.0249521355912643,14406.41617655754,411,86.3,34.86666666666667,201,85.4978354978355,31.601731601731604,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,3,100.0,14400,9,2573.48,2.49687841625644,14406.262994527817,392,86.93333333333332,34.03333333333333,217,84.34343434343434,31.52958152958153,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,3,100.0,14400,9,2565.1934514528702,2.7998778037098404,14406.08352470398,404,86.53333333333333,33.93333333333333,215,84.48773448773449,33.83838383838384,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,3,100.0,14400,9,2602.9500000000007,2.2670431625645104,14406.092500686646,388,87.06666666666666,34.233333333333334,198,85.71428571428571,33.549783549783555,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,4,100.0,14400,9,2604.44,1.7554637465237604,14412.486199378967,368,87.73333333333333,34.0,184,86.72438672438673,33.26118326118326,tree,ml,0.33,1
