seed,split,randomization,white_realized_outcome_oos,non_white_realized_outcome_oos,realized_outcome_oos,white_dr_outcome,non_white_dr_outcome,dr_outcome,tree_depth,tree,fairness,method,dr_disparity,realized_disparity
1,1,0.33,0.8254364089775561,0.8801369863013698,0.8484848484848485,0.8320838252656488,0.8640888208269574,0.8460166666666646,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,DM,-0.032004995561308536,-0.054700577323813726
1,1,0.33,0.8308107349108292,0.8625351488663221,0.844178020444745,0.8314475878237922,0.8414475878237833,0.8358009211571158,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.9762141171891311, 1: 0.023785882810868908, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.01,DM,-0.009999999999991016,-0.03172441395549286
1,1,0.33,0.8316708229426434,0.8732876712328768,0.8492063492063492,0.8326210153482939,0.8515926493108771,0.840879999999998,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",0.02,DM,-0.018971633962583168,-0.04161684829023338
1,1,0.33,0.8252826485216319,0.8777790626887382,0.8474023497291259,0.8318331048035273,0.8618331048035199,0.8448931048035215,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 0.9948618380978449, 1: 0.005138161902155103, 2: 0.0}]}",0.03,DM,-0.029999999999992588,-0.052496414167106265
1,1,0.33,0.8254364089775561,0.8801369863013698,0.8484848484848485,0.8320838252656488,0.8640888208269574,0.8460166666666646,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.04,DM,-0.032004995561308536,-0.054700577323813726
1,1,0.33,0.8254364089775561,0.8801369863013698,0.8484848484848485,0.8320838252656488,0.8640888208269574,0.8460166666666646,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.05,DM,-0.032004995561308536,-0.054700577323813726
1,1,0.33,0.8254364089775561,0.8801369863013698,0.8484848484848485,0.8320838252656488,0.8640888208269574,0.8460166666666646,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.06,DM,-0.032004995561308536,-0.054700577323813726
1,1,0.33,0.8254364089775561,0.8801369863013698,0.8484848484848485,0.8320838252656488,0.8640888208269574,0.8460166666666646,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.07,DM,-0.032004995561308536,-0.054700577323813726
1,1,0.33,0.8254364089775561,0.8801369863013698,0.8484848484848485,0.8320838252656488,0.8640888208269574,0.8460166666666646,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",0.08,DM,-0.032004995561308536,-0.054700577323813726
1,2,0.33,0.8284625158831004,0.8530884808013356,0.8391053391053391,0.8291047396138147,0.8774903175832713,0.849926666666664,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,DM,-0.04838557796945664,-0.02462596491823521
