seed,split,randomization,white_realized_outcome_oos,non_white_realized_outcome_oos,realized_outcome_oos,white_dr_outcome,non_white_dr_outcome,dr_outcome,tree_depth,tree,fairness,method
1,1,0.33,0.8254364089775561,0.8801369863013698,0.8484848484848485,0.861653430923575,0.8659154498738076,0.8635088298399105,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,IPW
1,2,0.33,0.8310038119440915,0.8430717863105175,0.8362193362193362,0.8591090762616609,0.8796897059720755,0.8679656072470467,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",1.0,IPW
1,3,0.33,0.8146279949558638,0.8785834738617201,0.841991341991342,0.8563237024730727,0.8805694715378968,0.8668059566321001,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age1.2'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",1.0,IPW
1,4,0.33,0.8105395232120451,0.8522920203735145,0.8282828282828283,0.8454995555966524,0.8944272823773687,0.866717879777222,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,IPW
1,5,0.33,0.8339622641509434,0.8866328257191202,0.8564213564213564,0.8542394125918099,0.8754978961774204,0.8634443359843772,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",1.0,IPW
2,1,0.33,0.827930174563591,0.8681506849315068,0.8448773448773449,0.82669957531937,0.9090115667667994,0.8625327289294953,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,IPW
2,2,0.33,0.843710292249047,0.8480801335559266,0.8455988455988456,0.8197511969872238,0.8432871970897166,0.8298795223646561,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}]}",1.0,IPW
2,3,0.33,0.8297604035308953,0.8802698145025295,0.8513708513708513,0.8173825028563487,0.8711455395342789,0.8406260557134432,2,"{'branching': ['VKORC1.A.A', 'X.3..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,IPW
2,4,0.33,0.821831869510665,0.8607809847198642,0.8383838383838383,0.8201034808550507,0.8495800526903955,0.8328864875076482,2,"{'branching': ['VKORC1.A.A', 'X.3..3', 'Weight4'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,IPW
2,5,0.33,0.8276729559748428,0.883248730964467,0.8513708513708513,0.8046710799733678,0.8644378053873513,0.8305500720776244,2,"{'branching': ['Weight4', 'X.2..3', 'VKORC1.A.A'], 'leaves': [{0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}, {0: 0.0, 1: 1.0, 2: 0.0}, {0: 1.0, 1: 0.0, 2: 0.0}]}",1.0,IPW
