"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","y0","y1","t","prop_score_t","y","prop_score_t_pred"
-1,"0",1,"0",-1,"0",1,"0",1,"1",0.721641784466364,0.408591536313984,"1",0.817574476193644,0.408591536313984,0.790360506080069
-1,"1",1,"1",1,"0",1,"0",-1,"1",0.732786709397736,0.381442277008611,"0",0.182425523806356,0.732786709397736,0.201078858761371
-1,"1",-1,"1",-1,"0",-1,"1",-1,"1",0.18352906236971,0,"0",0.970687769248644,0.18352906236971,0.969791109768766
1,"0",-1,"0",1,"0",1,"1",-1,"0",0.576713661903507,0.668139727117907,"0",0.5,0.576713661903507,0.690558302528477
1,"1",1,"0",-1,"1",-1,"1",1,"1",0.563116514768771,0.658904994253995,"1",0.5,0.658904994253995,0.325747275991543
-1,"0",1,"1",-1,"0",1,"0",1,"0",0.73255763885128,0.39479135764461,"1",0.817574476193644,0.39479135764461,0.825470858630105
-1,"0",1,"1",1,"0",-1,"1",1,"1",0.855590346366578,0.483855527995819,"1",0.924141819978757,0.483855527995819,0.984880310512903
-1,"1",1,"1",1,"0",1,"0",-1,"1",0.743756981116359,0.399012621476822,"1",0.817574476193644,0.399012621476822,0.798921141238629
1,"1",1,"1",-1,"0",-1,"0",-1,"1",0.240014150467556,0.43811760255928,"0",0.952574126822433,0.240014150467556,0.998573223167323
-1,"1",-1,"0",1,"0",1,"0",-1,"1",0.496608470440565,0.222839839664304,"0",0.622459331201855,0.496608470440565,0.752744758983014
-1,"0",-1,"0",-1,"0",-1,"1",1,"1",0.413798658107705,0.153805638753744,"0",0.817574476193644,0.413798658107705,0.714813591367623
1,"0",-1,"1",-1,"0",1,"1",-1,"0",0.322843607894932,0.50927420593729,"0",0.880797077977882,0.322843607894932,0.91716474829536
1,"0",-1,"0",-1,"0",1,"0",-1,"0",0.241717199381085,0.43098220896856,"0",0.952574126822433,0.241717199381085,0.996742053926349
1,"0",1,"1",1,"1",1,"0",1,"0",0.909584550821108,0.912303076900015,"1",0.952574126822433,0.912303076900015,0.979729844277832
-1,"1",-1,"1",-1,"1",1,"1",-1,"0",0.413972529358845,0.15950936559695,"1",0.182425523806356,0.15950936559695,0.691398910440832
-1,"0",1,"1",1,"0",-1,"0",-1,"1",0.491983855881112,0.223586526748093,"1",0.377540668798145,0.223586526748093,0.338468912483087
1,"1",1,"1",-1,"0",1,"1",-1,"0",0.558425047559907,0.662343547337582,"0",0.5,0.558425047559907,0.873776649829176
1,"1",-1,"0",-1,"0",1,"0",-1,"1",0.241435488330394,0.441764569097403,"0",0.952574126822433,0.241435488330394,0.99745660677938
1,"0",1,"1",-1,"0",-1,"1",1,"1",0.573921465578659,0.672965645413093,"0",0.5,0.573921465578659,0.664158659350622
1,"1",-1,"0",1,"1",1,"1",1,"0",0.791717454343155,0.835804490193816,"1",0.880797077977882,0.835804490193816,0.935896756614579
-1,"0",-1,"1",1,"1",-1,"0",-1,"1",0.282694038022897,0.0796630463646362,"1",0.0758581800212435,0.0796630463646362,0.453990777487131
1,"0",1,"1",-1,"0",-1,"0",1,"1",0.463410006317264,0.584551466924953,"0",0.731058578630005,0.463410006317264,0.952574833031888
1,"1",-1,"0",1,"1",-1,"1",1,"1",0.556905196049845,0.673794222864988,"0",0.5,0.556905196049845,0.405402113197063
-1,"1",1,"0",1,"0",1,"1",-1,"1",0.849885652455583,0.473455559539463,"1",0.924141819978757,0.473455559539463,0.936841711988986
-1,"0",-1,"0",-1,"0",1,"1",-1,"0",0.399728507515084,0.154547395580934,"1",0.182425523806356,0.154547395580934,0.240600872084867
1,"0",-1,"1",-1,"0",-1,"0",1,"1",0.249626674545458,0.434405695261102,"0",0.952574126822433,0.249626674545458,0.988926416380741
-1,"1",1,"0",-1,"0",1,"0",1,"1",0.727229237656734,0.394531906673213,"1",0.817574476193644,0.394531906673213,0.575595832020017
-1,"1",1,"0",-1,"1",1,"1",1,"1",0.845207135867522,0.482405829137129,"1",0.924141819978757,0.482405829137129,0.990052734737002
1,"1",1,"1",-1,"1",1,"0",-1,"1",0.439499277143248,0.58777348565811,"0",0.731058578630005,0.439499277143248,0.817758123193185
1,"0",-1,"0",-1,"1",1,"0",1,"1",0.465470028288897,0.60050747597935,"0",0.731058578630005,0.465470028288897,0.609023168314819
1,"0",1,"0",-1,"1",1,"1",1,"1",0.801973960477247,0.831147435537218,"1",0.880797077977882,0.831147435537218,0.96665607860205
-1,"1",1,"0",1,"1",-1,"0",1,"1",0.725741330393498,0.385040144688579,"1",0.817574476193644,0.385040144688579,0.859698484866072
-1,"0",1,"1",1,"1",-1,"1",1,"0",0.822280745739931,0.481978695041003,"1",0.924141819978757,0.481978695041003,0.995413605288741
