"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","y0","y1","t","prop_score_t","y","prop_score_t_pred"
1,"1",1,"1",-1,"1",1,"1",-1,"1",0.517218634525919,0.75263893240132,"0",0.5,0.517218634525919,0.54380782573745
-1,"0",-1,"1",-1,"0",-1,"1",1,"0",0.368610005066944,0.245876625471534,"0",0.817574476193644,0.368610005066944,0.779643107588974
-1,"1",1,"1",-1,"1",1,"1",1,"0",0.777082835234333,0.564393933554926,"1",0.924141819978757,0.564393933554926,0.925253198639606
1,"1",-1,"1",1,"1",1,"0",-1,"1",0.418093187235063,0.668365517363158,"0",0.731058578630005,0.418093187235063,0.756320446392653
-1,"1",1,"0",-1,"1",1,"0",1,"1",0.689773460210186,0.48203261357013,"0",0.182425523806356,0.689773460210186,0.466455993940263
1,"1",-1,"0",-1,"0",1,"0",1,"1",0.410891762880923,0.695684061534456,"0",0.731058578630005,0.410891762880923,0.810547774291214
-1,"1",1,"1",1,"0",-1,"1",1,"0",0.783506879867951,0.573455747521259,"1",0.924141819978757,0.573455747521259,0.944892083872711
1,"0",-1,"1",-1,"0",-1,"1",-1,"0",0.10980002797543,0.447519019110981,"0",0.982013790037908,0.10980002797543,0.969888534768081
-1,"0",1,"1",-1,"1",-1,"1",-1,"0",0.374312902635604,0.24378452703976,"0",0.817574476193644,0.374312902635604,0.868106987373085
1,"1",1,"1",1,"0",1,"1",-1,"1",0.725753493703996,0.937506658099776,"1",0.880797077977882,0.937506658099776,0.880106321770812
-1,"1",1,"0",1,"1",1,"1",1,"0",0.999914328993846,0.727558941511144,"1",0.989013057369407,0.727558941511144,0.982134040077667
1,"1",1,"0",-1,"0",-1,"1",1,"1",0.516333759989214,0.7596687872657,"0",0.5,0.516333759989214,0.57931410976935
-1,"0",-1,"0",1,"0",-1,"0",1,"1",0.478908023456797,0.330733150515142,"0",0.622459331201855,0.478908023456797,0.835508611540222
-1,"0",-1,"0",1,"0",-1,"1",-1,"1",0.376704196505104,0.231470856868202,"0",0.817574476193644,0.376704196505104,0.911709436442845
1,"1",1,"1",1,"0",-1,"0",1,"0",0.624878668658658,0.8483947043224,"1",0.731058578630005,0.8483947043224,0.792916472861751
-1,"1",-1,"0",1,"0",1,"1",1,"1",0.779214819396789,0.580402790529831,"1",0.924141819978757,0.580402790529831,0.887514125546781
1,"0",-1,"1",1,"0",-1,"0",1,"0",0.417365033179568,0.682240357963301,"0",0.731058578630005,0.417365033179568,0.677603681782168
-1,"0",-1,"1",1,"0",-1,"1",1,"0",0.574050170831069,0.40219840232875,"1",0.622459331201855,0.40219840232875,0.680571777806415
-1,"0",1,"0",1,"0",-1,"0",-1,"0",0.47080420003162,0.333082591600108,"0",0.622459331201855,0.47080420003162,0.833942791945679
1,"0",-1,"0",-1,"0",-1,"1",-1,"1",0.110228700925947,0.436438387123822,"0",0.982013790037908,0.110228700925947,0.988841687317773
-1,"1",-1,"0",-1,"1",1,"1",1,"1",0.573390190005683,0.411688586049822,"0",0.377540668798145,0.573390190005683,0.525857503602433
1,"0",-1,"0",-1,"0",-1,"0",1,"1",0.201301173056336,0.51693732777314,"0",0.952574126822433,0.201301173056336,0.977573799005058
1,"0",1,"0",1,"0",1,"0",1,"1",0.842604656291364,0.99393619545358,"1",0.952574126822433,0.99393619545358,0.84499279639123
-1,"0",-1,"1",-1,"0",1,"0",1,"1",0.477129174324174,0.323211387519391,"0",0.622459331201855,0.477129174324174,0.781213000842132
1,"0",1,"1",1,"0",-1,"1",-1,"0",0.542638016863787,0.769157113644714,"1",0.5,0.769157113644714,0.538703016183361
1,"0",-1,"0",1,"0",1,"1",-1,"1",0.514868242494019,0.758007913981206,"0",0.5,0.514868242494019,0.650459178922735
-1,"0",-1,"0",1,"0",1,"0",-1,"0",0.461559988824307,0.332718174361534,"1",0.377540668798145,0.332718174361534,0.201340262361669
1,"0",1,"0",-1,"1",1,"1",-1,"1",0.520775241438005,0.765680797769194,"0",0.5,0.520775241438005,0.765445188124348
1,"0",-1,"1",-1,"1",1,"0",1,"0",0.425872078311638,0.690546208744169,"0",0.731058578630005,0.425872078311638,0.744330074876006
1,"1",1,"1",1,"0",1,"0",-1,"0",0.621896444400174,0.846220911118286,"0",0.268941421369995,0.621896444400174,0.248452261902661
-1,"1",-1,"1",1,"1",1,"1",-1,"1",0.584824345038674,0.397359112910381,"0",0.377540668798145,0.584824345038674,0.409369947373407
1,"1",1,"0",1,"0",1,"0",1,"0",0.846051132208127,1,"1",0.952574126822433,1,0.934427616600912
-1,"1",-1,"1",-1,"0",-1,"1",-1,"1",0.150130695594454,0.0782002762577617,"0",0.970687769248644,0.150130695594454,0.966025830414061
