split,randomization,budget,tree_depth,propensity_score_pred,ml,oos_regret,oos_optimal_treatment,oos_avg_outcome,tree
1,0.1,0.05,1,tree,linear,143.9705234860537,0.6103,0.48139911998753804,"{'branching': ['V1.9'], 'leaves': [{0: 0.5192307692307694, 1: 0.48076923076923067}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.05,1,tree,lasso,165.31947269763256,0.5851,0.479264225066381,"{'branching': ['V2.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.537037037037037, 1: 0.462962962962963}]}"
1,0.1,0.05,1,log,linear,143.9705234860538,0.6106,0.48139911998753804,"{'branching': ['V1.9'], 'leaves': [{0: 0.5192307692307692, 1: 0.4807692307692308}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.05,1,log,lasso,143.97052348605376,0.6113,0.48139911998753804,"{'branching': ['V1.9'], 'leaves': [{0: 0.5192307692307692, 1: 0.48076923076923084}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.06,1,tree,linear,136.84176043733407,0.6208,0.48211199629240964,"{'branching': ['V1.9'], 'leaves': [{0: 0.4230769230769231, 1: 0.5769230769230769}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.06,1,tree,lasso,162.46049949122855,0.588,0.47955012238702177,"{'branching': ['V2.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.4444444444444445, 1: 0.5555555555555556}]}"
1,0.1,0.06,1,log,linear,136.84176043733405,0.6185,0.48211199629240964,"{'branching': ['V1.9'], 'leaves': [{0: 0.42307692307692324, 1: 0.5769230769230768}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.06,1,log,lasso,136.84176043733407,0.6183,0.48211199629240964,"{'branching': ['V1.9'], 'leaves': [{0: 0.42307692307692335, 1: 0.5769230769230766}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.07,1,tree,linear,129.7129973886143,0.6276,0.4828248725972823,"{'branching': ['V1.9'], 'leaves': [{0: 0.3269230769230769, 1: 0.6730769230769231}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.07,1,tree,lasso,159.60152628482462,0.5928,0.47983601970766165,"{'branching': ['V2.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.35185185185185164, 1: 0.6481481481481484}]}"
1,0.1,0.07,1,log,linear,129.71299738861427,0.6306,0.4828248725972823,"{'branching': ['V1.9'], 'leaves': [{0: 0.326923076923077, 1: 0.6730769230769231}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.07,1,log,lasso,129.7129973886143,0.6294,0.4828248725972823,"{'branching': ['V1.9'], 'leaves': [{0: 0.3269230769230769, 1: 0.6730769230769231}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.08,1,tree,linear,122.58423433989465,0.6398,0.48353774890215473,"{'branching': ['V1.9'], 'leaves': [{0: 0.23076923076923078, 1: 0.7692307692307692}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.08,1,tree,lasso,156.74255307842068,0.5985,0.48012191702830287,"{'branching': ['V2.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.25925925925925924, 1: 0.7407407407407407}]}"
1,0.1,0.08,1,log,linear,122.58423433989462,0.64,0.48353774890215473,"{'branching': ['V1.9'], 'leaves': [{0: 0.23076923076923084, 1: 0.7692307692307692}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.08,1,log,lasso,122.58423433989459,0.6388,0.48353774890215473,"{'branching': ['V1.9'], 'leaves': [{0: 0.23076923076923075, 1: 0.7692307692307693}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.09,1,tree,linear,115.45547129117489,0.6462,0.48425062520702666,"{'branching': ['V1.9'], 'leaves': [{0: 0.1346153846153846, 1: 0.8653846153846154}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.09,1,tree,lasso,153.88357987201766,0.6019,0.4804078143489424,"{'branching': ['V2.1'], 'leaves': [{0: 0.9999999999999998, 1: 0.0}, {0: 0.16666666666666674, 1: 0.8333333333333333}]}"
1,0.1,0.09,1,log,linear,115.45547129117494,0.6485,0.48425062520702666,"{'branching': ['V1.9'], 'leaves': [{0: 0.13461538461538464, 1: 0.8653846153846153}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.09,1,log,lasso,115.45547129117492,0.6463,0.48425062520702666,"{'branching': ['V1.9'], 'leaves': [{0: 0.13461538461538478, 1: 0.8653846153846152}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.1,1,tree,linear,108.32670824245517,0.6568,0.484963501511898,"{'branching': ['V1.9'], 'leaves': [{0: 0.038461538461538464, 1: 0.9615384615384616}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.1,1,tree,lasso,151.02460666561274,0.6045,0.4806937116695831,"{'branching': ['V2.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.07407407407407407, 1: 0.9259259259259259}]}"
1,0.1,0.1,1,log,linear,108.32670824245517,0.6569,0.484963501511898,"{'branching': ['V1.9'], 'leaves': [{0: 0.038461538461538464, 1: 0.9615384615384616}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.1,1,log,lasso,108.32670824245524,0.6564,0.484963501511898,"{'branching': ['V1.9'], 'leaves': [{0: 0.03846153846153846, 1: 0.9615384615384615}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.11,1,tree,linear,106.57480445007164,0.659,0.48513869189113995,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 0.9933035714285714, 1: 0.006696428571428572}]}"
1,0.1,0.11,1,tree,lasso,149.00860505423407,0.6089,0.48089531183072115,"{'branching': ['V2.1'], 'leaves': [{0: 0.9977578475336323, 1: 0.0022421524663677195}, {0: 0.0, 1: 1.0}]}"
1,0.1,0.11,1,log,linear,106.57480445007151,0.6583,0.48513869189113995,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 0.9933035714285715, 1: 0.006696428571428492}]}"
1,0.1,0.11,1,log,lasso,106.57480445007151,0.6587,0.48513869189113995,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 0.9933035714285715, 1: 0.006696428571428492}]}"
1,0.1,0.12,1,tree,linear,108.40747349524541,0.6564,0.48495542498662064,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 0.9821428571428571, 1: 0.017857142857142856}]}"
1,0.1,0.12,1,tree,lasso,122.10984420446971,0.6639,0.4835851879156962,"{'branching': ['V1.7'], 'leaves': [{0: 0.5918367346938775, 1: 0.40816326530612246}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.12,1,log,linear,108.4074734952452,0.6563,0.48495542498662053,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 0.9821428571428572, 1: 0.017857142857142794}]}"
1,0.1,0.12,1,log,lasso,108.40747349524524,0.6555,0.48495542498662064,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 0.982142857142857, 1: 0.017857142857143016}]}"
1,0.1,0.13,1,tree,linear,110.24014254041893,0.6542,0.48477215808210383,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 0.9709821428571429, 1: 0.029017857142857095}]}"
1,0.1,0.13,1,tree,lasso,117.3178029940378,0.6696,0.484064392036738,"{'branching': ['V1.7'], 'leaves': [{0: 0.5578231292517006, 1: 0.44217687074829937}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.13,1,log,linear,110.24014254041873,0.6534,0.48477215808210383,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 0.9709821428571429, 1: 0.029017857142857144}]}"
1,0.1,0.13,1,log,lasso,110.2401425404189,0.6518,0.48477215808210383,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 0.970982142857143, 1: 0.029017857142856984}]}"
1,0.1,0.14,1,tree,linear,98.77085390302861,0.6917,0.4859190869458401,"{'branching': ['V1.8'], 'leaves': [{0: 0.3137254901960783, 1: 0.6862745098039217}, {0: 1.0, 1: 0.0}]}"
1,0.1,0.14,1,tree,lasso,112.52576178360584,0.6783,0.4845435961577826,"{'branching': ['V1.7'], 'leaves': [{0: 0.523809523809524, 1: 0.4761904761904761}, {0: 1.0, 1: 0.0}]}"
