method,file_name,num_rows,depth,branching_limit,time_limit,status,obj_value,gap,solve_time,regret_train,best_found_train,treatment_acc_train,regret_test,best_found_test,treatment_acc_test,prop_pred,ml,budget
IPW,data_train_enc_0.9_3,500,1,100.0,3600,2,387.8666542723405,0.0,1.0814766883850098,20.81159604584504,59.6,33.0,345.73487817032344,32.02,34.35,log,,
IPW,data_train_enc_0.5_3,500,1,100.0,3600,2,256.36717278784505,0.0,1.3161678314208984,4.688848731973859,79.4,52.2,222.40112135659427,50.370000000000005,49.32,log,,
IPW,data_train_enc_0.75_4,500,1,100.0,3600,2,356.21398371274364,0.0,1.5643460750579834,3.001436144002131,75.4,73.8,28.54523395128741,82.93,75.29,log,,
IPW,data_train_enc_0.25_3,500,1,100.0,3600,2,277.26417697716363,0.0,1.3940529823303225,1.515319924254638,88.8,46.0,145.29074060878332,59.92,44.9,log,,
IPW,data_train_enc_0.75_5,500,1,100.0,3600,2,343.06378130439504,0.0,1.797072172164917,1.520461057108055,85.6,76.8,41.93274694285876,80.24,75.62,log,,
IPW,data_train_enc_0.25_2,500,1,100.0,3600,2,260.29194279911417,0.0,1.601649522781372,4.147362670960024,70.19999999999999,35.6,63.74597884426457,73.06,34.760000000000005,log,,
IPW,data_train_enc_0.9_2,500,1,100.0,3600,2,760.9312765223641,0.0,0.7560243606567383,18.201339582917317,48.2,41.2,278.1258932510683,47.0,42.35,log,,
IPW,data_train_enc_0.5_2,500,1,100.0,3600,2,254.4727855069395,0.0,1.3360586166381836,4.147362670960024,70.19999999999999,50.6,63.74597884426457,73.06,50.34,log,,
IPW,data_train_enc_0.1_3,500,1,100.0,3600,2,284.0269459339293,0.0,1.4783544540405271,1.11463943412055,89.60000000000001,38.2,93.41694843558189,69.02000000000001,33.94,tree,,
IPW,data_train_enc_0.75_4,500,1,100.0,3600,2,321.0089349148324,0.0,1.3092012405395508,8.872758430216317,61.2,55.2,148.84461753956975,59.63,49.49,tree,,
IPW,data_train_enc_0.9_4,500,1,100.0,3600,2,323.9141944997656,0.0,1.2139146327972412,11.143604440304992,66.60000000000001,47.8,338.83687803887386,32.28,42.56,tree,,
IPW,data_train_enc_0.25_5,500,1,100.0,3600,2,296.69784416490785,0.0,1.066272497177124,15.686538167752374,47.8,50.2,224.6013162732997,53.3,49.97,tree,,
IPW,data_train_enc_0.9_1,500,1,100.0,3600,2,577.0935340691273,0.0,1.220931053161621,19.061780207399487,51.2,35.4,387.48285593218384,24.9,33.19,log,,
