split,randomization,budget,tree_depth,propensity_score_pred,ml,oos_regret,oos_optimal_treatment,oos_avg_outcome,tree
1,0.1,1.0,1,tree,linear,74.79270573575621,0.7165,0.48831690176256926,"{'branching': ['V1.3'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
1,0.1,1.0,1,tree,lasso,148.73742810048958,0.6093,0.4809224295260962,"{'branching': ['V2.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
2,0.1,1.0,1,tree,linear,15.208549459051529,0.8823,0.4797999708158987,"{'branching': ['V1.4'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
2,0.1,1.0,1,tree,lasso,274.1591725630517,0.426,0.45390490850549714,"{'branching': ['V1.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 1.0, 1: 0.0}]}"
3,0.1,1.0,1,tree,linear,93.41694843558194,0.6902,0.5139086086205825,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.1,1.0,1,tree,lasso,222.40112135659396,0.5037,0.5010101913284815,"{'branching': ['V1.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 1.0, 1: 0.0}]}"
4,0.1,1.0,1,tree,linear,110.93848330628626,0.6272,0.5135360284316813,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
4,0.1,1.0,1,tree,lasso,264.74850019859144,0.4241,0.49815502674245243,"{'branching': ['V1.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 1.0, 1: 0.0}]}"
5,0.1,1.0,1,tree,linear,26.756559412553422,0.8475,0.5095213841954326,"{'branching': ['V1.6'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
5,0.1,1.0,1,tree,lasso,128.73533649513524,0.6567,0.4993235064871742,"{'branching': ['V1.10'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
1,0.25,1.0,1,tree,linear,74.79270573575621,0.7165,0.48831690176256926,"{'branching': ['V1.3'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
1,0.25,1.0,1,tree,lasso,131.23664518805515,0.6355,0.48267250781733984,"{'branching': ['V2.3'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
2,0.25,1.0,1,tree,linear,15.208549459051529,0.8823,0.4797999708158987,"{'branching': ['V1.4'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
2,0.25,1.0,1,tree,lasso,108.72835269107813,0.6312,0.470447990492695,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.25,1.0,1,tree,linear,93.41694843558194,0.6902,0.5139086086205825,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.25,1.0,1,tree,lasso,222.40112135659396,0.5037,0.5010101913284815,"{'branching': ['V1.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 1.0, 1: 0.0}]}"
4,0.25,1.0,1,tree,linear,110.93848330628626,0.6272,0.5135360284316813,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
