split,randomization,tree_depth,propensity_score_pred,oos_regret,oos_optimal_treatment,oos_avg_outcome,tree
1,0.1,1,tree,136.91917201397044,0.6254,0.4821042551347481,"{'branching': ['V2.5'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
1,0.1,1,log,175.70503109258365,0.5337,0.47822566922688703,"{'branching': ['V1.1'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
2,0.1,1,tree,287.0977438246996,0.4113,0.45261105137933316,"{'branching': ['V2.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
2,0.1,1,log,108.72835269107813,0.6312,0.470447990492695,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.1,1,tree,93.41694843558194,0.6902,0.5139086086205825,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.1,1,log,93.41694843558194,0.6902,0.5139086086205825,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
4,0.1,1,tree,148.84461753957004,0.5962,0.5097454150083549,"{'branching': ['V2.4'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
4,0.1,1,log,32.5660542622645,0.818,0.521373271336081,"{'branching': ['V1.3'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
5,0.1,1,tree,72.07701983773511,0.726,0.5049893381529122,"{'branching': ['V1.4'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
5,0.1,1,log,169.98054172935355,0.5391,0.49519898596375106,"{'branching': ['V1.2'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
1,0.25,1,tree,136.91917201397044,0.6254,0.4821042551347481,"{'branching': ['V2.5'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
1,0.25,1,log,136.91917201397044,0.6254,0.4821042551347481,"{'branching': ['V2.5'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
2,0.25,1,tree,33.257454375572316,0.8192,0.4779950803242461,"{'branching': ['V1.6'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
2,0.25,1,log,63.745978844264606,0.7306,0.47494622787737645,"{'branching': ['V1.7'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.25,1,tree,44.32974273845876,0.7958,0.5188173291902934,"{'branching': ['V1.4'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.25,1,log,145.29074060878338,0.5992,0.5087212294032627,"{'branching': ['V1.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
4,0.25,1,tree,296.9599968705119,0.3706,0.4949338770752594,"{'branching': ['V2.7'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
4,0.25,1,log,167.7324417373319,0.5663,0.5078566325885799,"{'branching': ['V2.3'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
5,0.25,1,tree,224.60131627330003,0.5329,0.4897369085093561,"{'branching': ['V2.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
5,0.25,1,log,33.68478658989411,0.8274,0.5088285614776984,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
1,0.5,1,tree,136.91917201397044,0.6254,0.4821042551347481,"{'branching': ['V2.5'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
