method,file_name,num_rows,depth,branching_limit,time_limit,status,obj_value,gap,solve_time,regret_train,best_found_train,treatment_acc_train,regret_test,best_found_test,treatment_acc_test
Kallus,data_train_enc_0.75_5,500,1,100.0,10800,2,299.03791286003064,0.0,1.9881138801574707,11.5162305093472,53.8,52.8,241.8337706101058,44.13,54.67
Kallus,data_train_enc_0.5_3,500,1,100.0,10800,2,261.0973727535021,0.0,1.649883270263672,4.688848731973859,79.4,52.2,222.40112135659427,50.370000000000005,49.32
Kallus,data_train_enc_0.9_2,500,1,100.0,10800,2,264.6012914590192,0.0,1.0599815845489502,10.217634228424828,60.2,50.4,175.04280104981433,57.4,50.89
Kallus,data_train_enc_0.25_5,500,1,100.0,10800,2,291.981994367473,0.0,1.9862477779388428,1.520461057108055,85.6,28.8,41.93274694285876,80.24,25.89
Kallus,data_train_enc_0.1_2,500,1,100.0,10800,2,245.23062913432057,0.0,1.0809247493743896,4.147362670960024,70.19999999999999,25.2,63.74597884426457,73.06,25.95
Kallus,data_train_enc_0.75_2,500,1,100.0,10800,2,246.15277426933008,0.0,2.3577799797058105,10.217634228424828,60.2,51.0,175.04280104981433,57.4,50.44
Kallus,data_train_enc_0.5_4,500,1,100.0,10800,2,301.55203404098154,0.0,2.383305549621582,0.958462959338504,87.2,46.400000000000006,73.39077810227134,70.77,49.91
Kallus,data_train_enc_0.9_5,500,1,100.0,10800,2,311.1543840940968,0.0,1.0205225944519043,17.306228157236205,44.2,48.6,348.7848341374893,34.33,49.57
Kallus,data_train_enc_0.5_1,500,1,100.0,10800,2,282.76225270915603,0.0,1.4971232414245603,4.905546780062995,73.6,48.8,30.54571503533408,83.05,50.36000000000001
Kallus,data_train_enc_0.1_5,500,1,100.0,10800,2,302.0641015446853,0.0,2.6297173500061035,1.2397053270686504,86.8,18.0,26.7565594125534,84.76,18.09
Kallus,data_train_enc_0.25_2,500,1,100.0,10800,2,243.99100400895924,0.0,2.8960721492767334,1.0051418812704265,86.2,25.6,17.754995242623924,87.29,25.15
Kallus,data_train_enc_0.9_1,500,1,100.0,10800,2,306.9736693745484,0.0,0.9942240715026855,6.778316849709079,71.2,52.6,269.68234947053185,43.44,49.21
Kallus,data_train_enc_0.25_3,500,1,100.0,10800,2,266.289479608673,0.0,2.255661964416504,4.688848731973859,79.4,51.0,222.40112135659427,50.370000000000005,49.21
Kallus,data_train_enc_0.1_4,500,1,100.0,10800,2,309.7185654348337,0.0,0.9294919967651368,4.220354876203336,76.6,47.6,264.7485001985924,42.43,49.98
Kallus,data_train_enc_0.75_3,500,1,100.0,10800,2,251.01992590005503,0.0,1.632338047027588,4.688848731973859,79.4,49.2,222.40112135659427,50.370000000000005,49.89
Kallus,data_train_enc_0.1_1,500,1,100.0,10800,2,282.11790162913906,0.0,0.9787309169769288,4.905546780062995,73.6,10.4,30.54571503533408,83.05,9.81
Kallus,data_train_enc_0.9_4,500,1,100.0,10800,2,304.1990362786678,0.0,3.692560195922852,24.71759411562109,23.8,45.4,162.87740644964194,57.59,49.3
Kallus,data_train_enc_0.5_5,500,1,100.0,10800,2,291.0009713351513,0.0,2.438990354537964,7.912250557599858,63.0,53.2,169.98054172935312,53.92,49.78
Kallus,data_train_enc_0.1_3,500,1,100.0,10800,2,266.9681558267265,0.0,1.1019134521484375,4.688848731973859,79.4,50.8,222.40112135659427,50.370000000000005,49.73
Kallus,data_train_enc_0.25_4,500,1,100.0,10800,2,306.11490442602684,0.0,2.1850368976593018,4.220354876203336,76.6,47.0,264.7485001985924,42.43,50.28
Kallus,data_train_enc_0.75_1,500,1,100.0,10800,2,302.3355368688199,0.0,1.8494861125946045,6.778316849709079,71.2,44.8,269.68234947053185,43.44,48.97
Kallus,data_train_enc_0.75_4,500,1,100.0,10800,2,305.3846089889616,0.0,2.7281973361968994,4.220354876203336,76.6,52.8,264.7485001985924,42.43,50.54
Kallus,data_train_enc_0.25_1,500,1,100.0,10800,2,280.7916562759684,0.0,2.7912023067474365,4.905546780062995,73.6,25.2,30.54571503533408,83.05,25.46
Kallus,data_train_enc_0.9_3,500,1,100.0,10800,2,251.55563758170507,0.0,2.908968925476074,34.79481382842817,20.6,52.0,216.010454335727,49.63,49.78
Kallus,data_train_enc_0.5_2,500,1,100.0,10800,2,239.49023830261743,0.0,2.162837266921997,1.0051418812704265,86.2,50.2,17.754995242623924,87.29,50.27
Bertsimas,data_train_enc_0.9_4,500,1,100.0,10800,2,149.86822838422628,0.0,4.301448583602905,24.71759411562109,23.8,45.4,162.87740644964194,57.59,49.3
Bertsimas,data_train_enc_0.75_2,500,1,100.0,10800,2,119.76821819316515,0.0,7.112123012542725,10.217634228424828,60.2,51.0,175.04280104981433,57.4,50.44
Bertsimas,data_train_enc_0.5_3,500,1,100.0,10800,2,126.56245803223136,0.0,6.290416240692139,4.688848731973859,79.4,52.2,222.40112135659427,50.370000000000005,49.32
Bertsimas,data_train_enc_0.9_1,500,1,100.0,10800,2,150.25373998096762,0.0,4.89101767539978,6.778316849709079,71.2,52.6,269.68234947053185,43.44,49.21
Bertsimas,data_train_enc_0.5_2,500,1,100.0,10800,2,114.2738189133306,0.0,7.634896755218506,1.0051418812704265,86.2,50.2,17.754995242623924,87.29,50.27
Bertsimas,data_train_enc_0.75_3,500,1,100.0,10800,2,119.20159454379478,0.0,7.382923364639282,14.363758428797146,56.00000000000001,50.6,115.12617384729738,65.93,50.53
Bertsimas,data_train_enc_0.9_5,500,1,100.0,10800,2,151.50479701362144,0.0,4.933127641677856,17.306228157236205,44.2,48.6,348.7848341374893,34.33,49.57
Bertsimas,data_train_enc_0.75_4,500,1,100.0,10800,2,148.53189802363855,0.0,7.175048828125,4.220354876203336,76.6,52.8,264.7485001985924,42.43,50.54
Bertsimas,data_train_enc_0.5_1,500,1,100.0,10800,2,135.0866949816737,0.0,7.234921216964722,6.778316849709079,71.2,46.6,269.68234947053185,43.44,49.32
Bertsimas,data_train_enc_0.9_2,500,1,100.0,10800,2,129.34770871602382,0.0,4.287076711654663,10.217634228424828,60.2,50.4,175.04280104981433,57.4,50.89
Bertsimas,data_train_enc_0.5_5,500,1,100.0,10800,2,138.50903786207684,0.0,8.747885942459106,7.912250557599858,63.0,53.2,169.98054172935312,53.92,49.78
Bertsimas,data_train_enc_0.5_4,500,1,100.0,10800,2,148.07991238663774,0.0,7.338385820388794,4.220354876203336,76.6,50.4,264.7485001985924,42.43,50.260000000000005
Bertsimas,data_train_enc_0.75_1,500,1,100.0,10800,2,147.63898240876756,0.0,7.358333826065063,6.778316849709079,71.2,44.8,269.68234947053185,43.44,48.97
Bertsimas,data_train_enc_0.9_3,500,1,100.0,10800,2,121.91282263593754,0.0,4.633008718490601,34.79481382842817,20.6,52.0,216.010454335727,49.63,49.78
Bertsimas,data_train_enc_0.75_5,500,1,100.0,10800,2,145.10269773461152,0.0,6.804570913314819,17.306228157236205,44.2,49.2,348.7848341374893,34.33,49.42
Bertsimas,data_train_enc_0.25_4,500,1,100.0,10800,2,150.6116060647121,0.0,7.721902847290039,4.220354876203336,76.6,47.0,264.7485001985924,42.43,50.28
Bertsimas,data_train_enc_0.1_1,500,1,100.0,10800,2,134.29902793610668,0.0,4.834755182266235,4.905546780062995,73.6,10.4,30.54571503533408,83.05,9.81
Bertsimas,data_train_enc_0.1_5,500,1,100.0,10800,2,143.84752629953235,0.0,5.019153356552124,1.2397053270686504,86.8,18.0,26.7565594125534,84.76,18.09
Bertsimas,data_train_enc_0.25_1,500,1,100.0,10800,2,133.7452135832355,0.0,5.925901412963867,4.905546780062995,73.6,25.2,30.54571503533408,83.05,25.46
Bertsimas,data_train_enc_0.25_5,500,1,100.0,10800,2,138.86033423359044,0.0,8.513055801391602,1.520461057108055,85.6,28.8,41.93274694285876,80.24,25.89
Bertsimas,data_train_enc_0.1_4,500,1,100.0,10800,2,152.6805593108542,0.0,5.671982049942017,4.220354876203336,76.6,47.6,264.7485001985924,42.43,49.98
Bertsimas,data_train_enc_0.1_3,500,1,100.0,10800,2,129.77718580191691,0.0,4.340756416320801,4.688848731973859,79.4,50.8,222.40112135659427,50.370000000000005,49.73
Bertsimas,data_train_enc_0.25_2,500,1,100.0,10800,2,116.54278882789752,0.0,6.761532783508301,1.0051418812704265,86.2,25.6,17.754995242623924,87.29,25.15
Bertsimas,data_train_enc_0.1_2,500,1,100.0,10800,2,116.8985341824336,0.0,5.536316394805908,4.147362670960024,70.19999999999999,25.2,63.74597884426457,73.06,25.95
Bertsimas,data_train_enc_0.25_3,500,1,100.0,10800,2,129.18562848373614,0.0,6.561797618865967,4.688848731973859,79.4,51.0,222.40112135659427,50.370000000000005,49.21
