randomization,dataset,seed,model,oos_regret,oosp,solve_time
0.33,1,1,balanced_rf,143,0.8968253968253969,0.8173315525054932
0.33,1,1,lrrf,211,0.8477633477633477,0.7892541885375977
0.33,1,1,balanced_lr,154,0.8888888888888888,0.11023259162902832
0.33,1,2,balanced_rf,133,0.9040404040404041,0.863821268081665
0.33,1,2,lrrf,188,0.8643578643578643,0.8615055084228516
0.33,1,2,balanced_lr,135,0.9025974025974026,0.10957837104797363
0.33,1,3,balanced_rf,163,0.8823953823953824,0.872596263885498
0.33,1,3,lrrf,197,0.8578643578643579,0.8358497619628906
0.33,1,3,balanced_lr,156,0.8874458874458875,0.11305475234985352
0.33,1,4,balanced_rf,137,0.9011544011544012,0.8639469146728516
0.33,1,4,lrrf,173,0.8751803751803752,0.7889983654022217
0.33,1,4,balanced_lr,138,0.9004329004329005,0.11040139198303223
0.33,1,5,balanced_rf,139,0.8997113997113997,0.7973284721374512
0.33,1,5,lrrf,202,0.8542568542568543,0.8000988960266113
0.33,1,5,balanced_lr,162,0.8831168831168831,0.11345267295837402
0.33,2,1,balanced_rf,157,0.8867243867243867,0.821232795715332
0.33,2,1,lrrf,162,0.8831168831168831,0.7985901832580566
0.33,2,1,balanced_lr,140,0.898989898989899,0.11522960662841797
0.33,2,2,balanced_rf,128,0.9076479076479076,0.8544135093688965
0.33,2,2,lrrf,171,0.8766233766233766,0.8121843338012695
0.33,2,2,balanced_lr,132,0.9047619047619048,0.11061787605285645
0.33,2,3,balanced_rf,155,0.8881673881673882,0.807236909866333
0.33,2,3,lrrf,181,0.8694083694083694,0.7859807014465332
0.33,2,3,balanced_lr,150,0.8917748917748918,0.11205315589904785
0.33,2,4,balanced_rf,146,0.8946608946608947,0.8721339702606201
0.33,2,4,lrrf,158,0.886002886002886,0.8030843734741211
0.33,2,4,balanced_lr,137,0.9011544011544012,0.11444711685180664
0.33,2,5,balanced_rf,123,0.9112554112554112,0.8223004341125488
0.33,2,5,lrrf,177,0.8722943722943723,0.8962786197662354
0.33,2,5,balanced_lr,136,0.9018759018759018,0.11219501495361328
0.33,3,1,balanced_rf,136,0.9018759018759018,0.7936422824859619
0.33,3,1,lrrf,188,0.8643578643578643,0.7977185249328613
0.33,3,1,balanced_lr,133,0.9040404040404041,0.10919547080993652
0.33,3,2,balanced_rf,130,0.9062049062049062,0.8539917469024658
0.33,3,2,lrrf,184,0.8672438672438673,0.8159604072570801
0.33,3,2,balanced_lr,131,0.9054834054834054,0.11203932762145996
0.33,3,3,balanced_rf,138,0.9004329004329005,0.7685823440551758
0.33,3,3,lrrf,192,0.8614718614718615,0.7673301696777344
0.33,3,3,balanced_lr,151,0.8910533910533911,0.11106586456298828
0.33,3,4,balanced_rf,137,0.9011544011544012,0.8605461120605469
0.33,3,4,lrrf,182,0.8686868686868687,0.770404577255249
0.33,3,4,balanced_lr,139,0.8997113997113997,0.11390995979309082
0.33,3,5,balanced_rf,128,0.9076479076479076,0.8648707866668701
0.33,3,5,lrrf,208,0.84992784992785,0.8308119773864746
0.33,3,5,balanced_lr,156,0.8874458874458875,0.11493372917175293
0.33,4,1,balanced_rf,160,0.8845598845598845,0.8422954082489014
0.33,4,1,lrrf,189,0.8636363636363636,0.7875347137451172
0.33,4,1,balanced_lr,153,0.8896103896103896,0.11066317558288574
0.33,4,2,balanced_rf,137,0.9011544011544012,0.850975513458252
0.33,4,2,lrrf,176,0.873015873015873,0.8068819046020508
0.33,4,2,balanced_lr,148,0.8932178932178932,0.1087198257446289
0.33,4,3,balanced_rf,132,0.9047619047619048,0.8052608966827393
0.33,4,3,lrrf,183,0.8679653679653679,0.7787411212921143
0.33,4,3,balanced_lr,143,0.8968253968253969,0.10987687110900879
