"random","r0.06","r0.11","random_oos_regret","r0.06_oos_regret","r0.11_oos_regret","time_random","time_r0.06","time_r0.11"
0.839105339105339,0.755411255411255,0.710678210678211,223,339,401,1.95811295509338,2.86701893806458,2.53892683982849
0.842712842712843,0.611832611832612,0.659451659451659,218,538,472,2.00758695602417,2.60085701942444,2.52852988243103
0.841269841269841,0.714285714285714,0.660894660894661,220,396,470,1.89569687843323,2.81561398506165,2.56780314445496
0.850649350649351,0.711399711399711,0.741702741702742,207,400,358,1.7648458480835,2.54080200195312,2.76485991477966
0.863636363636364,0.642857142857143,0.764790764790765,189,495,326,1.85014081001282,2.58176302909851,2.67267203330994
0.856421356421356,0.575757575757576,0.494227994227994,199,588,701,1.97161984443665,2.53141021728516,2.63656497001648
0.837662337662338,0.503607503607504,0.36002886002886,225,688,887,2.20996999740601,2.5751359462738,2.40050196647644
0.857142857142857,0.52958152958153,0.597402597402597,198,652,558,1.83329796791077,2.38815689086914,2.59157204627991
0.847763347763348,0.538239538239538,0.543290043290043,211,640,633,1.85273909568787,2.37169885635376,2.46878814697266
0.873737373737374,0.678932178932179,0.47041847041847,175,445,734,1.92480301856995,2.39949488639832,2.46568298339844
0.831890331890332,0.621933621933622,0.665223665223665,233,524,464,1.7202570438385,2.55683994293213,2.70889616012573
0.834776334776335,0.741702741702742,0.699134199134199,229,358,417,1.85944890975952,2.56901216506958,2.74231100082397
0.847763347763348,0.561327561327561,0.562049062049062,211,608,607,1.87685179710388,2.49785494804382,2.54523801803589
0.852813852813853,0.552669552669553,0.567099567099567,204,620,600,1.85294795036316,2.46761298179626,2.60104894638062
0.83982683982684,0.648629148629149,0.619047619047619,222,487,528,2.09083795547485,2.51226210594177,2.55744886398315
0.848484848484849,0.321067821067821,0.523809523809524,210,941,660,1.83251404762268,2.42972278594971,2.41409707069397
0.857864357864358,0.387445887445887,0.290764790764791,197,849,983,1.82785987854004,2.4297399520874,2.45466208457947
0.845598845598846,0.475468975468975,0.494949494949495,214,727,700,1.87014198303223,2.39371800422668,2.32068300247192
0.862914862914863,0.558441558441558,0.63997113997114,190,612,499,1.97778511047363,2.46000480651855,2.36270594596863
0.874458874458874,0.457431457431457,0.297979797979798,174,752,973,1.86222004890442,2.42191815376282,2.3805148601532
0.854978354978355,0.635642135642136,0.560606060606061,201,505,609,1.94166588783264,2.43048286437988,2.5386791229248
0.852092352092352,0.645021645021645,0.526695526695527,205,492,656,1.74180507659912,2.52701020240784,2.5191490650177
0.857142857142857,0.523809523809524,0.699134199134199,198,660,417,1.80308294296265,2.50675415992737,2.48503708839417
0.844155844155844,0.642135642135642,0.488455988455988,216,496,709,1.88563108444214,2.45186400413513,2.45433497428894
0.878066378066378,0.640692640692641,0.537518037518038,169,498,641,1.77879595756531,2.48886203765869,2.43940782546997
