"random","r0.06","r0.11"
0.857864357864358,0.559163059163059,0.493506493506494
0.863636363636364,0.378787878787879,0.47041847041847
0.857864357864358,0.531024531024531,0.505772005772006
0.851370851370851,0.338383838383838,0.560606060606061
0.869408369408369,0.405483405483406,0.608946608946609
0.867243867243867,0.350649350649351,0.357864357864358
0.870851370851371,0.415584415584416,0.404761904761905
0.881673881673882,0.446608946608947,0.377344877344877
0.865079365079365,0.494949494949495,0.383116883116883
0.872294372294372,0.447330447330447,0.404040404040404
0.840548340548341,0.562770562770563,0.505050505050505
0.862914862914863,0.417027417027417,0.393217893217893
0.857864357864358,0.341269841269841,0.377344877344877
0.842712842712843,0.368686868686869,0.507936507936508
0.860750360750361,0.345598845598846,0.537518037518038
0.859307359307359,0.447330447330447,0.317460317460317
0.858585858585859,0.411976911976912,0.451659451659452
0.87012987012987,0.403318903318903,0.40981240981241
0.856421356421356,0.453823953823954,0.457431457431457
0.876623376623377,0.476190476190476,0.43001443001443
0.859307359307359,0.31024531024531,0.417748917748918
0.853535353535353,0.512265512265512,0.369408369408369
0.872294372294372,0.337662337662338,0.588023088023088
0.852813852813853,0.484848484848485,0.423520923520924
0.883116883116883,0.502886002886003,0.463924963924964
