"random","r0.06","r0.11"
0.829004329004329,0.282828282828283,0.363636363636364
0.816017316017316,0.284992784992785,0.328282828282828
0.81024531024531,0.306637806637807,0.344877344877345
0.838383838383838,0.4004329004329,0.421356421356421
0.835497835497836,0.373015873015873,0.396825396825397
0.841991341991342,0.212842712842713,0.296536796536797
0.827561327561328,0.352092352092352,0.396103896103896
0.816738816738817,0.292207792207792,0.269119769119769
0.831890331890332,0.234487734487734,0.299422799422799
0.787157287157287,0.252525252525253,0.313852813852814
0.807359307359307,0.338383838383838,0.401154401154401
0.827561327561328,0.391774891774892,0.323953823953824
0.81962481962482,0.391774891774892,0.422077922077922
0.825396825396825,0.318903318903319,0.357864357864358
0.83982683982684,0.333333333333333,0.336940836940837
0.813852813852814,0.318181818181818,0.183982683982684
0.837662337662338,0.302308802308802,0.341991341991342
0.806637806637807,0.334776334776335,0.361471861471861
0.795093795093795,0.233044733044733,0.286435786435786
0.821789321789322,0.284992784992785,0.315295815295815
0.794372294372294,0.298701298701299,0.524531024531025
0.811688311688312,0.339105339105339,0.383838383838384
0.852092352092352,0.346320346320346,0.305194805194805
0.821067821067821,0.349206349206349,0.372294372294372
0.852092352092352,0.407647907647908,0.52020202020202
