"random","r0.06","r0.11"
0.857142857142857,0.777056277056277,0.774170274170274
0.860750360750361,0.761183261183261,0.792207792207792
0.873737373737374,0.776334776334776,0.777056277056277
0.852813852813853,0.769119769119769,0.793650793650794
0.869408369408369,0.668831168831169,0.802308802308802
0.863636363636364,0.774891774891775,0.745310245310245
0.877344877344877,0.774891774891775,0.725829725829726
0.885281385281385,0.758297258297258,0.735209235209235
0.862193362193362,0.772005772005772,0.733766233766234
0.878066378066378,0.768398268398268,0.670995670995671
0.837662337662338,0.72943722943723,0.743867243867244
0.84992784992785,0.74963924963925,0.707070707070707
0.853535353535353,0.722943722943723,0.72943722943723
0.844877344877345,0.717893217893218,0.751803751803752
0.857142857142857,0.659451659451659,0.755411255411255
0.857142857142857,0.727994227994228,0.588744588744589
0.852092352092352,0.733766233766234,0.621933621933622
0.857864357864358,0.733766233766234,0.731601731601732
0.84992784992785,0.748196248196248,0.751803751803752
0.871572871572872,0.743145743145743,0.66017316017316
0.859307359307359,0.740981240981241,0.741702741702742
0.863636363636364,0.772727272727273,0.773448773448773
0.875901875901876,0.764790764790765,0.75974025974026
0.857864357864358,0.758297258297258,0.733766233766234
0.885281385281385,0.73953823953824,0.725829725829726
