"random","r0.06","r0.11"
0.86002886002886,0.637085137085137,0.562049062049062
0.864357864357864,0.611832611832612,0.576479076479076
0.880952380952381,0.621212121212121,0.58946608946609
0.854256854256854,0.615440115440115,0.588744588744589
0.878066378066378,0.592352092352092,0.584415584415584
0.867243867243867,0.452380952380952,0.341269841269841
0.88023088023088,0.412698412698413,0.303030303030303
0.884559884559885,0.484126984126984,0.333333333333333
0.865079365079365,0.45021645021645,0.321067821067821
0.878787878787879,0.457431457431457,0.336219336219336
0.854256854256854,0.611832611832612,0.605339105339105
0.865800865800866,0.621212121212121,0.573593073593074
0.865079365079365,0.607503607503608,0.588023088023088
0.855699855699856,0.607503607503608,0.602453102453102
0.873737373737374,0.606782106782107,0.603896103896104
0.86002886002886,0.428571428571429,0.422799422799423
0.865079365079365,0.409090909090909,0.407647907647908
0.871572871572872,0.47041847041847,0.373737373737374
0.857864357864358,0.417027417027417,0.394660894660895
0.880952380952381,0.476911976911977,0.463203463203463
0.86002886002886,0.602453102453102,0.541847041847042
0.87012987012987,0.564213564213564,0.487012987012987
0.88023088023088,0.588023088023088,0.536075036075036
0.861471861471861,0.487734487734488,0.454545454545455
0.888888888888889,0.528138528138528,0.456709956709957
