"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","y0","y1","t","y","prop_score_t"
-1,"0",1,"0",-1,"0",1,"0",1,"1",0.684210526315789,0.444444444444444,"1",0.380609317974413,0.790360506080069
-1,"1",1,"1",1,"0",1,"0",-1,"1",0.684210526315789,0.444444444444444,"0",0.722119842087027,0.201078858761371
-1,"1",-1,"1",-1,"0",-1,"1",-1,"1",0.157894736842105,0.0740740740740741,"0",0.181511602216546,0.969791109768766
1,"0",-1,"0",1,"0",1,"1",-1,"0",0.526315789473684,0.703703703703704,"0",0.639400329485722,0.690558302528477
1,"1",1,"0",-1,"1",-1,"1",1,"1",0.526315789473684,0.703703703703704,"1",0.692656931946929,0.325747275991543
-1,"0",1,"1",-1,"0",1,"0",1,"0",0.684210526315789,0.444444444444444,"1",0.480262525404623,0.825470858630105
-1,"0",1,"1",1,"0",-1,"1",1,"1",0.789473684210526,0.518518518518518,"1",0.677528929679172,0.984880310512903
-1,"1",1,"1",1,"0",1,"0",-1,"1",0.684210526315789,0.444444444444444,"1",0.582503755313862,0.798921141238629
1,"1",1,"1",-1,"0",-1,"0",-1,"1",0.210526315789474,0.481481481481481,"0",0.249807828422933,0.998573223167323
-1,"1",-1,"0",1,"0",1,"0",-1,"1",0.473684210526316,0.296296296296296,"0",0.355471045420145,0.752744758983014
-1,"0",-1,"0",-1,"0",-1,"1",1,"1",0.368421052631579,0.222222222222222,"0",0.49421911058946,0.714813591367623
1,"0",-1,"1",-1,"0",1,"1",-1,"0",0.315789473684211,0.555555555555556,"0",0.111239107591662,0.91716474829536
1,"0",-1,"0",-1,"0",1,"0",-1,"0",0.210526315789474,0.481481481481481,"0",0.265355332141769,0.996742053926349
1,"0",1,"1",1,"1",1,"0",1,"0",0.842105263157895,0.925925925925926,"1",1.077861166129,0.979729844277832
-1,"1",-1,"1",-1,"1",1,"1",-1,"0",0.368421052631579,0.222222222222222,"1",0.34960758862569,0.691398910440832
-1,"0",1,"1",1,"0",-1,"0",-1,"1",0.473684210526316,0.296296296296296,"1",0.135864019636679,0.338468912483087
1,"1",1,"1",-1,"0",1,"1",-1,"0",0.526315789473684,0.703703703703704,"0",0.472439593795401,0.873776649829176
1,"1",-1,"0",-1,"0",1,"0",-1,"1",0.210526315789474,0.481481481481481,"0",0.262783530725222,0.99745660677938
1,"0",1,"1",-1,"0",-1,"1",1,"1",0.526315789473684,0.703703703703704,"0",0.613909762303873,0.664158659350622
1,"1",-1,"0",1,"1",1,"1",1,"0",0.736842105263158,0.851851851851852,"1",0.927752747849551,0.935896756614579
-1,"0",-1,"1",1,"1",-1,"0",-1,"1",0.263157894736842,0.148148148148148,"1",0.0770636314882756,0.453990777487131
1,"0",1,"1",-1,"0",-1,"0",1,"1",0.421052631578947,0.62962962962963,"0",0.499763471229069,0.952574833031888
1,"1",-1,"0",1,"1",-1,"1",1,"1",0.526315789473684,0.703703703703704,"0",0.458564538993956,0.405402113197063
-1,"1",1,"0",1,"0",1,"1",-1,"1",0.789473684210526,0.518518518518518,"1",0.625449538951514,0.936841711988986
-1,"0",-1,"0",-1,"0",1,"1",-1,"0",0.368421052631579,0.222222222222222,"1",0.219570817028748,0.240600872084867
1,"0",-1,"1",-1,"0",-1,"0",1,"1",0.210526315789474,0.481481481481481,"0",0.337562650178966,0.988926416380741
-1,"1",1,"0",-1,"0",1,"0",1,"1",0.684210526315789,0.444444444444444,"1",0.431618392679184,0.575595832020017
-1,"1",1,"0",-1,"1",1,"1",1,"1",0.789473684210526,0.518518518518518,"1",0.582738344062365,0.990052734737002
1,"1",1,"1",-1,"1",1,"0",-1,"1",0.421052631578947,0.62962962962963,"0",0.281477227187695,0.817758123193185
1,"0",-1,"0",-1,"1",1,"0",1,"1",0.421052631578947,0.62962962962963,"0",0.518569859589622,0.609023168314819
1,"0",1,"0",-1,"1",1,"1",1,"1",0.736842105263158,0.851851851851852,"1",1.02138662177721,0.96665607860205
-1,"1",1,"0",1,"1",-1,"0",1,"1",0.684210526315789,0.444444444444444,"1",0.418034963850645,0.859698484866072
-1,"0",1,"1",1,"1",-1,"1",1,"0",0.789473684210526,0.518518518518518,"1",0.373438345138973,0.995413605288741
-1,"1",-1,"0",-1,"1",-1,"0",1,"1",0.263157894736842,0.148148148148148,"0",0.346744589610713,0.907357192325673
1,"0",-1,"0",-1,"1",1,"1",1,"1",0.526315789473684,0.703703703703704,"1",0.776677987598002,0.867027160312485
-1,"0",-1,"1",-1,"0",1,"0",1,"0",0.473684210526316,0.296296296296296,"0",0.572595211565471,0.484549830846724
1,"1",-1,"1",1,"0",1,"0",1,"1",0.631578947368421,0.777777777777778,"1",0.680041406312102,0.539955433147407
1,"1",-1,"0",-1,"0",-1,"1",-1,"0",0.105263157894737,0.407407407407407,"0",0.0613439115661718,0.999447062269536
-1,"1",1,"1",1,"0",-1,"0",1,"0",0.684210526315789,0.444444444444444,"0",0.745162231732679,0.484519265601581
-1,"1",1,"0",1,"1",1,"1",-1,"1",0.789473684210526,0.518518518518518,"1",0.666610240550941,0.990755856036134
1,"1",-1,"1",-1,"0",-1,"0",-1,"1",0,0.333333333333333,"0",-0.000705030567974392,0.999678744155963
-1,"0",1,"0",-1,"1",-1,"1",1,"1",0.578947368421053,0.37037037037037,"1",0.361392133982793,0.927625276174335
1,"1",-1,"0",-1,"0",1,"0",-1,"0",0.210526315789474,0.481481481481481,"0",0.12718784241391,0.998825544348474
1,"1",-1,"1",1,"1",-1,"1",1,"1",0.526315789473684,0.703703703703704,"1",0.813381037205573,0.799606075903466
1,"1",1,"1",1,"1",1,"1",1,"0",0.947368421052632,1,"1",0.977357529123558,0.994369330378963
1,"0",1,"1",1,"1",-1,"1",-1,"0",0.526315789473684,0.703703703703704,"1",0.816184077727778,0.644666630331194
1,"0",-1,"0",1,"0",-1,"0",1,"1",0.421052631578947,0.62962962962963,"0",0.702243376326581,0.947367576269233
1,"0",-1,"1",1,"1",1,"1",-1,"0",0.526315789473684,0.703703703703704,"1",0.641975208126471,0.89804651244387
-1,"1",-1,"1",-1,"0",1,"1",-1,"1",0.368421052631579,0.222222222222222,"0",0.344539072072418,0.597936449912271
1,"1",-1,"1",1,"1",-1,"1",-1,"1",0.315789473684211,0.555555555555556,"0",0.152023816949748,0.758537755475789
-1,"0",1,"0",1,"0",-1,"0",-1,"0",0.473684210526316,0.296296296296296,"0",0.433182000600388,0.920196421035337
-1,"1",1,"0",-1,"1",1,"1",1,"0",0.789473684210526,0.518518518518518,"1",0.590259784359977,0.978676569293781
1,"0",-1,"0",1,"0",1,"0",-1,"0",0.421052631578947,0.62962962962963,"0",0.387614950158038,0.957745212390887
1,"0",1,"1",-1,"1",-1,"1",1,"0",0.526315789473684,0.703703703703704,"0",0.627923377796303,0.372464250422952
1,"1",-1,"1",-1,"1",-1,"0",-1,"0",0,0.333333333333333,"0",-0.151859838224162,0.998930409900043
-1,"0",1,"1",1,"1",-1,"0",1,"0",0.684210526315789,0.444444444444444,"1",0.318737421139247,0.955294821886401
1,"0",1,"1",1,"0",1,"1",-1,"1",0.736842105263158,0.851851851851852,"1",0.774954908979953,0.921594065933926
-1,"0",1,"0",1,"1",1,"0",1,"0",0.894736842105263,0.592592592592593,"1",0.36274873515052,0.99413676069817
1,"1",-1,"1",1,"0",1,"0",1,"1",0.631578947368421,0.777777777777778,"1",0.794073231810494,0.539955433147407
-1,"1",-1,"1",1,"1",-1,"1",1,"1",0.578947368421053,0.37037037037037,"1",0.315853057897922,0.974411925230905
-1,"0",-1,"1",1,"1",1,"0",1,"0",0.684210526315789,0.444444444444444,"1",0.429401427437745,0.990453221928444
1,"1",-1,"0",1,"1",1,"1",1,"0",0.736842105263158,0.851851851851852,"1",0.820689228300138,0.935896756614579
1,"0",-1,"0",-1,"1",-1,"1",-1,"0",0.105263157894737,0.407407407407407,"0",0.149081105340781,0.989010059411988
1,"1",-1,"0",-1,"0",-1,"1",1,"0",0.315789473684211,0.555555555555556,"0",0.314500468683895,0.993112928838854
-1,"1",1,"0",-1,"0",1,"0",-1,"0",0.473684210526316,0.296296296296296,"0",0.543685984235713,0.952477351511341
1,"1",-1,"1",1,"1",1,"1",1,"0",0.736842105263158,0.851851851851852,"1",1.03019480954008,0.975441650561023
-1,"1",-1,"0",-1,"1",1,"0",-1,"0",0.263157894736842,0.148148148148148,"1",0.146244558061574,0.0750007942795902
-1,"0",1,"1",1,"1",-1,"1",-1,"1",0.578947368421053,0.37037037037037,"1",0.345761002002579,0.974058220731403
1,"0",-1,"1",-1,"0",-1,"0",1,"1",0.210526315789474,0.481481481481481,"0",0.161904528111264,0.988926416380741
1,"1",-1,"1",-1,"1",1,"0",1,"1",0.421052631578947,0.62962962962963,"1",0.53972972878696,0.385857210680695
-1,"0",-1,"1",1,"0",-1,"0",-1,"1",0.263157894736842,0.148148148148148,"0",0.119444340316997,0.896800239409787
1,"0",1,"1",-1,"0",-1,"0",1,"1",0.421052631578947,0.62962962962963,"0",0.423243821724673,0.952574833031888
-1,"1",1,"0",-1,"0",1,"0",1,"1",0.684210526315789,0.444444444444444,"0",0.722819190745227,0.424404167979983
-1,"1",-1,"1",1,"1",1,"1",1,"1",0.789473684210526,0.518518518518518,"1",0.445182441976042,0.998784978617474
-1,"0",1,"1",-1,"1",-1,"1",-1,"1",0.368421052631579,0.222222222222222,"0",0.216207495399444,0.264426843045111
-1,"1",-1,"0",-1,"0",1,"1",1,"0",0.578947368421053,0.37037037037037,"0",0.588438413675848,0.411747684412753
1,"1",-1,"1",1,"1",1,"0",-1,"0",0.421052631578947,0.62962962962963,"1",0.535326490588636,0.237794641403139
1,"1",1,"1",-1,"1",-1,"1",-1,"1",0.315789473684211,0.555555555555556,"0",0.349869519602495,0.90509542859343
1,"1",-1,"0",1,"1",-1,"1",1,"1",0.526315789473684,0.703703703703704,"1",0.832447918597365,0.594597886802937
-1,"1",-1,"0",1,"1",1,"0",-1,"1",0.473684210526316,0.296296296296296,"0",0.484367977271157,0.296441196778499
1,"0",1,"1",-1,"0",-1,"0",1,"0",0.421052631578947,0.62962962962963,"0",0.350464295662168,0.977557079356701
-1,"1",-1,"0",-1,"0",1,"0",1,"0",0.473684210526316,0.296296296296296,"0",0.533621362887958,0.876683108550035
-1,"0",1,"1",-1,"0",-1,"1",-1,"1",0.368421052631579,0.222222222222222,"1",0.169160216303216,0.277976271152527
1,"0",-1,"1",1,"1",1,"0",-1,"0",0.421052631578947,0.62962962962963,"0",0.216717573934583,0.535546992912042
1,"0",-1,"0",1,"0",1,"0",1,"0",0.631578947368421,0.777777777777778,"1",0.702733473954603,0.356095717976577
-1,"0",-1,"0",1,"0",1,"1",1,"1",0.789473684210526,0.518518518518518,"1",0.613955799626465,0.991471039859043
1,"1",1,"1",1,"0",-1,"1",-1,"0",0.526315789473684,0.703703703703704,"0",0.56426445838515,0.917155450322075
1,"0",-1,"1",1,"0",1,"1",1,"1",0.736842105263158,0.851851851851852,"1",0.935141294369998,0.970707024734348
1,"1",-1,"1",1,"1",1,"0",-1,"1",0.421052631578947,0.62962962962963,"0",0.449510833884831,0.596461486868168
1,"0",1,"1",-1,"0",1,"1",1,"0",0.736842105263158,0.851851851851852,"1",1.09946024731171,0.834259622452655
1,"1",-1,"1",-1,"0",-1,"0",1,"0",0.210526315789474,0.481481481481481,"0",0.254071236689786,0.998145906646646
-1,"0",-1,"0",1,"0",-1,"1",1,"0",0.578947368421053,0.37037037037037,"1",0.287795919082781,0.712915508495873
1,"0",-1,"0",1,"1",1,"0",1,"0",0.631578947368421,0.777777777777778,"0",0.68900098355605,0.200166012849612
1,"0",-1,"0",1,"0",-1,"1",-1,"0",0.315789473684211,0.555555555555556,"0",0.436356138386761,0.979663678987118
-1,"0",1,"1",-1,"0",-1,"1",1,"1",0.578947368421053,0.37037037037037,"1",0.261386650560777,0.828351862940209
1,"1",1,"0",1,"1",1,"1",1,"0",0.947368421052632,1,"1",0.969478042269634,0.984828548355041
-1,"1",1,"1",-1,"0",-1,"0",-1,"1",0.263157894736842,0.148148148148148,"0",0.297816766540665,0.986547360168896
-1,"0",1,"0",1,"1",1,"1",-1,"1",0.789473684210526,0.518518518518518,"1",0.433231157573347,0.996654733985703
-1,"0",1,"0",1,"1",-1,"1",1,"1",0.789473684210526,0.518518518518518,"1",0.529577091356141,0.994252931129649
1,"0",-1,"1",1,"1",-1,"1",-1,"0",0.315789473684211,0.555555555555556,"0",0.377418816324937,0.710201929190366
