"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","y0","y1","t","y","prop_score_t"
-1,"0",-1,"1",1,"1",1,"0",1,"1",0.684210526315789,0.444444444444444,"1",0.263009187442346,0.768631619886287
1,"0",-1,"0",-1,"0",-1,"1",-1,"1",0.105263157894737,0.407407407407407,"0",0.221555738900693,0.99652927812251
-1,"1",-1,"1",1,"0",-1,"1",-1,"0",0.368421052631579,0.222222222222222,"0",0.356672464550858,0.980167833859532
1,"1",-1,"0",1,"1",-1,"1",-1,"1",0.315789473684211,0.555555555555556,"0",0.464225816572396,0.86606871916882
-1,"0",-1,"0",-1,"1",1,"1",-1,"0",0.368421052631579,0.222222222222222,"0",0.166974525596343,0.956063869156965
1,"0",1,"0",-1,"1",-1,"1",-1,"1",0.315789473684211,0.555555555555556,"0",0.377986386611673,0.785650870560833
1,"1",-1,"0",-1,"1",-1,"1",-1,"1",0.105263157894737,0.407407407407407,"0",-0.0631115285972888,0.982703555244808
1,"0",1,"1",1,"0",-1,"0",1,"1",0.631578947368421,0.777777777777778,"1",0.73012336254728,0.73431362920716
-1,"1",-1,"0",-1,"1",1,"0",-1,"0",0.263157894736842,0.148148148148148,"0",0.132126458160994,0.991504303225038
1,"1",-1,"0",-1,"1",-1,"0",1,"1",0.210526315789474,0.481481481481481,"0",0.224021175192877,0.957324310937921
-1,"1",1,"1",-1,"1",1,"0",-1,"1",0.473684210526316,0.296296296296296,"1",0.272548540240258,0.543666136038896
-1,"0",1,"1",1,"1",1,"1",-1,"0",0.789473684210526,0.518518518518518,"1",0.450177510826025,0.935060437984045
1,"1",-1,"1",1,"1",1,"1",-1,"1",0.526315789473684,0.703703703703704,"0",0.460115004778467,0.236295385455451
-1,"0",1,"0",-1,"0",1,"1",1,"0",0.789473684210526,0.518518518518518,"0",0.770119459496811,0.0242091410643714
-1,"0",-1,"0",-1,"0",1,"1",-1,"0",0.368421052631579,0.222222222222222,"0",0.486588425844027,0.975506490018427
1,"0",1,"1",-1,"1",1,"0",1,"1",0.631578947368421,0.777777777777778,"0",0.736131450240017,0.0647595066849362
-1,"0",1,"0",-1,"1",-1,"1",1,"0",0.578947368421053,0.37037037037037,"1",0.428731164724295,0.74626061370537
-1,"0",1,"0",1,"1",-1,"0",-1,"1",0.473684210526316,0.296296296296296,"0",0.422133763242736,0.846460356164678
-1,"0",1,"1",-1,"1",-1,"0",1,"0",0.473684210526316,0.296296296296296,"0",0.459260492601091,0.858018995137016
-1,"1",-1,"1",-1,"1",-1,"1",1,"0",0.368421052631579,0.222222222222222,"0",0.395037090540315,0.86349287536747
1,"1",1,"0",-1,"1",1,"0",-1,"1",0.421052631578947,0.62962962962963,"1",0.658877092637761,0.560632530129002
1,"1",1,"1",1,"0",1,"0",-1,"0",0.631578947368421,0.777777777777778,"0",0.739124331461313,0.433088661504466
-1,"1",-1,"0",-1,"1",-1,"0",1,"0",0.263157894736842,0.148148148148148,"0",0.384086339288112,0.987349873420406
-1,"0",1,"0",-1,"0",1,"1",-1,"0",0.578947368421053,0.37037037037037,"1",0.190291154900231,0.517992225592458
-1,"1",-1,"0",1,"0",1,"0",1,"1",0.684210526315789,0.444444444444444,"1",0.549668909481109,0.857449270022565
-1,"0",-1,"1",1,"1",1,"0",1,"0",0.684210526315789,0.444444444444444,"0",1.00180796136541,0.539939911036729
1,"0",-1,"1",1,"0",1,"1",-1,"1",0.526315789473684,0.703703703703704,"1",0.725555002243477,0.390071672341733
1,"1",1,"1",1,"1",1,"0",1,"1",0.842105263157895,0.925925925925926,"1",1.05206748703656,0.997153858251832
1,"1",1,"0",1,"0",1,"0",1,"1",0.842105263157895,0.925925925925926,"1",0.995388231891308,0.995666150049792
-1,"1",1,"1",1,"1",-1,"0",1,"0",0.684210526315789,0.444444444444444,"1",0.595746519054474,0.80057382268911
1,"1",-1,"1",1,"0",1,"1",-1,"0",0.526315789473684,0.703703703703704,"0",0.637947863946642,0.688274316897061
