"V1.1","V1.2","V1.3","V1.4","V2.1","V3.1","V3.2","V3.3","V3.4","V4.1","V5.1","V5.2","V5.3","V5.4","V6.1","V7.1","V7.2","V7.3","V7.4","V8.1","V9.1","V9.2","V9.3","V9.4","V10.1","V11.1","V11.2","V11.3","V11.4","V12.1","V13.1","V13.2","V13.3","V13.4","V14.1","V15.1","V15.2","V15.3","V15.4","V16.1","V17.1","V17.2","V17.3","V17.4","V18.1","V19.1","V19.2","V19.3","V19.4","V20.1","y0","y1","t.1","y","prop_score_t"
"0",1,1,1,"0","0",0,0,1,"0","0",0,1,1,"0","0",0,1,1,"1","0",0,0,1,"1","1",1,1,1,"1","1",1,1,1,"0","1",1,1,1,"1","0",0,0,1,"1","1",1,1,1,"1",0.681244677264222,0.541232276063626,1,0.613420060072244,0.985005759902971
"1",1,1,1,"0","1",1,1,1,"0","0",0,1,1,"1","0",0,1,1,"0","0",0,1,1,"0","1",1,1,1,"1","0",0,0,1,"1","0",1,1,1,"1","1",1,1,1,"0","0",0,1,1,"1",0.35968805763864,0.28576338664465,0,0.444203474255381,0.741820166876168
"0",1,1,1,"0","0",0,0,1,"1","0",0,0,1,"0","0",0,1,1,"0","0",0,0,1,"1","0",0,1,1,"0","1",1,1,1,"0","0",0,1,1,"1","0",0,0,1,"1","0",0,0,1,"0",0.654018321821016,0.51960160089326,1,0.510938121202158,0.956055200323796
"0",0,1,1,"0","0",1,1,1,"1","0",0,1,1,"1","1",1,1,1,"1","0",1,1,1,"1","1",1,1,1,"0","0",0,0,1,"0","0",0,0,1,"1","0",0,0,1,"0","0",0,1,1,"0",0.508269941479799,0.403808068470445,1,0.291756031804688,0.628668647083831
"1",1,1,1,"1","0",0,0,1,"1","0",0,0,1,"0","0",0,1,1,"0","0",1,1,1,"0","1",1,1,1,"0","0",0,1,1,"0","1",1,1,1,"1","0",0,0,1,"1","1",1,1,1,"1",0.590707599343497,0.469302776448352,1,0.499740150698515,0.917878998697284
"0",1,1,1,"1","0",1,1,1,"1","1",1,1,1,"0","1",1,1,1,"1","0",0,1,1,"0","1",1,1,1,"0","0",1,1,1,"0","0",0,0,1,"0","1",1,1,1,"0","0",0,1,1,"1",0.403001659915275,0.320174986950784,1,0.370648715893962,0.307478055142069
"0",0,1,1,"1","0",0,0,1,"1","0",1,1,1,"0","0",1,1,1,"0","0",0,0,1,"0","1",1,1,1,"0","0",0,1,1,"0","0",0,0,1,"1","0",0,0,1,"0","0",1,1,1,"1",0.623180982214421,0.495102086900651,1,0.51421667375263,0.930055318562304
"0",1,1,1,"1","0",0,1,1,"1","0",0,1,1,"1","0",1,1,1,"0","0",0,1,1,"0","0",0,0,1,"1","0",0,0,1,"1","0",0,1,1,"0","1",1,1,1,"0","0",0,0,1,"0",0.51798461328212,0.411526138212871,1,0.297233598406417,0.443910184292827
"1",1,1,1,"1","1",1,1,1,"0","0",1,1,1,"1","1",1,1,1,"1","0",1,1,1,"0","0",1,1,1,"0","1",1,1,1,"1","1",1,1,1,"1","1",1,1,1,"0","0",0,0,1,"1",0.272231319041828,0.21628114147256,0,0.180250181255233,0.942669128356546
"1",1,1,1,"1","0",1,1,1,"0","0",1,1,1,"0","0",0,1,1,"0","0",0,1,1,"0","0",0,1,1,"0","1",1,1,1,"1","1",1,1,1,"1","0",1,1,1,"0","0",1,1,1,"1",0.375344783628785,0.298202273473654,0,0.354599400963683,0.690079455928336
"0",0,0,1,"0","0",1,1,1,"0","0",1,1,1,"1","1",1,1,1,"0","0",0,1,1,"0","1",1,1,1,"1","1",1,1,1,"0","1",1,1,1,"1","0",0,1,1,"1","1",1,1,1,"0",0.363521648494199,0.515959199304182,0,0.280463549741261,0.424880914565615
"1",1,1,1,"0","1",1,1,1,"0","0",0,1,1,"1","0",1,1,1,"0","0",0,0,1,"0","0",1,1,1,"0","0",1,1,1,"1","0",0,0,1,"0","1",1,1,1,"0","0",1,1,1,"0",0.473387585829861,0.376094887915856,0,0.602871686109517,0.336592282353313
"0",1,1,1,"0","0",0,0,1,"1","0",0,1,1,"1","0",1,1,1,"0","1",1,1,1,"0","1",1,1,1,"0","0",0,1,1,"1","0",1,1,1,"1","0",0,1,1,"1","0",1,1,1,"0",0.46031684503635,0.365710503236449,0,0.488122378862089,0.552068713916495
"0",0,0,1,"1","1",1,1,1,"1","0",0,1,1,"0","0",0,0,1,"0","0",0,0,1,"1","0",0,0,1,"0","0",0,1,1,"1","0",0,1,1,"1","1",1,1,1,"1","0",1,1,1,"0",0.519097551478984,0.63956045870962,1,0.653131610369019,0.956114917104429
"0",0,1,1,"0","0",0,1,1,"1","0",1,1,1,"0","1",1,1,1,"0","0",1,1,1,"0","0",1,1,1,"1","0",0,0,1,"1","0",0,0,1,"0","0",1,1,1,"1","1",1,1,1,"1",0.446376666670847,0.354635371617377,0,0.425179171594942,0.569534314359423
"0",0,0,1,"1","0",0,0,1,"0","0",0,0,1,"0","0",0,1,1,"1","0",0,0,1,"0","0",0,1,1,"1","0",0,1,1,"1","0",1,1,1,"0","0",0,0,1,"0","1",1,1,1,"1",0.760152013457424,0.831072347853207,1,0.927987923159115,0.998228865623241
"0",0,0,1,"1","0",0,1,1,"0","0",0,0,1,"0","0",0,0,1,"1","0",0,0,1,"0","0",0,0,1,"0","0",0,1,1,"1","0",0,1,1,"0","0",0,0,1,"1","0",0,0,1,"0",0.78292050553602,0.849161359336897,1,0.971692339275344,0.998457493388682
"1",1,1,1,"0","0",1,1,1,"0","0",0,0,1,"0","0",1,1,1,"0","0",1,1,1,"1","0",0,0,1,"1","0",0,1,1,"0","0",0,1,1,"0","0",0,1,1,"1","1",1,1,1,"0",0.434988904788365,0.345588072623897,0,0.352094038020049,0.472023398990197
"0",0,1,1,"1","1",1,1,1,"1","0",1,1,1,"0","1",1,1,1,"1","0",0,0,1,"1","0",0,1,1,"1","0",0,1,1,"0","0",0,1,1,"0","1",1,1,1,"0","1",1,1,1,"0",0.464756058456699,0.369237349997405,1,0.47547921647725,0.616056412466512
