"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prop_score_t","y","prop_score_t_pred"
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.46438398722685,0.334135590564901,0,0.1,0.46438398722685,0.182119553584223
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.269458112083624,0.210874823826692,0,0.1,0.269458112083624,0.242948066661961
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.559789590034422,0.497701715207969,1,0.9,0.497701715207969,0.921305713111343
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.562602953384474,0.479060604787676,1,0.9,0.479060604787676,0.914924155180717
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.279332569458068,0.386699506721148,1,0.9,0.386699506721148,0.911274665151549
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.335474640889621,0.267581863719056,1,0.9,0.267581863719056,0.826049534946515
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.58838463166803,0.541999276501468,1,0.9,0.541999276501468,0.929771294165454
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.308549053849099,0.315855048358964,1,0.9,0.315855048358964,0.853724448247685
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.572066434465424,0.603513689860909,1,0.9,0.603513689860909,0.949053781575661
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.222773748245535,0.280954803098295,1,0.9,0.280954803098295,0.86263332718907
0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.383270739309557,0.369823938702444,1,0.9,0.369823938702444,0.872433903426021
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.540067603286422,0.557611642527686,1,0.9,0.557611642527686,0.943759341747727
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.497175258407425,0.407855221574934,1,0.9,0.407855221574934,0.873410701392546
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.364568008113947,0.281837832627063,0,0.1,0.364568008113947,0.226175899348023
0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.329010563169532,0.361045477464759,1,0.9,0.361045477464759,0.891497595208793
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.297708891318762,0.316216528936893,1,0.9,0.316216528936893,0.870335396114069
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.518119962124794,0.452776414059442,1,0.9,0.452776414059442,0.888486546654905
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.609456865618612,0.583357409795107,1,0.9,0.583357409795107,0.945996318975578
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.733886600623131,0.681637724421733,1,0.9,0.681637724421733,0.959982293308611
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.382489946177018,0.3419748528541,0,0.1,0.382489946177018,0.150349319182551
