"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prop_score_t","y","prop_score_t_pred"
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.383188526456425,0.243395733066455,0,0.5,0.383188526456425,0.442011000063108
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.839895917078912,0.766385357984607,0,0.5,0.839895917078912,0.411241482688428
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.518810334437793,0.36665753432874,1,0.5,0.36665753432874,0.588394950490959
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.552381321602746,0.622671909397301,1,0.5,0.622671909397301,0.478795052370541
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.31884420287861,0.288762330533713,1,0.5,0.288762330533713,0.501385161665042
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.58852035013063,0.430867256260223,1,0.5,0.430867256260223,0.601882745976899
0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.464510690587257,0.405740238368417,0,0.5,0.464510690587257,0.484450699145221
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.663312689403602,0.611135200130589,1,0.5,0.611135200130589,0.531647030672014
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.521931472747308,0.465173874361942,0,0.5,0.521931472747308,0.479907803071196
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.581099116084939,0.431323678130552,1,0.5,0.431323678130552,0.572060630116756
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.951619854718057,0.997672237043981,1,0.5,0.997672237043981,0.542823253984243
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.638582170249452,0.621956963355589,1,0.5,0.621956963355589,0.550121888294727
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.41517199686331,0.245682679038548,1,0.5,0.245682679038548,0.558800452817195
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.794316011312047,0.47654220153901,0,0.5,0.794316011312047,0.310002435439473
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.591230320924689,0.638267751406261,1,0.5,0.638267751406261,0.506136697128148
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.363876051585831,0.276372236313379,0,0.5,0.363876051585831,0.472553189697834
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.909163846308548,1,0.5,0.909163846308548,0.622344055090131
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.642447244145914,0.687247212354721,1,0.5,0.687247212354721,0.52808565986764
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0833970691559185,0.0984758849935997,0,0.5,0.0833970691559185,0.560018715420111
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0.829677965588513,0.816569782186544,1,0.5,0.816569782186544,0.569486592378713
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.633284358263008,0.691019665394227,1,0.5,0.691019665394227,0.526564782785624
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.685496188698682,0.747306479165011,0,0.5,0.685496188698682,0.456356379994027
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.850342120028267,0.698762049074633,1,0.5,0.698762049074633,0.588414799126012
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.619168073636979,0.36560399098904,1,0.5,0.36560399098904,0.656072116966682
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.60056342812748,0.571575532786778,0,0.5,0.60056342812748,0.469091591811525
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.679447410007599,0.602427283693047,1,0.5,0.602427283693047,0.579911926102202
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.787671571875578,0.680085047674299,0,0.5,0.787671571875578,0.404820642713704
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.332722073853805,0.113071023726726,0,0.5,0.332722073853805,0.405957973851337
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.568970602223412,0.472906937628723,1,0.5,0.472906937628723,0.583428557272746
0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.469822828354853,0.435236264411772,0,0.5,0.469822828354853,0.474362479480746
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.740082102672467,0.75616632761994,0,0.5,0.740082102672467,0.481677073846358
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.43334668591431,0.393157865844306,1,0.5,0.393157865844306,0.54853717885363
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.51521712481431,0.507779932158237,1,0.5,0.507779932158237,0.533617489475312
