"V1.1","V1.2","V1.3","V1.4","V2.1","V3.1","V3.2","V3.3","V3.4","V4.1","V5.1","V5.2","V5.3","V5.4","V6.1","V7.1","V7.2","V7.3","V7.4","V8.1","V9.1","V9.2","V9.3","V9.4","V10.1","V11.1","V11.2","V11.3","V11.4","V12.1","V13.1","V13.2","V13.3","V13.4","V14.1","V15.1","V15.2","V15.3","V15.4","V16.1","V17.1","V17.2","V17.3","V17.4","V18.1","V19.1","V19.2","V19.3","V19.4","V20.1","y0","y1","t.1","y","prop_score"
"1",1,1,1,"1","0",1,1,1,"1","0",0,1,1,"1","0",0,1,1,"1","1",1,1,1,"0","1",1,1,1,"1","0",0,1,1,"1","1",1,1,1,"0","0",0,0,1,"0","0",0,1,1,"0",-0.706578885660882,-5.70657888566088,0,-0.682754881712318,0.27764278123173
"1",1,1,1,"1","0",1,1,1,"1","0",0,0,1,"1","0",0,0,1,"1","0",0,0,1,"1","0",0,1,1,"1","0",0,0,1,"1","0",1,1,1,"0","0",1,1,1,"1","0",0,1,1,"1",4.42275155122812,-0.577248448771877,1,-0.620408379094223,0.983061065785236
"0",0,1,1,"0","0",1,1,1,"0","0",1,1,1,"0","0",1,1,1,"1","0",1,1,1,"0","0",1,1,1,"1","0",0,0,1,"1","0",0,0,1,"0","1",1,1,1,"0","0",0,1,1,"1",0.104640012050095,-4.89535998794991,0,0.00554820598227151,0.366249419119817
"0",1,1,1,"0","0",0,1,1,"0","0",0,0,1,"1","0",0,1,1,"1","0",0,1,1,"1","1",1,1,1,"0","1",1,1,1,"0","0",0,1,1,"1","0",1,1,1,"1","0",0,0,1,"1",4.33041475796958,-0.66958524203042,1,-0.719742876322399,0.963486090532444
"0",0,0,1,"1","0",1,1,1,"1","1",1,1,1,"1","1",1,1,1,"1","1",1,1,1,"1","0",0,1,1,"0","0",1,1,1,"1","1",1,1,1,"1","1",1,1,1,"0","1",1,1,1,"1",-3.26152924980515,-3.26152924980515,1,-3.27564809785005,0.0949770002252486
"1",1,1,1,"1","1",1,1,1,"1","0",1,1,1,"1","0",0,0,1,"1","0",1,1,1,"1","0",1,1,1,"0","0",0,1,1,"0","0",0,1,1,"0","0",1,1,1,"1","0",1,1,1,"0",0.281855137174332,-4.71814486282567,1,-4.64288126483964,0.458935562811784
"0",0,1,1,"0","0",0,1,1,"0","0",0,0,1,"1","0",0,0,1,"0","0",1,1,1,"0","0",1,1,1,"0","1",1,1,1,"1","0",0,0,1,"0","0",0,1,1,"0","0",0,1,1,"1",4.46805087792095,-0.53194912207905,1,-0.661167626935025,0.988213797605083
"0",1,1,1,"1","0",0,0,1,"0","0",0,0,1,"1","0",1,1,1,"1","1",1,1,1,"0","0",0,0,1,"0","1",1,1,1,"0","0",0,1,1,"1","0",0,0,1,"1","0",0,1,1,"0",1.8447371623641,-3.1552628376359,1,-3.24022297801878,0.767474645342056
"0",0,0,1,"1","0",0,1,1,"1","1",1,1,1,"1","1",1,1,1,"1","0",0,1,1,"1","1",1,1,1,"1","1",1,1,1,"0","1",1,1,1,"1","0",0,0,1,"0","0",1,1,1,"1",-0.021731847379189,-5.02173184737919,0,-0.0775267263300363,0.271532850751763
"0",0,1,1,"1","1",1,1,1,"0","0",1,1,1,"1","1",1,1,1,"1","0",1,1,1,"0","0",0,0,1,"1","1",1,1,1,"0","1",1,1,1,"1","0",0,1,1,"0","0",0,1,1,"0",-0.990166570216,-5.990166570216,0,-0.980362293798314,0.153617481288525
"0",1,1,1,"0","0",1,1,1,"1","0",1,1,1,"0","0",1,1,1,"0","0",0,0,1,"1","0",1,1,1,"0","0",0,1,1,"0","0",0,1,1,"1","0",0,0,1,"0","1",1,1,1,"1",0.105726937112683,-4.89427306288732,1,-4.87554825622448,0.603613642512861
"0",0,0,1,"0","0",1,1,1,"0","0",0,1,1,"1","1",1,1,1,"0","0",0,0,1,"0","0",1,1,1,"0","0",0,0,1,"1","0",0,0,1,"0","0",1,1,1,"0","0",0,1,1,"1",0.592921923616226,-4.40707807638377,0,0.569319032023055,0.493648345443526
"0",1,1,1,"0","0",0,0,1,"1","0",1,1,1,"0","0",0,1,1,"0","1",1,1,1,"1","0",0,0,1,"1","0",1,1,1,"1","0",0,0,1,"1","1",1,1,1,"1","0",0,0,1,"1",0.123370513667928,-4.87662948633207,0,0.0839089687063394,0.477400158044695
"1",1,1,1,"1","0",0,1,1,"0","0",1,1,1,"0","0",0,1,1,"0","0",0,0,1,"0","0",0,1,1,"0","0",0,1,1,"0","0",0,1,1,"0","0",0,1,1,"0","0",0,0,1,"0",1.99190561636587,-3.00809438363413,0,2.04472640196307,0.882500821257545
"0",0,1,1,"0","1",1,1,1,"0","0",0,1,1,"0","0",1,1,1,"1","0",0,0,1,"0","0",0,1,1,"0","0",1,1,1,"1","0",1,1,1,"1","0",1,1,1,"0","1",1,1,1,"0",0.428905695923054,-4.57109430407695,1,-4.47547361444748,0.642274462862418
"0",0,1,1,"1","1",1,1,1,"0","1",1,1,1,"0","0",0,0,1,"0","0",1,1,1,"0","1",1,1,1,"1","0",1,1,1,"0","0",0,1,1,"0","0",1,1,1,"0","0",0,1,1,"0",-0.484657130988197,-5.4846571309882,1,-5.51256495186073,0.294186454500441
"0",1,1,1,"1","0",0,0,1,"1","0",1,1,1,"0","0",0,1,1,"1","0",0,0,1,"0","1",1,1,1,"0","0",0,0,1,"0","0",0,0,1,"0","0",0,0,1,"0","0",0,0,1,"0",4.81006506608183,-0.189934933918167,1,-0.250459709347253,0.986111629163944
"0",0,0,1,"1","0",0,0,1,"0","0",0,0,1,"1","0",0,1,1,"0","0",0,0,1,"0","0",1,1,1,"1","0",0,0,1,"1","1",1,1,1,"1","1",1,1,1,"1","0",1,1,1,"1",5.82782245827043,0.827822458270427,1,0.785913141332632,0.991889296691285
"0",0,0,1,"1","0",0,1,1,"1","0",1,1,1,"0","0",1,1,1,"0","0",0,1,1,"1","0",0,0,1,"0","0",0,1,1,"0","0",0,1,1,"1","1",1,1,1,"0","0",0,1,1,"1",1.63820415963045,-3.36179584036955,1,-3.2260247649354,0.71703971440487
"0",1,1,1,"0","1",1,1,1,"0","0",0,1,1,"1","0",0,1,1,"0","0",0,1,1,"0","0",0,1,1,"1","1",1,1,1,"0","0",0,1,1,"0","0",1,1,1,"0","0",0,1,1,"1",-1.18304827971077,-6.18304827971077,1,-6.1654014750501,0.224430778179931
"0",0,0,1,"0","0",1,1,1,"1","0",0,0,1,"0","1",1,1,1,"1","0",0,1,1,"0","0",0,1,1,"0","0",1,1,1,"0","1",1,1,1,"0","1",1,1,1,"0","1",1,1,1,"1",0.807210836011143,0.807210836011143,0,0.905385669681238,0.884416488114359
"0",0,1,1,"1","1",1,1,1,"1","0",0,0,1,"0","0",1,1,1,"0","0",1,1,1,"0","0",0,0,1,"0","0",1,1,1,"0","0",1,1,1,"1","0",1,1,1,"1","0",0,1,1,"0",-0.440240458240534,-5.44024045824053,0,-0.373658985820658,0.312493606521556
"0",0,0,1,"1","0",0,1,1,"1","0",0,1,1,"0","0",1,1,1,"1","0",0,1,1,"1","1",1,1,1,"0","0",0,0,1,"0","0",0,0,1,"1","0",0,0,1,"0","0",0,0,1,"0",3.40729605535387,-1.59270394464613,1,-1.52658995980888,0.925201644011975
"0",0,0,1,"0","0",0,0,1,"1","0",0,1,1,"0","0",0,0,1,"0","0",0,0,1,"0","0",0,1,1,"0","0",0,0,1,"1","0",0,1,1,"0","1",1,1,1,"0","1",1,1,1,"0",5.82138436171382,0.821384361713821,1,0.826540930551101,0.996343408503729
"1",1,1,1,"1","0",0,1,1,"1","1",1,1,1,"1","0",0,0,1,"1","1",1,1,1,"1","0",1,1,1,"1","0",0,0,1,"1","0",0,1,1,"0","0",0,1,1,"1","0",1,1,1,"0",-0.673641776216004,-5.673641776216,1,-5.70181579697987,0.260269141845603
