"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prop_score_t","y","prop_score_t_pred"
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.401658273620965,0.497226071541609,0,0.1,0.401658273620965,0.153656951089379
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.511592748453361,0.45597339772831,1,0.9,0.45597339772831,0.85770329358922
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.221170309448091,0.154522506997577,1,0.9,0.154522506997577,0.872032993519476
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.212826591998576,0.25554779859656,1,0.9,0.25554779859656,0.863224548052404
0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.282889933998033,0.175821634406042,1,0.9,0.175821634406042,0.872270595643325
0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.113355224157519,0.111949341765979,1,0.9,0.111949341765979,0.874176042516918
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.686808347501785,0.606163892571586,1,0.9,0.606163892571586,0.856079838634107
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0.563801917091315,0.604599288231121,1,0.9,0.604599288231121,0.848845957752181
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.614338436545318,0.702781007617298,1,0.9,0.702781007617298,0.836057861011881
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.290423422656053,0.211629023237648,1,0.9,0.211629023237648,0.875465165077943
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.160004658829561,0.111427136245822,1,0.9,0.111427136245822,0.876390915520281
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.37058602004349,0.444307190329854,1,0.9,0.444307190329854,0.854200949511973
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.395164205835683,0.480905654015162,1,0.9,0.480905654015162,0.849180158399964
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.251129469537734,0.218236583082772,0,0.1,0.251129469537734,0.134274335758109
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0805417600122785,0.170805134212866,1,0.9,0.170805134212866,0.861278418898134
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.469194490544792,0.410049356230388,1,0.9,0.410049356230388,0.864188345007401
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.302307207181723,0.252241971004179,1,0.9,0.252241971004179,0.867630505289413
0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.330288157324604,0.330026522147739,1,0.9,0.330026522147739,0.859761344188363
0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.232366248886957,0.214293395123929,1,0.9,0.214293395123929,0.868219642790727
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.416755772182088,0.391553483226361,1,0.9,0.391553483226361,0.859504587656816
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.301515020433692,0.203117185468356,1,0.9,0.203117185468356,0.876329313790162
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.671612236420099,0.725406880854978,1,0.9,0.725406880854978,0.839763191756792
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.384010509127279,0.483054181054525,1,0.9,0.483054181054525,0.850672472055242
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0.422304555390264,0.530363884922283,1,0.9,0.530363884922283,0.844726001931245
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.405064784284248,0.418185212301547,1,0.9,0.418185212301547,0.854795903253896
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.335183438804879,0.288672179664806,0,0.1,0.335183438804879,0.128899635063151
