"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","y0","y1","t","y","prop_score_t"
1,"1",1,"1",-1,"1",1,"1",-1,"1",0.526315789473684,0.703703703703704,"0",0.472785114066531,0.54380782573745
-1,"0",-1,"1",-1,"0",-1,"1",1,"0",0.368421052631579,0.222222222222222,"0",0.401402849540902,0.779643107588974
-1,"1",1,"1",-1,"1",1,"1",1,"0",0.789473684210526,0.518518518518518,"1",0.436680152838188,0.925253198639606
1,"1",-1,"1",1,"1",1,"0",-1,"1",0.421052631578947,0.62962962962963,"0",0.424692566440049,0.756320446392653
-1,"1",1,"0",-1,"1",1,"0",1,"1",0.684210526315789,0.444444444444444,"0",0.771931067841829,0.466455993940263
1,"1",-1,"0",-1,"0",1,"0",1,"1",0.421052631578947,0.62962962962963,"0",0.356196385947762,0.810547774291214
-1,"1",1,"1",1,"0",-1,"1",1,"0",0.789473684210526,0.518518518518518,"1",0.497782304173274,0.944892083872711
1,"0",-1,"1",-1,"0",-1,"1",-1,"0",0.105263157894737,0.407407407407407,"0",0.17657986852517,0.969888534768081
-1,"0",1,"1",-1,"1",-1,"1",-1,"0",0.368421052631579,0.222222222222222,"0",0.455645827316176,0.868106987373085
1,"1",1,"1",1,"0",1,"1",-1,"1",0.736842105263158,0.851851851851852,"1",0.7817956463228,0.880106321770812
-1,"1",1,"0",1,"1",1,"1",1,"0",1,0.666666666666667,"1",0.704284878648347,0.982134040077667
1,"1",1,"0",-1,"0",-1,"1",1,"1",0.526315789473684,0.703703703703704,"0",0.464368650461755,0.57931410976935
-1,"0",-1,"0",1,"0",-1,"0",1,"1",0.473684210526316,0.296296296296296,"0",0.555763047694015,0.835508611540222
-1,"0",-1,"0",1,"0",-1,"1",-1,"1",0.368421052631579,0.222222222222222,"0",0.478390563418445,0.911709436442845
1,"1",1,"1",1,"0",-1,"0",1,"0",0.631578947368421,0.777777777777778,"1",0.748253016634296,0.792916472861751
-1,"1",-1,"0",1,"0",1,"1",1,"1",0.789473684210526,0.518518518518518,"1",0.456958470684346,0.887514125546781
1,"0",-1,"1",1,"0",-1,"0",1,"0",0.421052631578947,0.62962962962963,"0",0.417766746052492,0.677603681782168
-1,"0",-1,"1",1,"0",-1,"1",1,"0",0.578947368421053,0.37037037037037,"1",0.357391532624835,0.680571777806415
-1,"0",1,"0",1,"0",-1,"0",-1,"0",0.473684210526316,0.296296296296296,"0",0.478683719395665,0.833942791945679
1,"0",-1,"0",-1,"0",-1,"1",-1,"1",0.105263157894737,0.407407407407407,"0",0.180657181338147,0.988841687317773
-1,"1",-1,"0",-1,"1",1,"1",1,"1",0.578947368421053,0.37037037037037,"0",0.559691138382827,0.525857503602433
1,"0",-1,"0",-1,"0",-1,"0",1,"1",0.210526315789474,0.481481481481481,"0",0.152154042755113,0.977573799005058
1,"0",1,"0",1,"0",1,"0",1,"1",0.842105263157895,0.925925925925926,"1",0.967296839494031,0.84499279639123
-1,"0",-1,"1",-1,"0",1,"0",1,"1",0.473684210526316,0.296296296296296,"0",0.538843565482605,0.781213000842132
1,"0",1,"1",1,"0",-1,"1",-1,"0",0.526315789473684,0.703703703703704,"1",0.891948893041435,0.538703016183361
1,"0",-1,"0",1,"0",1,"1",-1,"1",0.526315789473684,0.703703703703704,"0",0.450429414842653,0.650459178922735
-1,"0",-1,"0",1,"0",1,"0",-1,"0",0.473684210526316,0.296296296296296,"1",0.213369704962855,0.201340262361669
1,"0",1,"0",-1,"1",1,"1",-1,"1",0.526315789473684,0.703703703703704,"0",0.506613698109112,0.765445188124348
1,"0",-1,"1",-1,"1",1,"0",1,"0",0.421052631578947,0.62962962962963,"0",0.498681308251192,0.744330074876006
