"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prop_score_t","y","prop_score_t_pred"
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.46438398722685,0.334135590564901,1,0.5,0.334135590564901,0.401532947328903
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.269458112083624,0.210874823826692,1,0.5,0.210874823826692,0.482356321187896
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.559789590034422,0.497701715207969,0,0.5,0.559789590034422,0.514579945366823
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.562602953384474,0.479060604787676,0,0.5,0.562602953384474,0.533912323986209
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.279332569458068,0.386699506721148,0,0.5,0.279332569458068,0.344904883435172
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.335474640889621,0.267581863719056,1,0.5,0.267581863719056,0.491222407567466
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.58838463166803,0.541999276501468,0,0.5,0.58838463166803,0.545861254679245
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.308549053849099,0.315855048358964,1,0.5,0.315855048358964,0.547417513452925
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.572066434465424,0.603513689860909,1,0.5,0.603513689860909,0.518981530609801
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.222773748245535,0.280954803098295,0,0.5,0.222773748245535,0.380834150773181
0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.383270739309557,0.369823938702444,1,0.5,0.369823938702444,0.519568329260085
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.540067603286422,0.557611642527686,0,0.5,0.540067603286422,0.493642609174791
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.497175258407425,0.407855221574934,0,0.5,0.497175258407425,0.54417904896901
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.364568008113947,0.281837832627063,1,0.5,0.281837832627063,0.419955486739932
0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.329010563169532,0.361045477464759,0,0.5,0.329010563169532,0.41379562937186
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.297708891318762,0.316216528936893,1,0.5,0.316216528936893,0.579344890742697
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.518119962124794,0.452776414059442,0,0.5,0.518119962124794,0.556749550078402
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.609456865618612,0.583357409795107,1,0.5,0.583357409795107,0.49523508772794
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.733886600623131,0.681637724421733,0,0.5,0.733886600623131,0.552454200531858
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.382489946177018,0.3419748528541,1,0.5,0.3419748528541,0.474805929096735
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.555703170940637,0.609522995207373,1,0.5,0.609522995207373,0.545179020313258
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.79290275591152,0.694572506035817,0,0.5,0.79290275591152,0.625331241941078
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.471049417189845,0.512110962695552,1,0.5,0.512110962695552,0.53276376206052
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.253201201260265,0.334220467414798,1,0.5,0.334220467414798,0.616909990653932
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.410882572006972,0.285825343696952,1,0.5,0.285825343696952,0.465411919185891
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.243883058963803,0.231346325225154,1,0.5,0.231346325225154,0.553980169625831
