V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred_log,prob_t_pred_tree,linear0,lasso0,linear1,lasso1
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.5637110300196421,0.5550812593285699,0,0.9,0.5637110300196421,0.548763729988898,0.9246031746031751,0.5552974813717692,0.5301760247161083,0.5410455297592099,0.6189305299035127
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.4481609540944721,0.35323397628006,0,0.9,0.4481609540944721,0.9836910412255492,0.9246031746031751,0.4723552427454021,0.5203378072960735,0.3595999950118396,0.6132027017377896
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.7804435034521731,0.69190427981161,0,0.9,0.7804435034521731,0.796029903527143,0.9246031746031751,0.7777363776500194,0.6748176097405647,0.7064312568584832,0.7031411251024751
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.7510536458091,0.7444855100269921,1,0.9,0.7444855100269921,0.74316331256753,0.9032258064516129,0.7524383627075432,0.6350780703933018,0.7508836141955811,0.6800046926525696
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.220040039422339,0.18123792317985501,0,0.9,0.220040039422339,0.91399391228117,0.9246031746031751,0.2049554057393424,0.34306034044847233,0.17002053620560093,0.509991436484601
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.36433332066378293,0.37525546399837,0,0.9,0.36433332066378293,0.686586742362383,0.9246031746031751,0.3521913712964211,0.41490734725083156,0.34439501308384424,0.5518208951777394
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.7618507530297801,0.786401594152524,1,0.9,0.786401594152524,0.70214419320829,0.9032258064516129,0.7932380596817543,0.6615175554293803,0.7814648519548761,0.6953978091706564
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.759370159399092,0.6700735075067171,0,0.9,0.759370159399092,0.5679545385837729,0.9246031746031751,0.7339944592699419,0.637645420247945,0.697619137504401,0.6814994084309325
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.600982461791683,0.528683524436139,0,0.9,0.600982461791683,0.86413464859652,0.9246031746031751,0.5833105515871583,0.5637132110513245,0.5202550693567196,0.6384559410922075
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.43666171096719,0.299913337673614,0,0.9,0.43666171096719,0.9929078613767192,0.9246031746031751,0.45468426164872594,0.5183466126833735,0.32065790633341906,0.6120434245944695
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.6013654847750711,0.7023904409600171,0,0.1,0.6013654847750711,0.011098797243311,0.0967741935483871,0.5729197194445318,0.4930768377338577,0.6860475545005508,0.5973313154269522
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.586727242367,0.535410941304369,0,0.9,0.586727242367,0.92871335980304,0.9246031746031751,0.6057954536302055,0.5844235583054831,0.5204318444972142,0.6505135431210777
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.543559718911091,0.475358095798067,0,0.9,0.543559718911091,0.7306873619849291,0.9246031746031751,0.5461231557523363,0.532854509430449,0.510744063983932,0.6204899486003406
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0.685318236536873,0.716973067592527,1,0.9,0.716973067592527,0.9371858137254742,0.9032258064516129,0.6929925032353073,0.5829201009419506,0.7433638523692261,0.6496382274957827
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.4180415382000329,0.436149290599745,1,0.9,0.436149290599745,0.795543666667217,0.9032258064516129,0.3986606396115464,0.4208698656547482,0.4448279481814292,0.5552922842916909
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.6344365522696079,0.755353402111104,1,0.9,0.755353402111104,0.9942171395586251,0.9032258064516129,0.6275922321139661,0.5190348760063366,0.7527547064890158,0.6124441327592103
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.6271103089967459,0.703755987386097,1,0.9,0.703755987386097,0.974292148539494,0.9032258064516129,0.6034870546405242,0.5200128880656869,0.6895986629054516,0.6130135331679221
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.438336599187312,0.330713501228539,0,0.9,0.438336599187312,0.986509704368053,0.9246031746031751,0.4435827125175126,0.5051187073661882,0.32872643549576674,0.6043421139388421
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.684896459058807,0.687289285441933,1,0.9,0.687289285441933,0.5988629570693941,0.9032258064516129,0.6918536613061064,0.605635767521119,0.6788023882840006,0.662863330101299
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.542553293660725,0.434116125603601,0,0.9,0.542553293660725,0.873455943580279,0.9246031746031751,0.5212979506799575,0.5275243718465774,0.46291588639354386,0.6173867327557805
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.537338338228035,0.5002978898404229,0,0.9,0.537338338228035,0.623196206595276,0.9246031746031751,0.537782098279239,0.5228445031098707,0.5170000388442965,0.6146621046226993
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0.7803421574392441,0.7990932524144341,1,0.9,0.7990932524144341,0.8510830991140629,0.9032258064516129,0.7918164385431596,0.6516683744099876,0.8046504509756263,0.6896635979773461
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.41174691229623994,0.386167257709784,0,0.9,0.41174691229623994,0.732754444115143,0.9246031746031751,0.4054575881539131,0.44898713160901527,0.385511307336484,0.5716622079272484
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.654120436260841,0.62442948919739,0,0.9,0.654120436260841,0.534118445306684,0.9246031746031751,0.6540696406268387,0.5885413963788433,0.6304055401853228,0.652910955974594
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.604924343843697,0.615159886991709,1,0.9,0.615159886991709,0.7983256730032751,0.9032258064516129,0.6246727396527514,0.5556196357732139,0.6460511490199222,0.6337438467706328
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.4271646721467,0.39283472898076294,0,0.9,0.4271646721467,0.697121337667343,0.9246031746031751,0.4348976625429642,0.4647835108757678,0.4164921969780968,0.5808588888113583
