V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred_log,prob_t_pred_tree,linear0,lasso0,linear1,lasso1
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.65267119329174,0.577828870263634,1,0.5,0.577828870263634,0.528573970450459,0.5912408759124089,0.6671063793369922,0.6300304505382995,0.5789404069335802,0.5529621854649556
0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.503399790447914,0.475952077697736,0,0.5,0.503399790447914,0.510058884880783,0.5497382198952879,0.514308176758712,0.5693887405145398,0.49294756787649746,0.5299986572451376
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.521165603754799,0.442478434107106,0,0.5,0.521165603754799,0.455126640007397,0.5497382198952879,0.5208379514772886,0.5832217785775498,0.43896945900916734,0.5247498513055163
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.6819351026346689,0.75597345038231,0,0.5,0.6819351026346689,0.591824379044688,0.647887323943662,0.6957584143051833,0.6143024465428785,0.7340458135477725,0.5722868192657723
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.4922190793869871,0.46665320491690004,0,0.5,0.4922190793869871,0.51669409950472,0.5497382198952879,0.4774611195500582,0.5553300898234864,0.4693128490228276,0.5241479059674258
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.43338477684150706,0.36861855984968894,1,0.5,0.36861855984968894,0.54718668210688,0.450261780104712,0.42935247469012594,0.5522779436150299,0.3599708452950761,0.5080278061158526
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.6184044217244921,0.5713978572001539,0,0.5,0.6184044217244921,0.52934268582008,0.5497382198952879,0.5966654547235212,0.5936210171077838,0.5826501157286308,0.5470606971769011
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.8932658813683181,0.852106338235598,1,0.5,0.852106338235598,0.447291365627779,0.324324324324324,0.8843310863999563,0.6875117257426889,0.8485337027733215,0.6015303551502256
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.473692601582745,0.459899682742913,0,0.5,0.473692601582745,0.5296628514169319,0.5497382198952879,0.46704793524938853,0.5490160145756542,0.474639634634232,0.5237918628430966
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.614635647193323,0.549749591232519,1,0.5,0.549749591232519,0.5134070033180129,0.5912408759124089,0.6027986432051938,0.604735290019645,0.5415849731374061,0.5431718201284371
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.838441795238863,0.861677888362485,0,0.5,0.838441795238863,0.5924045979926221,0.647887323943662,0.8444745229734711,0.6652757773404592,0.8590175542453424,0.5990972914737973
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.444465971125101,0.46096431408412203,0,0.5,0.444465971125101,0.519255789623671,0.5497382198952879,0.4569546353797152,0.5477439852433212,0.45493906634131687,0.5207599133807318
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.423902901192354,0.344108227566746,1,0.5,0.344108227566746,0.53714237739679,0.450261780104712,0.4093912860854009,0.5432895473812906,0.35420558854165907,0.5056188628862652
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.44742211833610296,0.279824931193784,0,0.5,0.44742211833610296,0.38035993682728403,0.3125,0.4565494119183818,0.5773431153763716,0.3020850847334977,0.5042058253112083
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.252579795924061,0.31934140543328804,1,0.5,0.31934140543328804,0.44822532008421206,0.35211267605633795,0.24901959290646758,0.46941359599251414,0.3164081225192643,0.4871858602913037
0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.47330490169814704,0.431813160817445,0,0.5,0.47330490169814704,0.495835290959576,0.5497382198952879,0.4612995437465289,0.5541691166764193,0.4332762203439224,0.5188077053169752
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.390770981518776,0.392128442765964,1,0.5,0.392128442765964,0.50483828103077,0.450261780104712,0.3965697695088489,0.5320693743568479,0.37843633576772334,0.5070901610163828
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.6167002601465389,0.6181614464105649,1,0.5,0.6181614464105649,0.44551817165556495,0.450261780104712,0.6131767011043011,0.59396381744964,0.6237913075678964,0.5529837964552663
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.5919970217220041,0.58651207454427,1,0.5,0.58651207454427,0.453125746165161,0.450261780104712,0.5831181851617016,0.5852536276882184,0.5903645294813614,0.5466822603730895
