approach,dataset,nrow,depth,b_limit,time_limit,status,obj value,gap,solving time,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test,pred
FlowOPT,data_train_enc_1,2000,0,100,3600,2,1866.714286,0,0.132856846,897,55.15,50,1105,53.68818106,48.6169321,1
FlowOPT,data_train_enc_1,2000,1,100,3600,2,2099.272939,0,7.610577822,872,56.4,50.35,1086,54.48449288,50.50293378,1
FlowOPT,data_train_enc_1,2000,2,100,3600,2,2329.35627,0,298.7566581,862,56.9,51.2,1071,55.1131601,51.00586756,1
FlowOPT,data_train_enc_2,2000,0,100,3600,2,1835.316811,0,0.222768784,937,53.15,48.35,1065,55.36462699,50,1
FlowOPT,data_train_enc_2,2000,1,100,3600,2,2054.577251,0,10.30195308,877,56.15,50.95,1081,54.69404862,50,1
FlowOPT,data_train_enc_2,2000,2,100,3600,2,2271.67602,0,317.613842,853,57.35,52.05,1054,55.82564962,51.00586756,1
FlowOPT,data_train_enc_3,2000,0,100,3600,2,1859.547039,0,0.133280039,881,55.95,50.65,1121,53.01760268,48.07208718,1
FlowOPT,data_train_enc_3,2000,1,100,3600,2,2086.316876,0,10.00298095,866,56.7,50.95,1092,54.23302598,50,1
FlowOPT,data_train_enc_3,2000,2,100,3600,2,2321.747029,0,356.7584689,842,57.9,52.35,1091,54.27493713,50.04191115,1
FlowOPT,data_train_enc_4,2000,0,100,3600,2,1861.065275,0,0.13442874,907,54.65,50.15,1095,54.10729254,48.49119866,1
FlowOPT,data_train_enc_4,2000,1,100,3600,2,2059.415012,0,10.86050296,880,56,51.4,1078,54.81978206,49.62279966,1
FlowOPT,data_train_enc_4,2000,2,100,3600,2,2296.52894,0,264.2051191,867,56.65,52.2,1100,53.8977368,49.16177703,1
FlowOPT,data_train_enc_5,2000,0,100,3600,2,1874.270293,0,0.176284313,893,55.35,49.9,1109,53.52053646,48.7007544,1
FlowOPT,data_train_enc_5,2000,1,100,3600,2,2043.456877,0,10.90104699,873,56.35,50.95,1085,54.52640402,50,1
FlowOPT,data_train_enc_5,2000,2,100,3600,2,2257.246184,0,234.886976,993,50.35,46.5,1223,48.74266555,45.13830679,1
