"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prob_t","y","prob_t_pred_log","prob_t_pred_tree"
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.563711030019642,0.55508125932857,0,0.75,0.563711030019642,0.519765324618926,0.773809523809524
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.448160954094472,0.35323397628006,0,0.75,0.448160954094472,0.837837548409821,0.773809523809524
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.780443503452173,0.69190427981161,0,0.75,0.780443503452173,0.602907195543705,0.773809523809524
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.7510536458091,0.744485510026992,1,0.75,0.744485510026992,0.625544075328189,0.762096774193548
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.220040039422339,0.181237923179855,0,0.75,0.220040039422339,0.751207565409646,0.773809523809524
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.364333320663783,0.37525546399837,0,0.75,0.364333320663783,0.601980308718556,0.773809523809524
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.76185075302978,0.786401594152524,1,0.75,0.786401594152524,0.611716808451753,0.762096774193548
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.759370159399092,0.670073507506717,0,0.75,0.759370159399092,0.504154196111135,0.773809523809524
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.600982461791683,0.528683524436139,0,0.75,0.600982461791683,0.670117950632901,0.773809523809524
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.43666171096719,0.299913337673614,0,0.75,0.43666171096719,0.878603176498386,0.773809523809524
