V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred_log,prob_t_pred_tree,linear0,lasso0,linear1,lasso1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.082438698206866,0.0136804084417078,0,0.75,0.082438698206866,0.8097824322864509,0.733067729083665,0.08437828486109872,0.28802469183861945,0.02718204078338826,0.35977829392370675
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.533709756917176,0.466118406454133,0,0.75,0.533709756917176,0.718674670692986,0.733067729083665,0.5472826163739418,0.4867034847142759,0.4756341065400201,0.5403789926791761
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.5073249355347821,0.550343616916764,1,0.75,0.550343616916764,0.563430193317589,0.755020080321285,0.5044178166726063,0.4456006565048234,0.530834707770599,0.5210967931837217
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.5582715878649711,0.52934962985451,0,0.75,0.5582715878649711,0.482867777620396,0.733067729083665,0.5292491473538925,0.46017467087519826,0.5382064575061631,0.5312259948249951
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.24547478969014802,0.37058850238473706,0,0.25,0.24547478969014802,0.24690922369410298,0.244979919678715,0.26657625008002994,0.32297045158469645,0.3879578215088204,0.42598805176082455
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.614173021348558,0.536834773607236,0,0.75,0.614173021348558,0.6156705660331,0.733067729083665,0.5870873964401838,0.49604827388551953,0.5471671462804868,0.5550365547547778
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.49807396701449497,0.49633070438604293,1,0.75,0.49633070438604293,0.53263403654112,0.755020080321285,0.4566924786088544,0.42642985913925946,0.4790060903316951,0.502624853911752
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.428797576966448,0.42134708143158006,1,0.25,0.42134708143158006,0.49164796767152397,0.266932270916335,0.4135362167337303,0.41004025886426554,0.42810996968423853,0.48602794719227177
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.381098619997327,0.44291787539006605,1,0.75,0.44291787539006605,0.692095076701364,0.755020080321285,0.37676128665926967,0.37807504267953085,0.4614179511706862,0.46985685619396805
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.559367913228338,0.61302896007093,1,0.75,0.61302896007093,0.6503663640812309,0.755020080321285,0.5738468676009985,0.4701098513499332,0.6206312985912803,0.547588222141226
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.4683986526698521,0.475289985815575,1,0.25,0.475289985815575,0.48886391011926295,0.266932270916335,0.4538227739370188,0.4283488691672266,0.46280365248114247,0.5018602954496295
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.320886214182088,0.375233645428697,0,0.25,0.320886214182088,0.355477972366181,0.244979919678715,0.31987807849959327,0.3564457070949757,0.39444637135394844,0.4479778831038702
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.45484303142062893,0.4294935271099021,1,0.25,0.4294935271099021,0.39123317341174496,0.266932270916335,0.4683485346135796,0.44215499956054866,0.4446196644728996,0.5083807196854173
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.442385822335734,0.343783292503785,0,0.75,0.442385822335734,0.792531747216307,0.733067729083665,0.431726187425609,0.44213849683659967,0.34224894738154465,0.4958620471374175
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.410625916640719,0.461288959879474,1,0.75,0.461288959879474,0.6297376841429261,0.755020080321285,0.4092221411030576,0.39776745575917094,0.4683261938311345,0.483170469332384
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.426011298738036,0.46407809148840995,0,0.25,0.426011298738036,0.42140813879602396,0.244979919678715,0.4322048605016356,0.4120151759415773,0.4719170120257923,0.49263108147837953
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.5941300093461179,0.5779306801112679,0,0.75,0.5941300093461179,0.576469180292991,0.733067729083665,0.5969845205783753,0.49751358661588296,0.5686092346412693,0.5585843257788143
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.52283917927996,0.548760020987218,1,0.75,0.548760020987218,0.664564010736435,0.755020080321285,0.5028384849535668,0.43704465553097177,0.5628665905501506,0.5195928408318469
0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.375592576160008,0.449246202277731,1,0.75,0.449246202277731,0.640026388615785,0.755020080321285,0.37931779669074517,0.38351595526760096,0.44539012339992445,0.471343753077364
