,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree
0,1,1,0.85,888,62.78290025146689,51.844090528080464,735,63.24999999999999,52.400000000000006,"branching = {}, treatments = {1: 1}"
1,1,2,0.85,1957,17.979882648784574,16.30343671416597,1655,17.25,15.75,"branching = {1: 13}, treatments = {2: 1, 3: 2}"
2,1,3,0.85,2058,13.74685666387259,12.782900251466891,1725,13.750000000000002,12.7,"branching = {1: 13, 2: 18, 3: 1}, treatments = {4: 2, 5: 1, 6: 2, 7: 2}"
3,2,1,0.85,893,62.57334450963956,51.34115674769488,730,63.5,53.0,"branching = {}, treatments = {1: 1}"
4,2,2,0.85,1969,17.476948868398996,15.632858340318526,1643,17.849999999999998,16.55,"branching = {1: 13}, treatments = {2: 1, 3: 2}"
5,2,3,0.85,2126,10.896898575020955,9.471919530595137,1777,11.15,9.9,"branching = {1: 13, 2: 26, 3: 21}, treatments = {4: 1, 5: 2, 6: 2, 7: 0}"
6,3,1,0.85,861,63.91450125733446,53.05951383067896,762,61.9,50.949999999999996,"branching = {}, treatments = {1: 1}"
7,3,2,0.85,1952,18.189438390611905,17.015926236378874,1660,17.0,14.899999999999999,"branching = {1: 13}, treatments = {2: 1, 3: 2}"
8,3,3,0.85,2132,10.645431684828164,9.681475272422464,1771,11.450000000000001,9.65,"branching = {1: 13, 2: 26, 3: 21}, treatments = {4: 1, 5: 2, 6: 2, 7: 0}"
9,4,1,0.85,893,62.57334450963956,51.005867560771165,730,63.5,53.400000000000006,"branching = {}, treatments = {1: 1}"
10,4,2,0.85,1301,45.47359597652976,38.18105616093881,1088,45.6,39.0,"branching = {1: 18}, treatments = {2: 2, 3: 1}"
11,4,3,0.85,1457,38.935456831517186,32.43922883487008,1251,37.45,32.45,"branching = {1: 18, 2: 14, 3: 1}, treatments = {4: 0, 5: 2, 6: 1, 7: 2}"
12,5,1,0.85,870,63.53730092204526,51.676445934618606,753,62.35000000000001,52.6,"branching = {}, treatments = {1: 1}"
13,5,2,0.85,1969,17.476948868398996,15.716680637049455,1643,17.849999999999998,16.45,"branching = {1: 13}, treatments = {2: 1, 3: 2}"
14,5,3,0.85,1448,39.31265716680637,33.02598491198659,1206,39.7,34.050000000000004,"branching = {1: 18, 2: 16, 3: 1}, treatments = {4: 2, 5: 1, 6: 1, 7: 2}"
