,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree
0,1,1,0.85,1105,53.68818105616094,48.61693210393965,897,55.15,50.0,"branching = {}, treatments = {1: 1}"
1,1,2,0.85,872,63.45347862531433,56.747694886839895,733,63.349999999999994,55.15,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
2,1,3,0.85,865,63.746856663872585,56.83151718357083,723,63.849999999999994,55.300000000000004,"branching = {1: 1, 2: 25, 3: 8}, treatments = {4: 1, 5: 0, 6: 2, 7: 1}"
3,2,1,0.85,1065,55.36462699077954,50.0,937,53.15,48.35,"branching = {}, treatments = {1: 1}"
4,2,2,0.85,870,63.53730092204526,55.532271584241414,735,63.24999999999999,56.599999999999994,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
5,2,3,0.85,862,63.872590108968986,55.74182732606874,723,63.849999999999994,56.65,"branching = {1: 25, 2: 21, 3: 1}, treatments = {4: 1, 5: 2, 6: 0, 7: 1}"
6,3,1,0.85,1121,53.017602682313495,48.0720871751886,881,55.95,50.64999999999999,"branching = {}, treatments = {1: 1}"
7,3,2,0.85,865,63.746856663872585,56.41240569991618,740,63.0,55.55,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
8,3,3,0.85,901,62.238055322715844,55.029337803855825,709,64.55,56.39999999999999,"branching = {1: 25, 2: 15, 3: 1}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
9,4,1,0.85,1095,54.10729253981559,48.49119865884325,907,54.65,50.14999999999999,"branching = {}, treatments = {1: 1}"
10,4,2,0.85,928,61.10645431684828,54.19111483654652,792,60.4,53.7,"branching = {1: 15}, treatments = {2: 1, 3: 0}"
11,4,3,0.85,894,62.531433361274104,55.322715842414084,765,61.75000000000001,54.55,"branching = {1: 15, 2: 21, 3: 1}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
12,5,1,0.85,1109,53.52053646269908,48.700754400670576,893,55.35,49.9,"branching = {}, treatments = {1: 1}"
13,5,2,0.85,878,63.202011735121545,55.993294216261525,727,63.65,56.05,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
14,5,3,0.85,875,63.327745180217946,55.74182732606874,720,64.0,55.85,"branching = {1: 1, 2: 25, 3: 0}, treatments = {4: 1, 5: 0, 6: 1, 7: 2}"
