,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree
0,1,1,0.1,1105,53.68818105616094,26.73931265716681,897,55.15,25.85,"branching = {}, treatments = {1: 1}"
1,1,2,0.1,872,63.45347862531433,23.72170997485331,733,63.349999999999994,22.75,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
2,1,3,0.1,876,63.285834031852474,23.679798826487847,721,63.949999999999996,22.0,"branching = {1: 25, 2: 21, 3: 12}, treatments = {4: 1, 5: 0, 6: 1, 7: 0}"
3,2,1,0.1,1065,55.36462699077954,25.0628667225482,937,53.15,27.85,"branching = {}, treatments = {1: 1}"
4,2,2,0.1,870,63.53730092204526,23.09304274937133,735,63.24999999999999,23.5,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
5,2,3,0.1,854,64.20787929589271,22.548197820620285,743,62.849999999999994,23.35,"branching = {1: 25, 2: 21, 3: 12}, treatments = {4: 1, 5: 0, 6: 1, 7: 0}"
6,3,1,0.1,1121,53.017602682313495,26.9907795473596,881,55.95,25.55,"branching = {}, treatments = {1: 1}"
7,3,2,0.1,865,63.746856663872585,23.63788767812238,740,63.0,22.85,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
8,3,3,0.1,863,63.830678960603514,23.47024308466052,708,64.60000000000001,22.35,"branching = {1: 25, 2: 19, 3: 1}, treatments = {4: 1, 5: 1, 6: 0, 7: 1}"
9,4,1,0.1,1095,54.10729253981559,26.8650461022632,907,54.65,25.7,"branching = {}, treatments = {1: 1}"
10,4,2,0.1,870,63.53730092204526,23.344509639564123,735,63.24999999999999,23.200000000000003,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
11,4,3,0.1,881,63.076278290025144,23.260687342833194,734,63.3,22.8,"branching = {1: 12, 2: 23, 3: 25}, treatments = {4: 1, 5: 2, 6: 1, 7: 0}"
12,5,1,0.1,1109,53.52053646269908,26.487845766974015,893,55.35,26.150000000000002,"branching = {}, treatments = {1: 1}"
13,5,2,0.1,878,63.202011735121545,23.260687342833194,727,63.65,23.3,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
14,5,3,0.1,851,64.3336127409891,22.84157585917854,702,64.9,22.75,"branching = {1: 25, 2: 21, 3: 1}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
