Approach,Dataset,Num_Rows,Depth,Branching Limit,Time Limit,Status,Objective Value,Gap,Solving Time,Error train,% Best Treatment (Train),% Classified Correctly (Train),Error Test,% Best Treatment (Test),% Classified Correctly (Test)
Direct,data_train_enc_0.5_1,500,0,100,3600,2,274.4058495,0,0.076454163,6.77831685,71.2,46.6,269.6823495,43.44,49.32
Direct,data_train_enc_0.5_1,500,1,100,3600,2,278.5967128,0,0.697452068,2.813734036,80.6,48.2,74.79270574,71.66,49.69
Direct,data_train_enc_0.5_1,500,2,100,3600,2,280.0130881,0,4.215038061,1.19859683,88.2,51,83.75351154,69.1,49.61
Direct,data_train_enc_0.5_2,500,0,100,3600,2,228.1257482,0,0.051469803,10.21763423,60.2,54.2,175.042801,57.4,50.26
Direct,data_train_enc_0.5_2,500,1,100,3600,2,237.9885781,0,0.357093096,0.585583898,89,51.4,15.20854946,88.23,50.25
Direct,data_train_enc_0.5_2,500,2,100,3600,2,238.0153302,0.004312603,2.031146049,0.591124814,89.2,51.2,11.49471912,89.82,50.36
Direct,data_train_enc_0.5_3,500,0,100,3600,2,256.354148,0,0.054366112,4.688848732,79.4,52.2,222.4011214,50.37,49.32
Direct,data_train_enc_0.5_3,500,1,100,3600,2,259.7284032,0,0.393862963,1.114639434,89.6,51.2,93.41694844,69.02,49.65
Direct,data_train_enc_0.5_3,500,2,100,3600,2,260.0156355,0.009594404,3.221691132,0.713049135,91,50.2,88.70678635,68.49,49.58
Direct,data_train_enc_0.5_4,500,0,100,3600,2,296.7547239,0,0.05813694,4.220354876,76.6,50.4,264.7485002,42.43,50.26
Direct,data_train_enc_0.5_4,500,1,100,3600,2,300.2824122,0,0.401067972,0.52464512,90.2,47,110.9384833,62.73,50.17
Direct,data_train_enc_0.5_4,500,2,100,3600,2,300.4189816,0,3.385203838,0.557753029,90.8,46.8,77.68256944,68.42,49.76
Direct,data_train_enc_0.5_5,500,0,100,3600,2,279.4940203,0,0.059516907,11.69904861,56.2,45.4,128.7353365,65.68,50.76
Direct,data_train_enc_0.5_5,500,1,100,3600,2,289.5637334,0,0.380870819,1.239705327,86.8,50.6,26.75655941,84.76,50.22
Direct,data_train_enc_0.5_5,500,2,100,3600,2,289.9033047,0.000601581,3.912281275,0.808958973,88.4,50.6,27.26420047,84.43,50.09
Direct,data_train_enc_0.9_1,500,0,100,3600,2,274.8535757,0,0.06901288,6.77831685,71.2,52.6,269.6823495,43.44,49.21
Direct,data_train_enc_0.9_1,500,1,100,3600,2,278.3645283,0,0.666958809,2.813734036,80.6,74.2,74.79270574,71.66,73.14
Direct,data_train_enc_0.9_1,500,2,100,3600,2,279.94437,0.005683252,4.642373085,1.19859683,88.2,75.4,83.75351154,69.1,70.4
Direct,data_train_enc_0.9_2,500,0,100,3600,2,228.0032418,0,0.052210331,10.21763423,60.2,50.4,175.042801,57.4,50.89
Direct,data_train_enc_0.9_2,500,1,100,3600,2,237.607348,0,0.383948088,0.585583898,89,84.8,15.20854946,88.23,82.16
Direct,data_train_enc_0.9_2,500,2,100,3600,2,237.6239025,0.009304187,2.069687128,0.653139505,88.6,85.6,13.26898317,88.99,82.98
Direct,data_train_enc_0.9_3,500,0,100,3600,2,255.2285877,0,0.053435087,4.688848732,79.4,48,222.4011214,50.37,50.22
Direct,data_train_enc_0.9_3,500,1,100,3600,2,258.8449334,0,0.409030199,1.114639434,89.6,64.2,93.41694844,69.02,65.73
Direct,data_train_enc_0.9_3,500,2,100,3600,2,259.1915503,0,3.165828943,0.713049135,91,62.4,88.70678635,68.49,64.52
Direct,data_train_enc_0.9_4,500,0,100,3600,2,296.5479919,0,0.055866003,4.220354876,76.6,54.6,264.7485002,42.43,50.7
Direct,data_train_enc_0.9_4,500,1,100,3600,2,299.9919747,0,0.417711973,0.52464512,90.2,68.4,110.9384833,62.73,67.59
Direct,data_train_enc_0.9_4,500,2,100,3600,2,300.0970902,0.009560799,3.768648148,0.483457559,90.8,66.6,117.6931144,60.89,65.89
Direct,data_train_enc_0.9_5,500,0,100,3600,2,279.1940697,0,0.05585885,11.69904861,56.2,51.4,128.7353365,65.68,50.43
Direct,data_train_enc_0.9_5,500,1,100,3600,2,289.3140259,0,0.392544031,1.239705327,86.8,83.4,26.75655941,84.76,81.99
Direct,data_train_enc_0.9_5,500,2,100,3600,2,289.6758622,0,3.579119921,0.808958973,88.4,83,27.26420047,84.43,82.2
