,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree
0,1,1,0.1,179.61433872965205,56.57,49.71,25.77127660053485,28.999999999999996,51.800000000000004,"branching = {}, treatments = {1: 0}"
1,1,1,0.5,269.6823494705317,43.44,49.32,6.7783168497090776,71.2,46.6,"branching = {}, treatments = {1: 1}"
2,1,1,0.9,269.6823494705317,43.44,49.21,6.7783168497090776,71.2,52.6,"branching = {}, treatments = {1: 1}"
3,1,2,0.1,30.545715035334094,83.05,9.81,4.905546780062993,73.6,10.4,"branching = {1: 4}, treatments = {2: 1, 3: 0}"
4,1,2,0.5,30.545715035334094,83.05,50.36000000000001,4.905546780062993,73.6,48.8,"branching = {1: 4}, treatments = {2: 1, 3: 0}"
5,1,2,0.9,269.6823494705317,43.44,49.21,6.7783168497090776,71.2,52.6,"branching = {1: 15}, treatments = {2: 1, 3: 1}"
6,1,3,0.1,46.27210173951751,78.5,18.240000000000002,3.5566317357869046,77.8,17.8,"branching = {1: 5, 2: 14, 3: 3}, treatments = {4: 1, 5: 1, 6: 1, 7: 0}"
7,1,3,0.5,48.04701810250434,79.57,49.99,2.3874469374840954,80.80000000000001,48.6,"branching = {1: 4, 2: 14, 3: 11}, treatments = {4: 1, 5: 1, 6: 0, 7: 1}"
8,1,3,0.9,269.6823494705317,43.44,49.21,6.7783168497090776,71.2,52.6,"branching = {1: 13, 2: 15, 3: 0}, treatments = {4: 1, 5: 1, 6: 1, 7: 1}"
9,2,1,0.1,274.1591725630515,42.61,50.07,18.45955782590308,39.800000000000004,49.2,"branching = {}, treatments = {1: 0}"
10,2,1,0.5,175.04280104981427,57.4,50.260000000000005,10.217634228424831,60.199999999999996,54.2,"branching = {}, treatments = {1: 1}"
11,2,1,0.9,175.04280104981427,57.4,50.89,10.217634228424831,60.199999999999996,50.4,"branching = {}, treatments = {1: 1}"
12,2,2,0.1,63.74597884426453,73.06,25.95,4.147362670960025,70.19999999999999,25.2,"branching = {1: 6}, treatments = {2: 1, 3: 0}"
13,2,2,0.5,17.754995242623917,87.29,50.27,1.0051418812704256,86.2,50.2,"branching = {1: 4}, treatments = {2: 1, 3: 0}"
14,2,2,0.9,175.04280104981427,57.4,50.89,10.217634228424831,60.199999999999996,50.4,"branching = {1: 17}, treatments = {2: 1, 3: 1}"
15,2,3,0.1,33.257454375572316,81.92,18.05,1.9488594072216858,79.80000000000001,18.8,"branching = {1: 5, 2: 10, 3: 17}, treatments = {4: 1, 5: 1, 6: 0, 7: 0}"
16,2,3,0.5,22.941034772712086,86.64,50.0,1.4806953584638944,85.8,49.8,"branching = {1: 4, 2: 8, 3: 10}, treatments = {4: 1, 5: 1, 6: 0, 7: 1}"
17,2,3,0.9,175.04280104981427,57.4,50.89,10.217634228424831,60.199999999999996,50.4,"branching = {1: 10, 2: 17, 3: 4}, treatments = {4: 1, 5: 1, 6: 1, 7: 1}"
18,3,1,0.1,222.40112135659427,50.370000000000005,49.730000000000004,4.688848731973859,79.4,50.8,"branching = {}, treatments = {1: 0}"
19,3,1,0.5,222.40112135659427,50.370000000000005,49.32,4.688848731973859,79.4,52.2,"branching = {}, treatments = {1: 0}"
20,3,1,0.9,216.01045433572702,49.63,49.78,34.79481382842818,20.599999999999998,52.0,"branching = {}, treatments = {1: 1}"
21,3,2,0.1,222.40112135659427,50.370000000000005,49.730000000000004,4.688848731973859,79.4,50.8,"branching = {1: 13}, treatments = {2: 0, 3: 0}"
22,3,2,0.5,222.40112135659427,50.370000000000005,49.32,4.688848731973859,79.4,52.2,"branching = {1: 14}, treatments = {2: 0, 3: 0}"
23,3,2,0.9,216.01045433572702,49.63,49.78,34.79481382842818,20.599999999999998,52.0,"branching = {1: 11}, treatments = {2: 1, 3: 1}"
24,3,3,0.1,38.560779602560565,80.99,10.03,6.612129188073498,67.2,11.4,"branching = {1: 3, 2: 4, 3: 14}, treatments = {4: 1, 5: 0, 6: 0, 7: 0}"
25,3,3,0.5,79.2010900000089,70.58,49.57,0.8117875904253963,90.60000000000001,49.4,"branching = {1: 14, 2: 8, 3: 6}, treatments = {4: 1, 5: 0, 6: 1, 7: 0}"
26,3,3,0.9,262.39329325806386,43.480000000000004,49.45,33.36386615509678,25.0,51.2,"branching = {1: 10, 2: 11, 3: 7}, treatments = {4: 1, 5: 1, 6: 0, 7: 0}"
27,4,1,0.1,264.7485001985923,42.43,49.980000000000004,4.220354876203336,76.6,47.599999999999994,"branching = {}, treatments = {1: 0}"
28,4,1,0.5,264.7485001985923,42.43,50.260000000000005,4.220354876203336,76.6,50.4,"branching = {}, treatments = {1: 0}"
29,4,1,0.9,162.87740644964194,57.589999999999996,49.3,24.717594115621086,23.799999999999997,45.4,"branching = {}, treatments = {1: 1}"
30,4,2,0.1,264.7485001985923,42.43,49.980000000000004,4.220354876203336,76.6,47.599999999999994,"branching = {1: 16}, treatments = {2: 0, 3: 0}"
31,4,2,0.5,73.39077810227131,70.77,49.91,0.9584629593385043,87.2,46.400000000000006,"branching = {1: 6}, treatments = {2: 1, 3: 0}"
32,4,2,0.9,162.87740644964194,57.589999999999996,49.3,24.717594115621086,23.799999999999997,45.4,"branching = {1: 14}, treatments = {2: 1, 3: 1}"
33,4,3,0.1,225.83218267404794,47.29,46.22,3.7294003718128246,78.0,44.6,"branching = {1: 10, 2: 16, 3: 4}, treatments = {4: 0, 5: 0, 6: 1, 7: 0}"
34,4,3,0.5,54.53271149738661,74.98,49.3,1.620030453770224,84.0,46.2,"branching = {1: 10, 2: 6, 3: 0}, treatments = {4: 1, 5: 0, 6: 1, 7: 0}"
35,4,3,0.9,110.9384833062861,62.73,67.58999999999999,0.5246451196991214,90.2,68.4,"branching = {1: 4, 2: 7, 3: 12}, treatments = {4: 1, 5: 0, 6: 0, 7: 0}"
36,5,1,0.1,128.7353364951348,65.68,50.129999999999995,11.699048612925887,56.2,45.6,"branching = {}, treatments = {1: 0}"
37,5,1,0.5,348.7848341374893,34.33,49.24,17.3062281572362,44.2,54.6,"branching = {}, treatments = {1: 1}"
38,5,1,0.9,348.7848341374893,34.33,49.57,17.3062281572362,44.2,48.6,"branching = {}, treatments = {1: 1}"
39,5,2,0.1,26.756559412553425,84.76,18.09,1.2397053270686504,86.8,18.0,"branching = {1: 5}, treatments = {2: 1, 3: 0}"
40,5,2,0.5,169.98054172935312,53.92,49.78,7.91225055759986,63.0,53.2,"branching = {1: 1}, treatments = {2: 1, 3: 0}"
41,5,2,0.9,348.7848341374893,34.33,49.57,17.3062281572362,44.2,48.6,"branching = {1: 18}, treatments = {2: 1, 3: 1}"
42,5,3,0.1,26.756559412553425,84.76,18.09,1.2397053270686504,86.8,18.0,"branching = {1: 1, 2: 5, 3: 13}, treatments = {4: 1, 5: 0, 6: 0, 7: 0}"
43,5,3,0.5,169.98054172935312,53.92,49.78,7.91225055759986,63.0,53.2,"branching = {1: 1, 2: 6, 3: 18}, treatments = {4: 1, 5: 1, 6: 0, 7: 0}"
44,5,3,0.9,379.72854920685177,30.130000000000003,46.19,20.014091433301395,39.2,43.6,"branching = {1: 11, 2: 18, 3: 7}, treatments = {4: 1, 5: 1, 6: 0, 7: 1}"
