V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred,reg0,reg1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0.5924018996704069,0.600568965974938,1,0.5,0.600568965974938,0.485338650268543,0.5988652513763099,0.6180505892683925
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.505160283651545,0.442146964916204,1,0.5,0.442146964916204,0.47713024467187004,0.5057573882745298,0.43524927175293093
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.23105389004097196,0.158506013941753,1,0.5,0.158506013941753,0.476582470251728,0.2556087684938072,0.15356401216128962
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.568579338550148,0.460276943536391,1,0.5,0.460276943536391,0.47644985287638103,0.5494544676706156,0.4768915445554642
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.71162845678588,0.523575330833302,0,0.5,0.71162845678588,0.535317770469806,0.6999581447015479,0.5283123253380859
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.160672349455491,0.0484518378576716,0,0.5,0.160672349455491,0.522037426177749,0.1643726194581001,0.06622221219886115
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.70555789199635,0.54064753408704,1,0.5,0.54064753408704,0.4713638666632511,0.6650657305853943,0.5550133320797868
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.324541793443547,0.29925283631061106,0,0.5,0.324541793443547,0.5115941977930349,0.2684632812631094,0.28289482577995734
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.434421669696851,0.532045170541361,1,0.5,0.532045170541361,0.49238808928526095,0.4490694473808051,0.5211586290066295
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.555320603870947,0.39785253006838,1,0.5,0.39785253006838,0.465379247220163,0.541065522441946,0.35959082138115656
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11195718391777901,0.0,1,0.5,0.0,0.4762363173389029,0.1322077587186793,0.013865341644490381
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.724528032119854,0.667514407017015,0,0.5,0.724528032119854,0.52280448272128,0.7063854110102472,0.6575251430452198
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.32912775111611503,0.31300549981087,0,0.5,0.32912775111611503,0.509890581155473,0.3045628722307914,0.3393506938347745
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.671485887066777,0.544498185931755,1,0.5,0.544498185931755,0.47142013306636,0.6655642419547476,0.5561130481978852
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22174899754423302,0.233882034912214,0,0.5,0.22174899754423302,0.511385800940324,0.22619610840258747,0.2382287784801713
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.603913501118749,0.5048024807858771,1,0.5,0.5048024807858771,0.46963533026823295,0.6318249321266702,0.5014222369632126
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.232809114576674,0.16286803772332997,1,0.5,0.16286803772332997,0.47879725138676293,0.24161080279470876,0.15968209808575562
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.481544818712816,0.461780693748165,0,0.5,0.481544818712816,0.520548730538469,0.49135529936411076,0.4419538139388051
