"V1","V2","V3","y0","y1","t","prob_t","y","prob_t_pred_log","prob_t_pred_tree"
-1,-1,-1,0,0.0375186888619041,"0",0.25,0,0.434442120506654,0.281818181818182
-1,1,-1,0.163449614048124,0.293670303638506,"0",0.75,0.163449614048124,0.660341214316342,0.729032258064516
-1,-1,1,0.717825721586341,0.424195696337942,"0",0.25,0.717825721586341,0.384876688281093,0.281818181818182
1,1,-1,0.35374801394356,0.605461332090249,"0",0.75,0.35374801394356,0.833735605029044,0.736170212765958
1,1,1,0.934927843874462,0.958059542342846,"0",0.75,0.934927843874462,0.803321915736957,0.736170212765958
-1,1,-1,0.255239131518948,0.345941951189635,"0",0.75,0.255239131518948,0.660341214316342,0.729032258064516
-1,1,1,0.818662402016458,0.686268659455323,"0",0.75,0.818662402016458,0.612934773891918,0.729032258064516
-1,1,1,0.779985328671164,0.680080868241024,"0",0.75,0.779985328671164,0.612934773891918,0.729032258064516
1,1,-1,0.306406599305135,0.624658961856884,"0",0.75,0.306406599305135,0.833735605029044,0.736170212765958
-1,-1,1,0.641489524530479,0.398480252343671,"1",0.75,0.398480252343671,0.615123311718907,0.718181818181818
-1,1,1,0.773808302567968,0.701225588106652,"1",0.25,0.701225588106652,0.387065226108082,0.270967741935484
1,1,1,0.93316308114673,0.962470303095542,"0",0.75,0.93316308114673,0.803321915736957,0.736170212765958
1,1,1,0.924876209230443,0.951874333608577,"0",0.75,0.924876209230443,0.803321915736957,0.736170212765958
1,-1,-1,0.158831721825557,0.313409339033475,"0",0.75,0.158831721825557,0.664580049006096,0.736170212765958
-1,1,-1,0.197129970996397,0.2858950556248,"0",0.75,0.197129970996397,0.660341214316342,0.729032258064516
-1,-1,-1,0.0908080613803249,0.0625008717506186,"1",0.75,0.0625008717506186,0.565557879493346,0.718181818181818
1,1,-1,0.37922823933723,0.580214857813026,"0",0.75,0.37922823933723,0.833735605029044,0.736170212765958
1,-1,-1,0.195001308871146,0.283332877331495,"0",0.75,0.195001308871146,0.664580049006096,0.736170212765958
1,1,1,0.926183963966391,0.971022926677052,"0",0.75,0.926183963966391,0.803321915736957,0.736170212765958
1,1,1,0.901198224333194,0.949148616174502,"1",0.25,0.949148616174502,0.196678084263043,0.263829787234043
-1,-1,1,0.65953786997138,0.39741964744621,"0",0.25,0.65953786997138,0.384876688281093,0.281818181818182
