t,ipw,y,y0,y1,y2,y3,DisablingCondition,Employed,Gender_Female,Gender_Male,PriorLivingCategory_Homeless_Situations,PriorLivingCategory_Institutional_Situations,PriorLivingCategory_Temporary_and_Permanent_Housing_Situations,PriorNegExitCt,Race_BlackAfAmerican,Race_Hispanic,Race_Other,Race_White,SleepLoc_Other,SleepLoc_Outdoors,SleepLoc_Safe_Haven,SleepLoc_Shelters,SleepLoc_Transitional_Housing,VeteranStatus,score_0to3,score_4to7,score_8to11,score_12to17,TotalMonthlyIncome_unknown,TotalMonthlyIncome_0,TotalMonthlyIncome_<250,TotalMonthlyIncome_250to1000,TotalMonthlyIncome_>=1000,EnrollAge_<35,EnrollAge_35to50,EnrollAge_51to60,EnrollAge_>60,TimeOnStreet_unknown_1,TimeOnStreet_<1Yr,TimeOnStreet_1to2yr,TimeOnStreet_>2yr
0,1.054927655,0,0.319687761,0.786885257,0.889972992,0.65203321,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1
0,1.144658073,0,0.391152073,0.8426621,0.991792994,0.884655058,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1
0,1.053997462,1,0.586429202,0.753783969,0.893075103,0.880493999,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1
2,63.98932045,0,0.362804013,0.848125925,0.158002865,0.705863416,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
0,1.139396223,1,0.469990432,0.847041936,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
3,17.82347011,1,0.452848771,0.673622066,0.9969184,0.902007639,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
0,1.43251906,1,0.710940942,0.903632857,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1.216650637,1,0.628152288,0.745592452,0.867717907,0.886684418,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1
0,1.199945089,1,0.711803247,0.898800321,0.887524994,0.856093526,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
0,1.053477252,1,0.68480433,0.439259426,0.310878623,0.51084286,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1
0,1.247545355,1,0.606029467,0.890497884,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1
1,13.00844075,1,0.550498062,0.932733478,0.417688265,0.911123633,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1
0,1.085983921,0,0.207297175,0.685599187,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1
2,34.46895145,1,0.34180413,0.736681709,0.909252248,0.799349368,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
0,1.215667024,1,0.672711309,0.846516763,0.951471812,0.899559855,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1
0,1.051459574,1,0.635356814,0.901852902,0.96297272,0.963152647,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
1,14.85768105,1,0.378661362,0.400338062,0.77356919,0.645561695,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1
0,1.203375515,1,0.57943981,0.725848577,0.965119324,0.958162487,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1
0,1.238141086,0,0.321365001,0.890008425,0.932988112,0.902822793,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1
0,1.485721735,1,0.448340795,0.812045291,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1
0,1.154069414,0,0.4712916,0.758598701,0.884184999,0.664566576,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1
0,1.129432467,0,0.343953369,0.797552966,0.886187223,0.87016046,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1
0,1.049604289,0,0.228508639,0.716267698,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
0,1.048362252,0,0.295599629,0.819834914,0.471059878,0.715730667,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1
