,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree
0,1,1,0.1,888,62.78290025146689,23.72170997485331,735,63.24999999999999,22.15,"branching = {}, treatments = {1: 1}"
1,1,2,0.1,374,84.32523051131601,14.962279966471081,305,84.75,13.700000000000001,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
2,1,3,0.1,360,84.91198658843253,15.297569153394802,285,85.75,13.55,"branching = {1: 27, 2: 26, 3: 1}, treatments = {4: 1, 5: 1, 6: 0, 7: 1}"
3,2,1,0.1,893,62.57334450963956,23.344509639564123,730,63.5,22.6,"branching = {}, treatments = {1: 1}"
4,2,2,0.1,380,84.07376362112322,14.54316848281643,299,85.05,14.2,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
5,2,3,0.1,367,84.61860854987427,14.417435037720033,278,86.1,14.6,"branching = {1: 27, 2: 26, 3: 1}, treatments = {4: 1, 5: 1, 6: 0, 7: 1}"
6,3,1,0.1,861,63.91450125733446,21.83570829840738,762,61.9,24.4,"branching = {}, treatments = {1: 1}"
7,3,2,0.1,365,84.7024308466052,13.998323554065381,314,84.3,14.85,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
8,3,3,0.1,341,85.70829840737636,13.956412405699917,304,84.8,15.15,"branching = {1: 27, 2: 2, 3: 1}, treatments = {4: 1, 5: 1, 6: 0, 7: 1}"
9,4,1,0.1,893,62.57334450963956,23.344509639564123,730,63.5,22.6,"branching = {}, treatments = {1: 1}"
10,4,2,0.1,370,84.49287510477788,14.249790444258172,309,84.55,14.549999999999999,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
11,4,3,0.1,357,85.03772003352891,14.459346186085497,288,85.6,14.549999999999999,"branching = {1: 27, 2: 10, 3: 1}, treatments = {4: 1, 5: 1, 6: 0, 7: 1}"
12,5,1,0.1,870,63.53730092204526,23.176865046102265,753,62.35000000000001,22.8,"branching = {}, treatments = {1: 1}"
13,5,2,0.1,361,84.87007544006705,14.501257334450965,318,84.1,14.249999999999998,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
14,5,3,0.1,361,84.87007544006705,14.501257334450965,318,84.1,14.249999999999998,"branching = {1: 27, 2: 6, 3: 11}, treatments = {4: 1, 5: 1, 6: 0, 7: 0}"
