,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree
0,1,1,0.33,888,62.78290025146689,33.82229673093043,735,63.24999999999999,32.4,"branching = {}, treatments = {1: 1}"
1,1,2,0.33,374,84.32523051131601,33.52891869237217,305,84.75,31.85,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
2,1,3,0.33,366,84.66051969823974,33.40318524727577,296,85.2,31.7,"branching = {1: 26, 2: 27, 3: 3}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
3,2,1,0.33,893,62.57334450963956,32.73260687342833,730,63.5,33.7,"branching = {}, treatments = {1: 1}"
4,2,2,0.33,380,84.07376362112322,33.78038558256497,299,85.05,31.55,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
5,2,3,0.33,350,85.33109807208717,33.82229673093043,281,85.95,31.55,"branching = {1: 27, 2: 21, 3: 0}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
6,3,1,0.33,861,63.91450125733446,32.48113998323554,762,61.9,34.0,"branching = {}, treatments = {1: 1}"
7,3,2,0.33,365,84.7024308466052,32.35540653813915,314,84.3,33.25,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
8,3,3,0.33,326,86.33696563285834,32.397317686504614,293,85.35000000000001,33.1,"branching = {1: 27, 2: 21, 3: 13}, treatments = {4: 1, 5: 0, 6: 1, 7: 0}"
9,4,1,0.33,893,62.57334450963956,32.984073763621126,730,63.5,33.4,"branching = {}, treatments = {1: 1}"
10,4,2,0.33,370,84.49287510477788,32.6487845766974,309,84.55,32.9,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
11,4,3,0.33,347,85.45683151718357,32.6487845766974,272,86.4,32.800000000000004,"branching = {1: 27, 2: 21, 3: 13}, treatments = {4: 1, 5: 0, 6: 1, 7: 0}"
12,5,1,0.33,870,63.53730092204526,33.151718357082984,753,62.35000000000001,33.2,"branching = {}, treatments = {1: 1}"
13,5,2,0.33,361,84.87007544006705,33.65465213746857,318,84.1,31.7,"branching = {1: 27}, treatments = {2: 1, 3: 0}"
14,5,3,0.33,365,84.7024308466052,33.6127409891031,297,85.15,31.45,"branching = {1: 26, 2: 27, 3: 3}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
