,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree
0,1,1,0.6,888,62.78290025146689,39.68985750209556,735,63.24999999999999,40.300000000000004,"branching = {}, treatments = {1: 1}"
1,1,2,0.6,1013,57.54400670578374,38.558256496228,843,57.85,37.85,"branching = {1: 2}, treatments = {2: 0, 3: 1}"
2,1,3,0.6,843,64.66890192791283,43.96479463537301,757,62.150000000000006,42.65,"branching = {1: 1, 2: 12, 3: 26}, treatments = {4: 1, 5: 0, 6: 2, 7: 1}"
3,2,1,0.6,893,62.57334450963956,40.69572506286672,730,63.5,39.1,"branching = {}, treatments = {1: 1}"
4,2,2,0.6,1000,58.08885163453479,39.31265716680637,856,57.199999999999996,36.95,"branching = {1: 2}, treatments = {2: 0, 3: 1}"
5,2,3,0.6,842,64.7108130762783,44.63537300922045,758,62.1,41.85,"branching = {1: 1, 2: 12, 3: 26}, treatments = {4: 1, 5: 0, 6: 2, 7: 1}"
6,3,1,0.6,861,63.91450125733446,39.56412405699916,762,61.9,40.45,"branching = {}, treatments = {1: 1}"
7,3,2,0.6,1022,57.16680637049455,37.5943000838223,834,58.3,39.0,"branching = {1: 2}, treatments = {2: 0, 3: 1}"
8,3,3,0.6,832,65.12992455993295,41.15674769488684,686,65.7,42.35,"branching = {1: 2, 2: 12, 3: 0}, treatments = {4: 1, 5: 0, 6: 1, 7: 2}"
9,4,1,0.6,893,62.57334450963956,41.15674769488684,730,63.5,38.550000000000004,"branching = {}, treatments = {1: 1}"
10,4,2,0.6,1047,56.119027661357926,38.64207879295893,809,59.550000000000004,37.75,"branching = {1: 2}, treatments = {2: 0, 3: 1}"
11,4,3,0.6,873,63.411567476948875,44.04861693210394,727,63.65,42.55,"branching = {1: 1, 2: 12, 3: 26}, treatments = {4: 1, 5: 0, 6: 2, 7: 1}"
12,5,1,0.6,870,63.53730092204526,39.186923721709974,753,62.35000000000001,40.9,"branching = {}, treatments = {1: 1}"
13,5,2,0.6,991,58.46605196982397,38.39061190276614,865,56.75,38.05,"branching = {1: 2}, treatments = {2: 0, 3: 1}"
14,5,3,0.6,1365,42.79128248113998,24.811399832355406,1147,42.65,23.1,"branching = {1: 2, 2: 13, 3: 26}, treatments = {4: 1, 5: 0, 6: 2, 7: 1}"
